step,train_loss,epoch,val_qa_em,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_bert_score,test_loss
9,0.10654779523611069,0,,,,,,
19,0.0569520965218544,0,,,,,,
29,0.10271085798740387,0,,,,,,
39,0.07870413362979889,0,,,,,,
49,0.5606039762496948,0,,,,,,
59,0.07944175601005554,0,,,,,,
69,0.4460645020008087,0,,,,,,
79,0.23605841398239136,0,,,,,,
89,0.287173330783844,0,,,,,,
99,0.32239383459091187,0,,,,,,
109,0.038977958261966705,0,,,,,,
119,0.04633203521370888,0,,,,,,
129,0.40587061643600464,0,,,,,,
139,0.16833187639713287,0,,,,,,
149,0.05856085568666458,0,,,,,,
159,0.048850465565919876,0,,,,,,
169,0.22140297293663025,0,,,,,,
179,0.08588625490665436,0,,,,,,
189,0.21862347424030304,0,,,,,,
199,0.032332368195056915,0,,,,,,
209,0.2882665991783142,0,,,,,,
219,0.03871287778019905,0,,,,,,
229,0.06676436960697174,0,,,,,,
239,0.03840240463614464,0,,,,,,
249,0.049339067190885544,0,,,,,,
259,0.03786882758140564,0,,,,,,
269,0.10583871603012085,0,,,,,,
279,0.03584824874997139,0,,,,,,
289,0.057317063212394714,0,,,,,,
299,0.038237012922763824,0,,,,,,
309,0.04200013726949692,0,,,,,,
319,0.15476606786251068,0,,,,,,
329,nan,0,,,,,,
339,0.041443824768066406,0,,,,,,
349,0.06685232371091843,0,,,,,,
359,0.04419340193271637,0,,,,,,
369,0.1596650630235672,0,,,,,,
379,0.3040808439254761,0,,,,,,
389,0.030195264145731926,0,,,,,,
399,0.030634509399533272,0,,,,,,
409,0.22945508360862732,0,,,,,,
419,0.046685703098773956,0,,,,,,
429,0.2571757733821869,0,,,,,,
439,0.15493568778038025,0,,,,,,
449,0.1853548288345337,0,,,,,,
455,,0,0.34540390968322754,0.3971530497074127,0.13175329566001892,0.4690299332141876,0.8643118143081665,
459,0.03767821192741394,1,,,,,,
469,0.04122496023774147,1,,,,,,
479,0.09171367436647415,1,,,,,,
489,0.5045596957206726,1,,,,,,
499,0.012425114400684834,1,,,,,,
509,0.2134310007095337,1,,,,,,
519,0.02054770104587078,1,,,,,,
529,0.024882705882191658,1,,,,,,
539,0.025131165981292725,1,,,,,,
549,0.23358719050884247,1,,,,,,
559,0.025175852701067924,1,,,,,,
569,0.029594961553812027,1,,,,,,
579,0.1466568261384964,1,,,,,,
589,0.022889932617545128,1,,,,,,
599,0.16910016536712646,1,,,,,,
609,0.21176233887672424,1,,,,,,
619,0.2597144842147827,1,,,,,,
629,0.1410434991121292,1,,,,,,
639,0.17925499379634857,1,,,,,,
649,0.01708378829061985,1,,,,,,
659,0.02172359824180603,1,,,,,,
669,0.4665401875972748,1,,,,,,
679,0.03203697130084038,1,,,,,,
689,0.023797614499926567,1,,,,,,
699,0.14804816246032715,1,,,,,,
709,0.0773729532957077,1,,,,,,
719,0.09453589469194412,1,,,,,,
729,0.04182935506105423,1,,,,,,
739,0.03115733712911606,1,,,,,,
749,0.027632875367999077,1,,,,,,
759,0.026159515604376793,1,,,,,,
769,0.032219238579273224,1,,,,,,
779,0.013253438286483288,1,,,,,,
789,0.35106828808784485,1,,,,,,
799,0.04196401312947273,1,,,,,,
809,0.025578688830137253,1,,,,,,
819,0.019535332918167114,1,,,,,,
829,0.010812669061124325,1,,,,,,
839,0.04011913761496544,1,,,,,,
849,0.12318853288888931,1,,,,,,
859,0.0234671663492918,1,,,,,,
869,0.028516719117760658,1,,,,,,
