step,train_loss,epoch,val_qa_bert_score,val_qa_em,val_qa_sas,val_qa_answer_f1,val_loss,test_loss
9,0.6133861541748047,0,,,,,,
19,0.37857699394226074,0,,,,,,
29,1.2887396812438965,0,,,,,,
39,1.035017728805542,0,,,,,,
49,0.4250708520412445,0,,,,,,
59,0.28514426946640015,0,,,,,,
69,0.48411017656326294,0,,,,,,
79,0.276284784078598,0,,,,,,
89,0.7346022725105286,0,,,,,,
99,0.46735769510269165,0,,,,,,
109,0.33328869938850403,0,,,,,,
119,0.613957941532135,0,,,,,,
129,0.386431485414505,0,,,,,,
139,0.28274136781692505,0,,,,,,
149,0.3683848977088928,0,,,,,,
159,0.3984924554824829,0,,,,,,
169,0.2105998396873474,0,,,,,,
179,0.16385988891124725,0,,,,,,
189,0.41680923104286194,0,,,,,,
199,0.581359326839447,0,,,,,,
209,0.37940147519111633,0,,,,,,
219,0.6788452863693237,0,,,,,,
229,0.4671511948108673,0,,,,,,
239,0.6650216579437256,0,,,,,,
249,0.1965254843235016,0,,,,,,
259,0.5340750813484192,0,,,,,,
269,0.4642269015312195,0,,,,,,
279,0.21543385088443756,0,,,,,,
289,0.09080860018730164,0,,,,,,
299,0.10411154478788376,0,,,,,,
309,0.10646427422761917,0,,,,,,
319,0.14872698485851288,0,,,,,,
329,0.15006601810455322,0,,,,,,
339,0.12669239938259125,0,,,,,,
339,,0,0.8728188872337341,0.4162895977497101,0.5947051644325256,0.5578814148902893,0.08959712088108063,
349,0.1852119117975235,1,,,,,,
359,0.5206595063209534,1,,,,,,
369,0.374136745929718,1,,,,,,
379,0.31153133511543274,1,,,,,,
389,0.4068495035171509,1,,,,,,
399,0.07261116057634354,1,,,,,,
409,0.23297633230686188,1,,,,,,
419,0.48697730898857117,1,,,,,,
429,0.2762042284011841,1,,,,,,
439,0.23658499121665955,1,,,,,,
449,0.18202824890613556,1,,,,,,
459,0.3723139464855194,1,,,,,,
469,0.1854616105556488,1,,,,,,
479,0.22638802230358124,1,,,,,,
489,0.15820719301700592,1,,,,,,
499,0.18406341969966888,1,,,,,,
509,0.2035902738571167,1,,,,,,
519,0.12531571090221405,1,,,,,,
529,0.2586667537689209,1,,,,,,
539,0.17963029444217682,1,,,,,,
549,0.6086977124214172,1,,,,,,
559,0.43356287479400635,1,,,,,,
569,0.045645572245121,1,,,,,,
579,0.04075721278786659,1,,,,,,
589,0.3467293083667755,1,,,,,,
599,0.364376038312912,1,,,,,,
609,0.38990071415901184,1,,,,,,
619,0.37222492694854736,1,,,,,,
629,0.41687774658203125,1,,,,,,
