step,epoch,train_loss,val_qa_answer_f1,val_qa_em,val_qa_sas,val_loss,val_qa_bert_score,test_loss
9,0,1.1221157312393188,,,,,,
19,0,0.23105351626873016,,,,,,
29,0,0.25608810782432556,,,,,,
39,0,0.21896393597126007,,,,,,
49,0,0.20153939723968506,,,,,,
59,0,0.24448969960212708,,,,,,
69,0,0.1331952065229416,,,,,,
79,0,0.09180931746959686,,,,,,
89,0,0.20269906520843506,,,,,,
99,0,0.13205267488956451,,,,,,
104,0,,0.5242029428482056,0.27227723598480225,0.6100817322731018,0.15786245465278625,0.8690548539161682,
109,1,0.0986434742808342,,,,,,
119,1,0.17062890529632568,,,,,,
129,1,0.5351481437683105,,,,,,
139,1,0.19778887927532196,,,,,,
149,1,0.11933701485395432,,,,,,
159,1,0.14749695360660553,,,,,,
169,1,0.20742015540599823,,,,,,
179,1,0.19428478181362152,,,,,,
189,1,0.11225208640098572,,,,,,
199,1,0.10733456909656525,,,,,,
209,1,0.0692049115896225,,,,,,
209,1,,0.5759214758872986,0.31683167815208435,0.6516121029853821,0.14116565883159637,0.8823703527450562,
219,2,0.12700435519218445,,,,,,
229,2,0.08999073505401611,,,,,,
239,2,0.12667712569236755,,,,,,
249,2,0.06847716867923737,,,,,,
259,2,0.1728600561618805,,,,,,
269,2,0.06354274600744247,,,,,,
279,2,0.0654388815164566,,,,,,
289,2,0.02709861472249031,,,,,,
299,2,0.0888676792383194,,,,,,
309,2,0.1446622759103775,,,,,,
314,2,,0.5885487198829651,0.3316831588745117,0.6666994094848633,0.13185803592205048,0.885402500629425,
319,3,0.028254076838493347,,,,,,
329,3,0.07564009726047516,,,,,,
339,3,0.08307147771120071,,,,,,
349,3,0.052590638399124146,,,,,,
359,3,0.0518096461892128,,,,,,
369,3,0.07386410236358643,,,,,,
379,3,0.11316362768411636,,,,,,
389,3,0.10676701366901398,,,,,,
399,3,0.0383121483027935,,,,,,
409,3,0.026617201045155525,,,,,,
419,3,0.0031371882651001215,,,,,,
419,3,,0.5905991196632385,0.3366336524486542,0.6737110614776611,0.13360965251922607,0.8864048719406128,
429,4,0.04088122025132179,,,,,,
439,4,0.03562130033969879,,,,,,
449,4,0.07475916296243668,,,,,,
459,4,0.01423561666160822,,,,,,
469,4,0.0694134533405304,,,,,,
479,4,0.03514378145337105,,,,,,
489,4,0.026910526677966118,,,,,,
499,4,0.006537985987961292,,,,,,
509,4,0.028485938906669617,,,,,,
519,4,0.04040592163801193,,,,,,
524,4,,0.5662144422531128,0.27227723598480225,0.6519927978515625,0.13561414182186127,0.879551351070404,
525,5,,,,,,,0.13561414182186127
