train_loss,epoch,step,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,val_loss,test_loss
1.0377322435379028,0,9,,,,,,
1.2188191413879395,0,19,,,,,,
0.5063295960426331,0,29,,,,,,
0.5376119017601013,0,39,,,,,,
1.0279905796051025,0,49,,,,,,
0.5191710591316223,0,59,,,,,,
0.9092344045639038,0,69,,,,,,
0.7145291566848755,0,79,,,,,,
0.3612070679664612,0,89,,,,,,
0.7230439782142639,0,99,,,,,,
,0,104,0.4534866511821747,0.825851559638977,0.3333333432674408,0.48002639412879944,0.1543603539466858,
0.6324571967124939,1,109,,,,,,
0.6415894031524658,1,119,,,,,,
0.23930005729198456,1,129,,,,,,
0.3643285632133484,1,139,,,,,,
0.3834023177623749,1,149,,,,,,
0.5513321757316589,1,159,,,,,,
0.4907919466495514,1,169,,,,,,
0.4821230471134186,1,179,,,,,,
0.2810896039009094,1,189,,,,,,
0.25086912512779236,1,199,,,,,,
0.3003702759742737,1,209,,,,,,
,1,209,0.5443390607833862,0.8597691655158997,0.45512819290161133,0.5664505362510681,0.13033191859722137,
0.2669692039489746,2,219,,,,,,
0.24656134843826294,2,229,,,,,,
0.29802703857421875,2,239,,,,,,
0.3324490189552307,2,249,,,,,,
0.2765315771102905,2,259,,,,,,
0.3812233507633209,2,269,,,,,,
0.11172712594270706,2,279,,,,,,
0.4921671748161316,2,289,,,,,,
0.1423853039741516,2,299,,,,,,
0.21952465176582336,2,309,,,,,,
,2,314,0.6302975416183472,0.885847806930542,0.5384615659713745,0.6521050333976746,0.11987808346748352,
0.30057647824287415,3,319,,,,,,
0.32082095742225647,3,329,,,,,,
0.06578759104013443,3,339,,,,,,
0.1508844941854477,3,349,,,,,,
0.10968265682458878,3,359,,,,,,
0.29099318385124207,3,369,,,,,,
0.19266454875469208,3,379,,,,,,
0.20015956461429596,3,389,,,,,,
0.18069347739219666,3,399,,,,,,
0.10127542167901993,3,409,,,,,,
0.05267585441470146,3,419,,,,,,
,3,419,0.6431180238723755,0.8899070620536804,0.5448718070983887,0.6663424372673035,0.12027502059936523,
0.0944756418466568,4,429,,,,,,
0.11075384169816971,4,439,,,,,,
0.08006428182125092,4,449,,,,,,
0.19417087733745575,4,459,,,,,,
0.08195599168539047,4,469,,,,,,
0.24574440717697144,4,479,,,,,,
0.01872370019555092,4,489,,,,,,
0.1613621711730957,4,499,,,,,,
0.042618926614522934,4,509,,,,,,
0.08095145225524902,4,519,,,,,,
,4,524,0.6401265859603882,0.8900301456451416,0.5512820482254028,0.6605435013771057,0.12647859752178192,
,5,525,,,,,,0.12027502059936523
