step,epoch,train_loss,val_qa_sas,val_qa_em,val_loss,val_qa_bert_score,val_qa_answer_f1,test_loss
9,0,0.8540811538696289,,,,,,
19,0,0.2616299092769623,,,,,,
29,0,0.3749043345451355,,,,,,
39,0,0.2649399936199188,,,,,,
49,0,0.4330245852470398,,,,,,
59,0,0.18678800761699677,,,,,,
69,0,0.3097321391105652,,,,,,
79,0,0.6740162968635559,,,,,,
89,0,0.2113693505525589,,,,,,
99,0,0.3922574520111084,,,,,,
109,0,0.32343539595603943,,,,,,
119,0,0.25808408856391907,,,,,,
129,0,0.18090477585792542,,,,,,
139,0,0.21945679187774658,,,,,,
149,0,0.18641969561576843,,,,,,
159,0,0.19909486174583435,,,,,,
169,0,0.3536911606788635,,,,,,
179,0,0.23124544322490692,,,,,,
189,0,0.1557765007019043,,,,,,
199,0,0.23696628212928772,,,,,,
209,0,0.14700379967689514,,,,,,
219,0,0.33809447288513184,,,,,,
229,0,0.1772395223379135,,,,,,
239,0,0.10721122473478317,,,,,,
249,0,0.39462751150131226,,,,,,
259,0,0.17789186537265778,,,,,,
269,0,0.1568426638841629,,,,,,
279,0,0.24279043078422546,,,,,,
289,0,0.12486298382282257,,,,,,
299,0,0.1485394388437271,,,,,,
309,0,0.08256600052118301,,,,,,
319,0,0.17351792752742767,,,,,,
329,0,0.15295228362083435,,,,,,
339,0,0.13331551849842072,,,,,,
349,0,0.2063046395778656,,,,,,
359,0,0.04236334562301636,,,,,,
369,0,0.04888184368610382,,,,,,
379,0,0.1790902316570282,,,,,,
389,0,0.15240925550460815,,,,,,
399,0,0.13669875264167786,,,,,,
409,0,0.04858497157692909,,,,,,
419,0,0.1017361432313919,,,,,,
429,0,0.09521156549453735,,,,,,
439,0,0.15525884926319122,,,,,,
449,0,0.07924628257751465,,,,,,
459,0,0.10663054883480072,,,,,,
469,0,0.11131589114665985,,,,,,
479,0,0.0404946468770504,,,,,,
489,0,0.042517244815826416,,,,,,
499,0,0.09530340880155563,,,,,,
509,0,0.28655022382736206,,,,,,
519,0,0.1604258120059967,,,,,,
529,0,0.0928434506058693,,,,,,
539,0,0.23697766661643982,,,,,,
549,0,0.11692257970571518,,,,,,
559,0,0.11374393105506897,,,,,,
569,0,0.11019860208034515,,,,,,
579,0,0.2432807981967926,,,,,,
589,0,0.10308041423559189,,,,,,
599,0,0.25896987318992615,,,,,,
609,0,0.14959047734737396,,,,,,
619,0,0.1338610053062439,,,,,,
629,0,0.14767052233219147,,,,,,
639,0,0.08511883020401001,,,,,,
649,0,0.06936110556125641,,,,,,
659,0,0.09294401854276657,,,,,,
669,0,0.08592579513788223,,,,,,
679,0,0.12160356342792511,,,,,,
