epoch,step,train_loss,val_qa_sas,val_loss,val_qa_em,val_qa_bert_score,val_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_sas,test_loss
0,9,0.340558260679245,,,,,,,,,,
0,19,0.26096034049987793,,,,,,,,,,
0,29,0.22537517547607422,,,,,,,,,,
0,39,0.1404051035642624,,,,,,,,,,
0,49,0.15005269646644592,,,,,,,,,,
0,59,0.10737644881010056,,,,,,,,,,
0,69,0.0926281213760376,,,,,,,,,,
0,79,0.09380697458982468,,,,,,,,,,
0,89,0.29594945907592773,,,,,,,,,,
0,99,0.14576400816440582,,,,,,,,,,
0,109,0.0898309126496315,,,,,,,,,,
0,119,0.07258690893650055,,,,,,,,,,
0,124,,0.6644095182418823,0.07646416872739792,0.5823096036911011,0.9143145680427551,0.6212157011032104,,,,,
1,129,0.10340934246778488,,,,,,,,,,
1,139,0.3696264624595642,,,,,,,,,,
1,149,0.11403658241033554,,,,,,,,,,
1,159,0.05540570244193077,,,,,,,,,,
1,169,0.06866256892681122,,,,,,,,,,
1,179,0.09427236765623093,,,,,,,,,,
1,189,0.07418312877416611,,,,,,,,,,
1,199,0.08463327586650848,,,,,,,,,,
1,209,0.29203665256500244,,,,,,,,,,
1,219,0.03504764661192894,,,,,,,,,,
1,229,0.3410802185535431,,,,,,,,,,
1,239,0.037024762481451035,,,,,,,,,,
1,249,0.08355991542339325,,,,,,,,,,
1,249,,0.7043424844741821,0.06571678817272186,0.6363636255264282,0.9260696172714233,0.6727318167686462,,,,,
2,259,0.14586380124092102,,,,,,,,,,
2,269,0.16701528429985046,,,,,,,,,,
2,279,0.06509727984666824,,,,,,,,,,
2,289,0.061942052096128464,,,,,,,,,,
2,299,0.04546956345438957,,,,,,,,,,
2,309,0.05369843170046806,,,,,,,,,,
2,319,0.06037895753979683,,,,,,,,,,
2,329,0.08276855200529099,,,,,,,,,,
2,339,0.06387480348348618,,,,,,,,,,
2,349,0.06218934431672096,,,,,,,,,,
2,359,0.29681071639060974,,,,,,,,,,
2,369,0.14134182035923004,,,,,,,,,,
2,374,,0.7059321999549866,0.05633876100182533,0.6363636255264282,0.9262264966964722,0.6732025742530823,,,,,
3,379,0.054217420518398285,,,,,,,,,,
3,389,0.04514855518937111,,,,,,,,,,
3,399,0.0508897602558136,,,,,,,,,,
3,409,0.044428061693906784,,,,,,,,,,
3,419,0.04956911876797676,,,,,,,,,,
3,429,0.297748327255249,,,,,,,,,,
3,439,0.09709177911281586,,,,,,,,,,
3,449,0.05739806964993477,,,,,,,,,,
3,459,0.07025504857301712,,,,,,,,,,
3,469,0.058292556554079056,,,,,,,,,,
3,479,0.08122046291828156,,,,,,,,,,
3,489,0.052444618195295334,,,,,,,,,,
3,499,0.1348932832479477,,,,,,,,,,
3,499,,0.7174375057220459,0.056897517293691635,0.6584766507148743,0.9301134347915649,0.6910184621810913,,,,,
4,509,0.22014425694942474,,,,,,,,,,
4,519,0.03314005956053734,,,,,,,,,,
4,529,0.018730487674474716,,,,,,,,,,
4,539,0.04103884473443031,,,,,,,,,,
4,549,0.04700426757335663,,,,,,,,,,
4,559,0.07747086137533188,,,,,,,,,,
4,569,0.05878384783864021,,,,,,,,,,
4,579,0.05548948049545288,,,,,,,,,,
4,589,0.0222453773021698,,,,,,,,,,
4,599,0.07255007326602936,,,,,,,,,,
4,609,0.06486725062131882,,,,,,,,,,
4,619,0.04203084111213684,,,,,,,,,,
4,624,,0.7204434275627136,0.05179419741034508,0.6584766507148743,0.930424153804779,0.6914579272270203,,,,,
5,625,,,,,,,0.930424153804779,0.6914579272270203,0.6584766507148743,0.7204434275627136,0.05179419741034508
