step,epoch,train_loss,val_qa_answer_f1,val_qa_em,val_qa_sas,val_loss,val_qa_bert_score,test_loss
9,0,0.2752929627895355,,,,,,
19,0,0.15164399147033691,,,,,,
29,0,0.15511243045330048,,,,,,
39,0,0.10504303872585297,,,,,,
49,0,0.21197444200515747,,,,,,
59,0,0.11636611819267273,,,,,,
69,0,0.1902664750814438,,,,,,
79,0,0.2166638970375061,,,,,,
89,0,0.189466193318367,,,,,,
99,0,0.13803987205028534,,,,,,
99,0,,0.6101805567741394,0.2916666567325592,0.6766817569732666,0.09914176911115646,0.8919184803962708,
109,1,0.09382668882608414,,,,,,
119,1,0.18744595348834991,,,,,,
129,1,0.15151149034500122,,,,,,
139,1,0.09872687608003616,,,,,,
149,1,0.11991212517023087,,,,,,
159,1,0.09841945767402649,,,,,,
169,1,0.16209745407104492,,,,,,
179,1,0.09042442589998245,,,,,,
189,1,0.5620090365409851,,,,,,
199,1,0.07452883571386337,,,,,,
199,1,,0.6347455382347107,0.30000001192092896,0.6838894486427307,0.09181883931159973,0.8984702229499817,
209,2,0.053505998104810715,,,,,,
219,2,0.10573151707649231,,,,,,
229,2,0.08460688591003418,,,,,,
239,2,0.05781497806310654,,,,,,
249,2,0.06746275722980499,,,,,,
259,2,0.06695006787776947,,,,,,
269,2,0.08107093721628189,,,,,,
279,2,0.05915461853146553,,,,,,
289,2,0.07463093847036362,,,,,,
299,2,0.021133605390787125,,,,,,
299,2,,0.6434125304222107,0.2958333194255829,0.684977650642395,0.09252766519784927,0.9003740549087524,
309,3,0.03362054005265236,,,,,,
319,3,0.05412387102842331,,,,,,
329,3,0.05170077085494995,,,,,,
339,3,0.035998646169900894,,,,,,
349,3,0.041545070707798004,,,,,,
359,3,0.04402705654501915,,,,,,
369,3,0.045943088829517365,,,,,,
379,3,0.03909483179450035,,,,,,
389,3,0.04325815290212631,,,,,,
399,3,0.009463180787861347,,,,,,
399,3,,0.6398649215698242,0.28333333134651184,0.6806992888450623,0.10115932673215866,0.8985642194747925,
409,4,0.015783201903104782,,,,,,
419,4,0.02767055109143257,,,,,,
429,4,0.030561376363039017,,,,,,
439,4,0.021852299571037292,,,,,,
449,4,0.023058384656906128,,,,,,
459,4,0.027589349076151848,,,,,,
469,4,0.022966016083955765,,,,,,
479,4,0.02011784166097641,,,,,,
489,4,0.02793344296514988,,,,,,
499,4,0.005099485628306866,,,,,,
499,4,,0.6390535831451416,0.3083333373069763,0.680507242679596,0.11056467890739441,0.8985298871994019,
500,5,,,,,,,0.11056467890739441
