train_loss,step,epoch,val_qa_em,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_sas,test_loss
1.3380154371261597,9,0,,,,,,
0.9842970967292786,19,0,,,,,,
0.4498654305934906,29,0,,,,,,
0.26043373346328735,39,0,,,,,,
0.7168773412704468,49,0,,,,,,
0.6953194737434387,59,0,,,,,,
0.9593137502670288,69,0,,,,,,
0.46161651611328125,79,0,,,,,,
0.6318984031677246,89,0,,,,,,
,94,0,0.3722943663597107,0.49482011795043945,0.357303649187088,0.8438795208930969,0.5152485370635986,
0.3082062005996704,99,1,,,,,,
0.9820410013198853,109,1,,,,,,
0.403810054063797,119,1,,,,,,
0.4232198894023895,129,1,,,,,,
0.6759061217308044,139,1,,,,,,
0.2663433849811554,149,1,,,,,,
0.1090596616268158,159,1,,,,,,
0.2957302927970886,169,1,,,,,,
0.23066966235637665,179,1,,,,,,
0.5056405663490295,189,1,,,,,,
,189,1,0.40692639350891113,0.519110918045044,0.3275541663169861,0.8504875898361206,0.5326824188232422,
0.3128943145275116,199,2,,,,,,
0.24475495517253876,209,2,,,,,,
0.23340186476707458,219,2,,,,,,
0.4438354969024658,229,2,,,,,,
0.24200639128684998,239,2,,,,,,
0.67926025390625,249,2,,,,,,
0.37886175513267517,259,2,,,,,,
0.24702629446983337,269,2,,,,,,
0.209711492061615,279,2,,,,,,
,284,2,0.411255419254303,0.5165135264396667,0.3245948553085327,0.8503180146217346,0.5323508977890015,
0.07473396509885788,289,3,,,,,,
0.47362634539604187,299,3,,,,,,
0.12141144275665283,309,3,,,,,,
0.1612308770418167,319,3,,,,,,
0.26782914996147156,329,3,,,,,,
0.09248412400484085,339,3,,,,,,
0.046691831201314926,349,3,,,,,,
0.11731968820095062,359,3,,,,,,
0.06702999770641327,369,3,,,,,,
0.14443759620189667,379,3,,,,,,
,379,3,0.44155845046043396,0.5276485681533813,0.3337315618991852,0.8564736843109131,0.5387677550315857,
0.09247713536024094,389,4,,,,,,
0.12177830934524536,399,4,,,,,,
0.1341407597064972,409,4,,,,,,
0.17100198566913605,419,4,,,,,,
0.1196509525179863,429,4,,,,,,
0.2732096016407013,439,4,,,,,,
0.15429896116256714,449,4,,,,,,
0.10001382976770401,459,4,,,,,,
0.029760092496871948,469,4,,,,,,
,474,4,0.4588744640350342,0.5442122220993042,0.3549477756023407,0.8606811761856079,0.5573201179504395,
,475,5,,,,,,0.3549477756023407
