step,train_loss,epoch,val_loss,val_qa_bert_score,val_qa_sas,val_qa_em,val_qa_answer_f1,test_loss
9,1.3971952199935913,0,,,,,,
19,0.41763824224472046,0,,,,,,
29,0.8406768441200256,0,,,,,,
39,1.3978687524795532,0,,,,,,
49,0.5558943748474121,0,,,,,,
59,1.0238460302352905,0,,,,,,
69,0.6262670755386353,0,,,,,,
79,0.7257459759712219,0,,,,,,
89,0.6257705092430115,0,,,,,,
99,1.0447849035263062,0,,,,,,
102,,0,0.2272108793258667,0.8053255677223206,0.4241039454936981,0.20796459913253784,0.3845025897026062,
109,0.7608804106712341,1,,,,,,
119,2.1573326587677,1,,,,,,
129,1.1685277223587036,1,,,,,,
139,0.1942293345928192,1,,,,,,
149,0.5926979780197144,1,,,,,,
159,0.25611642003059387,1,,,,,,
169,0.345094233751297,1,,,,,,
179,0.49084144830703735,1,,,,,,
189,0.6729389429092407,1,,,,,,
199,0.7926521897315979,1,,,,,,
205,,1,0.22765278816223145,0.8433193564414978,0.5346131920814514,0.32300883531570435,0.49282199144363403,
209,0.22145457565784454,2,,,,,,
219,0.7844549417495728,2,,,,,,
229,0.5569893717765808,2,,,,,,
239,0.41900354623794556,2,,,,,,
249,0.4138045907020569,2,,,,,,
259,0.5225532054901123,2,,,,,,
269,0.793563961982727,2,,,,,,
279,0.2502095103263855,2,,,,,,
289,0.6336427927017212,2,,,,,,
299,0.2839479148387909,2,,,,,,
308,,2,0.21990850567817688,0.8605800867080688,0.571353018283844,0.3761062026023865,0.5340847373008728,
309,0.15615956485271454,3,,,,,,
319,0.46804842352867126,3,,,,,,
329,0.18667681515216827,3,,,,,,
339,0.25608813762664795,3,,,,,,
349,0.45667698979377747,3,,,,,,
359,0.2783348262310028,3,,,,,,
369,0.4461750090122223,3,,,,,,
379,0.34031951427459717,3,,,,,,
389,0.24358715116977692,3,,,,,,
399,0.3374423682689667,3,,,,,,
409,0.4548443555831909,3,,,,,,
411,,3,0.2217707633972168,0.8586248755455017,0.573161244392395,0.3761062026023865,0.5364323258399963,
419,0.1084161028265953,4,,,,,,
429,0.34774282574653625,4,,,,,,
439,0.30803459882736206,4,,,,,,
449,0.1964675784111023,4,,,,,,
459,0.2730158567428589,4,,,,,,
469,0.08604166656732559,4,,,,,,
479,0.20299316942691803,4,,,,,,
489,0.2544790208339691,4,,,,,,
499,0.18770962953567505,4,,,,,,
509,0.3166523575782776,4,,,,,,
514,,4,0.22606082260608673,0.8592840433120728,0.5730358362197876,0.3849557638168335,0.5428482294082642,
515,,5,,,,,,0.22606082260608673
