step,epoch,train_loss,val_loss,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
9,0,0.9093102216720581,,,,,,,,,,
19,0,0.9511287212371826,,,,,,,,,,
29,0,0.8719505667686462,,,,,,,,,,
39,0,0.8519218564033508,,,,,,,,,,
41,0,,0.6590118408203125,0.8014411926269531,0.2405063360929489,0.3453077971935272,0.3061157166957855,,,,,
49,1,0.8039406538009644,,,,,,,,,,
59,1,0.7466289401054382,,,,,,,,,,
69,1,0.5936764478683472,,,,,,,,,,
79,1,0.4444914162158966,,,,,,,,,,
83,1,,0.4346649944782257,0.8280617594718933,0.32278481125831604,0.4092346727848053,0.37896728515625,,,,,
89,2,0.31191569566726685,,,,,,,,,,
99,2,0.536196768283844,,,,,,,,,,
109,2,0.3962280750274658,,,,,,,,,,
119,2,0.386763334274292,,,,,,,,,,
125,2,,0.3976898789405823,0.8439344167709351,0.39240506291389465,0.4593859910964966,0.42431640625,,,,,
129,3,0.3554782569408417,,,,,,,,,,
139,3,0.4162440001964569,,,,,,,,,,
149,3,0.4272916316986084,,,,,,,,,,
159,3,0.28468334674835205,,,,,,,,,,
167,3,,0.37115898728370667,0.8439496755599976,0.40506330132484436,0.46955233812332153,0.43671876192092896,,,,,
169,4,0.26854661107063293,,,,,,,,,,
179,4,0.23107047379016876,,,,,,,,,,
189,4,0.355164110660553,,,,,,,,,,
199,4,0.4025013744831085,,,,,,,,,,
209,4,0.365203320980072,,,,,,,,,,
209,4,,0.34325700998306274,0.846555233001709,0.4113923907279968,0.47943514585494995,0.44965821504592896,,,,,
210,5,,,,,,,0.4113923907279968,0.47943514585494995,0.34325700998306274,0.846555233001709,0.44965821504592896
