epoch,step,train_loss,val_qa_sas,val_loss,val_qa_em,val_qa_bert_score,val_qa_answer_f1,test_loss
0,9,0.6075220704078674,,,,,,
0,19,0.5491513013839722,,,,,,
0,29,0.5999193787574768,,,,,,
0,39,0.2970001995563507,,,,,,
0,49,0.45388561487197876,,,,,,
0,59,0.3947003185749054,,,,,,
0,69,0.37505972385406494,,,,,,
0,79,0.6149269342422485,,,,,,
0,89,0.551084041595459,,,,,,
0,99,0.3964374363422394,,,,,,
0,99,,0.5561053156852722,0.3416004478931427,0.4065040647983551,0.8495461940765381,0.5344009399414062,
1,109,0.2118394821882248,,,,,,
1,119,0.13667050004005432,,,,,,
1,129,0.803861141204834,,,,,,
1,139,0.3845428228378296,,,,,,
1,149,0.40374961495399475,,,,,,
1,159,0.6706652641296387,,,,,,
1,169,0.31381452083587646,,,,,,
1,179,0.5992090106010437,,,,,,
1,189,0.707430362701416,,,,,,
1,199,0.26226577162742615,,,,,,
1,199,,0.5879226922988892,0.3232182264328003,0.434959352016449,0.863214373588562,0.5756252408027649,
2,209,0.12071415036916733,,,,,,
2,219,0.07977519184350967,,,,,,
2,229,0.4811125695705414,,,,,,
2,239,0.24804383516311646,,,,,,
2,249,0.2197660356760025,,,,,,
2,259,0.4199492335319519,,,,,,
2,269,0.17083579301834106,,,,,,
2,279,0.2658536434173584,,,,,,
2,289,0.48970314860343933,,,,,,
2,299,0.12924014031887054,,,,,,
2,299,,0.6025750637054443,0.32743144035339355,0.47154471278190613,0.8673833012580872,0.5956653952598572,
3,309,0.06377800554037094,,,,,,
3,319,0.04250135272741318,,,,,,
3,329,0.35085880756378174,,,,,,
3,339,0.16913776099681854,,,,,,
3,349,0.12615226209163666,,,,,,
3,359,0.27827855944633484,,,,,,
3,369,0.07538538426160812,,,,,,
3,379,0.14264366030693054,,,,,,
3,389,0.37733733654022217,,,,,,
3,399,0.08880133181810379,,,,,,
3,399,,0.5997708439826965,0.3392709493637085,0.47154471278190613,0.8655263185501099,0.5915024280548096,
4,409,0.038632333278656006,,,,,,
4,419,0.022620534524321556,,,,,,
4,429,0.2598520815372467,,,,,,
4,439,0.11479159444570541,,,,,,
4,449,0.06469026207923889,,,,,,
4,459,0.16744297742843628,,,,,,
4,469,0.03758705034852028,,,,,,
4,479,0.0677345022559166,,,,,,
4,489,0.27563515305519104,,,,,,
4,499,0.060749687254428864,,,,,,
4,499,,0.6069254279136658,0.36208444833755493,0.4918699264526367,0.8694167733192444,0.6042288541793823,
5,500,,,,,,,0.36208444833755493
