epoch,train_loss,step,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,val_qa_sas,test_loss
0,0.8404792547225952,9,,,,,,
0,0.4586998224258423,19,,,,,,
0,0.27558305859565735,29,,,,,,
0,0.25116461515426636,39,,,,,,
0,0.24248440563678741,49,,,,,,
0,0.31224220991134644,59,,,,,,
0,0.16630537807941437,69,,,,,,
0,0.14209479093551636,79,,,,,,
0,0.1313123106956482,89,,,,,,
0,0.1596919298171997,99,,,,,,
0,0.20017249882221222,109,,,,,,
0,0.2720816135406494,119,,,,,,
0,0.19384780526161194,129,,,,,,
0,0.2421649545431137,139,,,,,,
0,0.19454021751880646,149,,,,,,
0,0.16054509580135345,159,,,,,,
0,0.23696814477443695,169,,,,,,
0,0.19295066595077515,179,,,,,,
0,0.24066117405891418,189,,,,,,
0,0.2739938795566559,199,,,,,,
0,0.1605757623910904,209,,,,,,
0,0.1459551751613617,219,,,,,,
0,0.23774437606334686,229,,,,,,
0,0.11342776566743851,239,,,,,,
0,0.1984519362449646,249,,,,,,
0,0.24068382382392883,259,,,,,,
0,0.15353325009346008,269,,,,,,
0,0.2942560613155365,279,,,,,,
0,0.33011776208877563,289,,,,,,
0,0.14408643543720245,299,,,,,,
0,0.183023601770401,309,,,,,,
0,0.13295520842075348,319,,,,,,
0,0.23534932732582092,329,,,,,,
0,0.16471590101718903,339,,,,,,
0,,344,0.3076578378677368,0.7970072031021118,0.1380871832370758,0.25387871265411377,0.34259873628616333,
1,0.170845627784729,349,,,,,,
1,0.19519861042499542,359,,,,,,
1,0.23695491254329681,369,,,,,,
1,0.304336279630661,379,,,,,,
1,0.12293723225593567,389,,,,,,
1,0.13996648788452148,399,,,,,,
1,0.09762673079967499,409,,,,,,
1,0.1327262669801712,419,,,,,,
1,0.16688355803489685,429,,,,,,
1,0.19796237349510193,439,,,,,,
1,0.13694889843463898,449,,,,,,
1,0.2357548475265503,459,,,,,,
1,0.2202969640493393,469,,,,,,
1,0.12111756205558777,479,,,,,,
1,0.1399441361427307,489,,,,,,
1,0.10978811979293823,499,,,,,,
1,0.1735803186893463,509,,,,,,
