epoch,step,train_loss,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,test_loss
0,9,0.9299761652946472,,,,,,
0,19,0.9262130260467529,,,,,,
0,29,0.28730952739715576,,,,,,
0,39,0.5845710635185242,,,,,,
0,49,1.08913254737854,,,,,,
0,59,0.4979395270347595,,,,,,
0,69,0.6442103385925293,,,,,,
0,79,0.6958263516426086,,,,,,
0,89,0.3539896607398987,,,,,,
0,99,0.5626038312911987,,,,,,
0,104,,0.593169093132019,0.5667938590049744,0.1399579644203186,0.8545803427696228,0.4166666567325592,
1,109,0.6090431809425354,,,,,,
1,119,0.46209368109703064,,,,,,
1,129,0.20506654679775238,,,,,,
1,139,0.26899075508117676,,,,,,
1,149,0.1988678276538849,,,,,,
1,159,0.4888554513454437,,,,,,
1,169,0.505353569984436,,,,,,
1,179,0.31246498227119446,,,,,,
1,189,0.1733468919992447,,,,,,
1,199,0.33613264560699463,,,,,,
1,209,0.25416404008865356,,,,,,
1,209,,0.6402122974395752,0.6188772916793823,0.12868455052375793,0.8725977540016174,0.5,
2,219,0.1527893990278244,,,,,,
2,229,0.2319289892911911,,,,,,
2,239,0.19500526785850525,,,,,,
2,249,0.2165723592042923,,,,,,
2,259,0.1192612424492836,,,,,,
2,269,0.3112681806087494,,,,,,
2,279,0.09471235424280167,,,,,,
2,289,0.28281718492507935,,,,,,
2,299,0.0729866623878479,,,,,,
2,309,0.10955612361431122,,,,,,
2,314,,0.6495017409324646,0.630446195602417,0.12919016182422638,0.876386821269989,0.5320512652397156,
3,319,0.27022048830986023,,,,,,
3,329,0.23268558084964752,,,,,,
3,339,0.10230914503335953,,,,,,
3,349,0.12913478910923004,,,,,,
3,359,0.07247411459684372,,,,,,
3,369,0.1607537865638733,,,,,,
3,379,0.17594607174396515,,,,,,
3,389,0.13733014464378357,,,,,,
3,399,0.04281516745686531,,,,,,
3,409,0.0982353463768959,,,,,,
3,419,0.008669880218803883,,,,,,
3,419,,0.6595447063446045,0.6372948884963989,0.1352214515209198,0.8793532848358154,0.5384615659713745,
4,429,0.08123131096363068,,,,,,
4,439,0.08434919267892838,,,,,,
4,449,0.05423970893025398,,,,,,
4,459,0.11174566298723221,,,,,,
4,469,0.05372723564505577,,,,,,
4,479,0.17270731925964355,,,,,,
4,489,0.04984979331493378,,,,,,
4,499,0.17364978790283203,,,,,,
4,509,0.02438921108841896,,,,,,
4,519,0.04770477116107941,,,,,,
4,524,,0.6708348989486694,0.6468895077705383,0.14815546572208405,0.8830547332763672,0.5512820482254028,
5,525,,,,,,,0.14815546572208405
