step,train_loss,epoch,val_qa_answer_f1,val_qa_sas,val_qa_em,val_loss,val_qa_bert_score,test_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_answer_f1
9,1.1009736061096191,0,,,,,,,,,,
19,0.7540632486343384,0,,,,,,,,,,
29,0.44438716769218445,0,,,,,,,,,,
39,0.29463303089141846,0,,,,,,,,,,
49,0.3025561571121216,0,,,,,,,,,,
59,0.2955853343009949,0,,,,,,,,,,
69,0.3502752482891083,0,,,,,,,,,,
79,0.4694138765335083,0,,,,,,,,,,
89,0.30162960290908813,0,,,,,,,,,,
99,0.2836317718029022,0,,,,,,,,,,
109,0.32711881399154663,0,,,,,,,,,,
119,0.2848582863807678,0,,,,,,,,,,
129,0.2761966586112976,0,,,,,,,,,,
139,0.23585815727710724,0,,,,,,,,,,
149,0.4188131093978882,0,,,,,,,,,,
159,0.24147842824459076,0,,,,,,,,,,
169,0.2957257032394409,0,,,,,,,,,,
169,,0,0.39611268043518066,0.41381582617759705,0.3469119668006897,0.21634426712989807,0.8157165050506592,,,,,
179,0.2173854112625122,1,,,,,,,,,,
189,0.2238263189792633,1,,,,,,,,,,
199,0.18874089419841766,1,,,,,,,,,,
209,0.16798734664916992,1,,,,,,,,,,
219,0.31465259194374084,1,,,,,,,,,,
229,0.284934401512146,1,,,,,,,,,,
239,0.27786654233932495,1,,,,,,,,,,
249,0.3252164125442505,1,,,,,,,,,,
259,0.20448718965053558,1,,,,,,,,,,
269,0.2232159674167633,1,,,,,,,,,,
279,0.20359623432159424,1,,,,,,,,,,
289,0.2744863033294678,1,,,,,,,,,,
299,0.16023015975952148,1,,,,,,,,,,
309,0.3240776062011719,1,,,,,,,,,,
319,0.14329546689987183,1,,,,,,,,,,
329,0.25093507766723633,1,,,,,,,,,,
339,0.22008292376995087,1,,,,,,,,,,
339,,1,0.45158451795578003,0.46772512793540955,0.4047306180000305,0.19103218615055084,0.8372544646263123,,,,,
349,0.17133231461048126,2,,,,,,,,,,
359,0.39578282833099365,2,,,,,,,,,,
369,0.2406924068927765,2,,,,,,,,,,
379,0.1707136482000351,2,,,,,,,,,,
389,0.14876964688301086,2,,,,,,,,,,
399,0.19905701279640198,2,,,,,,,,,,
409,0.13880668580532074,2,,,,,,,,,,
419,0.17899779975414276,2,,,,,,,,,,
429,0.20368584990501404,2,,,,,,,,,,
439,0.18946628272533417,2,,,,,,,,,,
449,0.2564280033111572,2,,,,,,,,,,
459,0.14603698253631592,2,,,,,,,,,,
469,0.15994714200496674,2,,,,,,,,,,
479,0.17141908407211304,2,,,,,,,,,,
489,0.31293025612831116,2,,,,,,,,,,
499,0.12729787826538086,2,,,,,,,,,,
509,0.09475275129079819,2,,,,,,,,,,
509,,2,0.46343156695365906,0.4766387939453125,0.41524308919906616,0.18405738472938538,0.8430664539337158,,,,,
519,0.21446910500526428,3,,,,,,,,,,
529,0.1045752614736557,3,,,,,,,,,,
539,0.17879235744476318,3,,,,,,,,,,
549,0.12988893687725067,3,,,,,,,,,,
559,0.21020418405532837,3,,,,,,,,,,
569,0.1411593109369278,3,,,,,,,,,,
579,0.14976006746292114,3,,,,,,,,,,
589,0.2608160078525543,3,,,,,,,,,,
599,0.1571243405342102,3,,,,,,,,,,
609,0.24046172201633453,3,,,,,,,,,,
619,0.1646195501089096,3,,,,,,,,,,
629,0.1990904062986374,3,,,,,,,,,,
639,0.19897578656673431,3,,,,,,,,,,
649,0.12239716947078705,3,,,,,,,,,,
659,0.11446411162614822,3,,,,,,,,,,
669,0.14344431459903717,3,,,,,,,,,,
679,0.13130784034729004,3,,,,,,,,,,
679,,3,0.47672587633132935,0.4885813295841217,0.4283837080001831,0.175618514418602,0.8508294224739075,,,,,
689,0.1402416080236435,4,,,,,,,,,,
699,0.17145459353923798,4,,,,,,,,,,
709,0.1388937085866928,4,,,,,,,,,,
719,0.16162078082561493,4,,,,,,,,,,
729,0.14295214414596558,4,,,,,,,,,,
739,0.1947932243347168,4,,,,,,,,,,
749,0.11282859742641449,4,,,,,,,,,,
759,0.1421319842338562,4,,,,,,,,,,
769,0.11855046451091766,4,,,,,,,,,,
779,0.1199599951505661,4,,,,,,,,,,
789,0.19615237414836884,4,,,,,,,,,,
799,0.23238405585289001,4,,,,,,,,,,
809,0.14855653047561646,4,,,,,,,,,,
819,0.16792015731334686,4,,,,,,,,,,
829,0.2377176433801651,4,,,,,,,,,,
839,0.1149541437625885,4,,,,,,,,,,
849,0.08398688584566116,4,,,,,,,,,,
849,,4,0.48781001567840576,0.5020497441291809,0.4428383708000183,0.17135398089885712,0.855776309967041,,,,,
850,,5,,,,,,0.17135398089885712,0.855776309967041,0.4428383708000183,0.5020497441291809,0.48781001567840576
