step,train_loss,epoch,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,val_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_loss
9,1.2376809120178223,0,,,,,,,,,,
19,1.1685417890548706,0,,,,,,,,,,
29,1.0056871175765991,0,,,,,,,,,,
39,1.0048322677612305,0,,,,,,,,,,
49,0.5623447299003601,0,,,,,,,,,,
59,0.6809016466140747,0,,,,,,,,,,
61,,0,0.268356591463089,0.512286901473999,0.7930470108985901,0.18220339715480804,0.2428235560655594,,,,,
69,0.48619189858436584,1,,,,,,,,,,
79,0.5355976223945618,1,,,,,,,,,,
89,0.3758322298526764,1,,,,,,,,,,
99,0.6426082849502563,1,,,,,,,,,,
109,0.48691949248313904,1,,,,,,,,,,
119,0.5677637457847595,1,,,,,,,,,,
123,,1,0.3262555003166199,0.435414582490921,0.8142011761665344,0.24576270580291748,0.298785537481308,,,,,
129,0.49493899941444397,2,,,,,,,,,,
139,0.56836998462677,2,,,,,,,,,,
149,0.3223506808280945,2,,,,,,,,,,
159,0.314329594373703,2,,,,,,,,,,
169,0.4891984760761261,2,,,,,,,,,,
179,0.3425750136375427,2,,,,,,,,,,
185,,2,0.3541792631149292,0.38085630536079407,0.8243392109870911,0.2711864411830902,0.32250767946243286,,,,,
189,0.34757667779922485,3,,,,,,,,,,
199,0.3830164074897766,3,,,,,,,,,,
209,0.32782354950904846,3,,,,,,,,,,
219,0.3553627133369446,3,,,,,,,,,,
229,0.43221378326416016,3,,,,,,,,,,
239,0.3430255055427551,3,,,,,,,,,,
247,,3,0.3569568395614624,0.3684784471988678,0.8218032717704773,0.2881355881690979,0.33231106400489807,,,,,
249,0.33988597989082336,4,,,,,,,,,,
259,0.37163248658180237,4,,,,,,,,,,
269,0.41261565685272217,4,,,,,,,,,,
279,0.22649255394935608,4,,,,,,,,,,
289,0.3145488202571869,4,,,,,,,,,,
299,0.2244684398174286,4,,,,,,,,,,
309,0.39607691764831543,4,,,,,,,,,,
309,,4,0.39041897654533386,0.35019469261169434,0.8380382061004639,0.32203391194343567,0.3670697510242462,,,,,
310,,5,,,,,,0.8380382061004639,0.39041897654533386,0.3670697510242462,0.32203391194343567,0.35019469261169434
