step,train_loss,epoch,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,val_loss,test_loss
9,4.395979881286621,0,,,,,,
19,3.2602436542510986,0,,,,,,
29,2.7726423740386963,0,,,,,,
39,2.2983946800231934,0,,,,,,
49,1.4432352781295776,0,,,,,,
59,1.2369751930236816,0,,,,,,
69,0.7053440809249878,0,,,,,,
79,0.4364531934261322,0,,,,,,
89,0.3343488872051239,0,,,,,,
99,0.2291044294834137,0,,,,,,
107,,0,0.418083518743515,0.8053182363510132,0.21621622145175934,0.47921720147132874,0.34477725625038147,
109,0.18206211924552917,1,,,,,,
119,0.21362973749637604,1,,,,,,
129,0.18044674396514893,1,,,,,,
139,0.16348418593406677,1,,,,,,
149,0.22898128628730774,1,,,,,,
159,0.2482679933309555,1,,,,,,
169,0.1613316684961319,1,,,,,,
179,0.19910962879657745,1,,,,,,
189,0.13334427773952484,1,,,,,,
199,0.09919928759336472,1,,,,,,
209,0.1285402625799179,1,,,,,,
215,,1,0.4126781225204468,0.802987277507782,0.2108108103275299,0.4735042154788971,0.19392149150371552,
219,0.12745875120162964,2,,,,,,
229,0.07946696132421494,2,,,,,,
239,0.0823075994849205,2,,,,,,
249,0.10363908112049103,2,,,,,,
259,0.06726780533790588,2,,,,,,
269,0.11151140928268433,2,,,,,,
279,0.10886365175247192,2,,,,,,
289,0.04821087419986725,2,,,,,,
299,0.029155723750591278,2,,,,,,
309,0.046737853437662125,2,,,,,,
319,0.03234444558620453,2,,,,,,
323,,2,0.42985665798187256,0.8066427111625671,0.22162161767482758,0.4849696755409241,0.2228899449110031,
329,0.033863600343465805,3,,,,,,
339,0.08065161108970642,3,,,,,,
349,0.023179583251476288,3,,,,,,
359,0.016215672716498375,3,,,,,,
369,0.019043924286961555,3,,,,,,
379,0.07146622985601425,3,,,,,,
389,0.012111430056393147,3,,,,,,
399,0.08467712998390198,3,,,,,,
409,0.027222545817494392,3,,,,,,
419,0.018770020455121994,3,,,,,,
429,0.03114045411348343,3,,,,,,
431,,3,0.42985665798187256,0.8062636852264404,0.22162161767482758,0.484852135181427,0.17175759375095367,
439,0.015087073668837547,4,,,,,,
449,0.008092436008155346,4,,,,,,
459,0.007115837652236223,4,,,,,,
469,0.0045702229253947735,4,,,,,,
479,0.011480447836220264,4,,,,,,
489,0.008771028369665146,4,,,,,,
499,0.012131375260651112,4,,,,,,
509,0.016185684129595757,4,,,,,,
519,0.006252609193325043,4,,,,,,
529,0.015238555148243904,4,,,,,,
539,0.011934173293411732,4,,,,,,
539,,4,0.42985665798187256,0.8062636852264404,0.22162161767482758,0.484852135181427,0.08342558890581131,
540,,5,,,,,,0.08342558890581131
