step,epoch,train_loss,val_loss,val_qa_answer_f1,val_qa_em,val_qa_sas,val_qa_bert_score,test_loss
9,0,0.25623637437820435,,,,,,
19,0,1.6350504159927368,,,,,,
29,0,0.2467818260192871,,,,,,
39,0,0.13153153657913208,,,,,,
49,0,0.6156975030899048,,,,,,
59,0,0.3074476420879364,,,,,,
69,0,0.6941181421279907,,,,,,
79,0,1.8233494758605957,,,,,,
89,0,0.4070410430431366,,,,,,
99,0,0.24744242429733276,,,,,,
109,0,0.6215181350708008,,,,,,
119,0,0.25221654772758484,,,,,,
129,0,0.26621511578559875,,,,,,
139,0,0.22548241913318634,,,,,,
149,0,0.23575100302696228,,,,,,
159,0,0.2252473533153534,,,,,,
169,0,0.09701714664697647,,,,,,
179,0,0.5079432129859924,,,,,,
189,0,0.18946883082389832,,,,,,
199,0,0.20101624727249146,,,,,,
209,0,0.33225080370903015,,,,,,
219,0,0.3624427020549774,,,,,,
229,0,0.5142182111740112,,,,,,
239,0,0.39806923270225525,,,,,,
249,0,0.12936760485172272,,,,,,
259,0,0.16372741758823395,,,,,,
269,0,1.9054625034332275,,,,,,
279,0,0.3416946828365326,,,,,,
289,0,0.050711289048194885,,,,,,
299,0,0.3831193149089813,,,,,,
309,0,0.1206420511007309,,,,,,
319,0,0.32579582929611206,,,,,,
329,0,0.1963096410036087,,,,,,
339,0,0.1485346108675003,,,,,,
349,0,0.17040394246578217,,,,,,
359,0,0.07766380906105042,,,,,,
369,0,0.06405387818813324,,,,,,
379,0,0.12486959993839264,,,,,,
389,0,0.16687172651290894,,,,,,
399,0,0.15485063195228577,,,,,,
409,0,0.2613334655761719,,,,,,
419,0,0.1246233806014061,,,,,,
429,0,0.15713541209697723,,,,,,
439,0,0.13265232741832733,,,,,,
449,0,0.1813916265964508,,,,,,
459,0,0.1698141098022461,,,,,,
469,0,0.18161652982234955,,,,,,
479,0,0.217342808842659,,,,,,
489,0,0.04382586479187012,,,,,,
499,0,0.39749038219451904,,,,,,
509,0,0.11876705288887024,,,,,,
519,0,0.11824876070022583,,,,,,
529,0,0.09182533621788025,,,,,,
539,0,0.08112385869026184,,,,,,
549,0,0.11834925413131714,,,,,,
559,0,0.03613536059856415,,,,,,
569,0,0.06461033225059509,,,,,,
579,0,0.17226791381835938,,,,,,
589,0,0.11929893493652344,,,,,,
599,0,0.05605531111359596,,,,,,
609,0,0.07985662668943405,,,,,,
619,0,0.09926503896713257,,,,,,
629,0,0.14204511046409607,,,,,,
639,0,0.09547660499811172,,,,,,
649,0,0.08775506913661957,,,,,,
659,0,0.21123197674751282,,,,,,
669,0,0.07334619015455246,,,,,,
679,0,0.15127238631248474,,,,,,
689,0,0.08209557086229324,,,,,,
699,0,0.14929437637329102,,,,,,
709,0,0.4625772535800934,,,,,,
719,0,0.10876236110925674,,,,,,
729,0,0.09693256765604019,,,,,,
739,0,0.14596408605575562,,,,,,
749,0,0.09543070197105408,,,,,,
759,0,0.150224506855011,,,,,,
769,0,0.1126534566283226,,,,,,
779,0,0.041680045425891876,,,,,,
789,0,0.06636998802423477,,,,,,
799,0,0.13059954345226288,,,,,,
809,0,0.18178944289684296,,,,,,
819,0,0.08847057819366455,,,,,,
829,0,0.05233954265713692,,,,,,
839,0,0.07671767473220825,,,,,,
849,0,0.04385223239660263,,,,,,
859,0,0.15291179716587067,,,,,,
869,0,0.07525626569986343,,,,,,
879,0,0.0987490639090538,,,,,,
889,0,0.27224820852279663,,,,,,
899,0,0.1890605390071869,,,,,,
909,0,0.048957064747810364,,,,,,
919,0,0.29553428292274475,,,,,,
925,0,,0.07743104547262192,0.6322035789489746,0.3744680881500244,0.6814764738082886,0.8930515050888062,
929,1,0.24335041642189026,,,,,,
939,1,0.0814412385225296,,,,,,
949,1,0.05471706762909889,,,,,,
959,1,0.053720321506261826,,,,,,
969,1,0.07000698149204254,,,,,,
979,1,0.07142699509859085,,,,,,
989,1,0.12283723801374435,,,,,,
999,1,0.062115445733070374,,,,,,
1009,1,0.10186588019132614,,,,,,
1019,1,0.041317474097013474,,,,,,
1029,1,0.07682033628225327,,,,,,
1039,1,0.09023600071668625,,,,,,
