train_loss,epoch,step,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_loss,val_qa_sas,test_loss
1.1569894552230835,0,9,,,,,,
0.25989797711372375,0,19,,,,,,
0.2118585705757141,0,29,,,,,,
0.24065279960632324,0,39,,,,,,
0.20855556428432465,0,49,,,,,,
0.26690375804901123,0,59,,,,,,
0.15335704386234283,0,69,,,,,,
0.13263796269893646,0,79,,,,,,
0.19695471227169037,0,89,,,,,,
0.134957954287529,0,99,,,,,,
,0,104,0.49562400579452515,0.21287128329277039,0.85850989818573,0.15743154287338257,0.5943446755409241,
0.09286350011825562,1,109,,,,,,
0.13758356869220734,1,119,,,,,,
0.5718072652816772,1,129,,,,,,
0.2161710411310196,1,139,,,,,,
0.09219158440828323,1,149,,,,,,
0.16680675745010376,1,159,,,,,,
0.2079702466726303,1,169,,,,,,
0.19309602677822113,1,179,,,,,,
0.11768218129873276,1,189,,,,,,
0.0904233455657959,1,199,,,,,,
0.0413535051047802,1,209,,,,,,
,1,209,0.5353313684463501,0.2772277295589447,0.8725975155830383,0.14045199751853943,0.634783148765564,
0.09718333184719086,2,219,,,,,,
0.136602520942688,2,229,,,,,,
0.11547567695379257,2,239,,,,,,
0.06306470185518265,2,249,,,,,,
0.19309134781360626,2,259,,,,,,
0.060187291353940964,2,269,,,,,,
0.06396530568599701,2,279,,,,,,
0.03201483190059662,2,289,,,,,,
0.0950627252459526,2,299,,,,,,
0.14991725981235504,2,309,,,,,,
,2,314,0.5586272478103638,0.301980197429657,0.8783310651779175,0.1315702497959137,0.6541305184364319,
0.03316500410437584,3,319,,,,,,
0.059894073754549026,3,329,,,,,,
0.2814456522464752,3,339,,,,,,
0.0857352539896965,3,349,,,,,,
0.03404701128602028,3,359,,,,,,
0.08491344749927521,3,369,,,,,,
0.12521614134311676,3,379,,,,,,
0.08206861466169357,3,389,,,,,,
0.052965354174375534,3,399,,,,,,
0.032243791967630386,3,409,,,,,,
0.004223707132041454,3,419,,,,,,
,3,419,0.5976613759994507,0.32673266530036926,0.8884944915771484,0.12379641830921173,0.6795191764831543,
0.024865537881851196,4,429,,,,,,
0.06014351174235344,4,439,,,,,,
0.05776400491595268,4,449,,,,,,
0.019576020538806915,4,459,,,,,,
0.07198026776313782,4,469,,,,,,
0.02963588573038578,4,479,,,,,,
0.016311874613165855,4,489,,,,,,
0.007659827824681997,4,499,,,,,,
0.033425506204366684,4,509,,,,,,
0.07953204214572906,4,519,,,,,,
,4,524,0.5986664891242981,0.3217821717262268,0.8892657160758972,0.1309865117073059,0.6824955940246582,
,5,525,,,,,,0.1309865117073059
