step,epoch,train_loss,val_qa_em,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_bert_score,test_loss
9,0,0.09352666884660721,,,,,,
19,0,0.07311147451400757,,,,,,
29,0,0.06736771017313004,,,,,,
39,0,0.06797830015420914,,,,,,
49,0,0.053979236632585526,,,,,,
59,0,0.05183257535099983,,,,,,
69,0,0.08352085947990417,,,,,,
79,0,0.07530716061592102,,,,,,
89,0,0.05208401381969452,,,,,,
99,0,0.062224406749010086,,,,,,
109,0,0.060227081179618835,,,,,,
119,0,0.06551364064216614,,,,,,
129,0,0.05960977450013161,,,,,,
139,0,0.045275017619132996,,,,,,
149,0,0.06587717682123184,,,,,,
159,0,0.06844334304332733,,,,,,
169,0,0.042071256786584854,,,,,,
179,0,0.0410328283905983,,,,,,
189,0,0.03932700678706169,,,,,,
199,0,0.05259548872709274,,,,,,
209,0,0.050064604729413986,,,,,,
219,0,0.03984242305159569,,,,,,
229,0,0.05062062665820122,,,,,,
239,0,0.0659821629524231,,,,,,
239,0,,0.42126789689064026,0.48333820700645447,0.10484936088323593,0.5470377206802368,0.8836871981620789,
249,1,0.0717628076672554,,,,,,
259,1,0.039757922291755676,,,,,,
269,1,0.029983103275299072,,,,,,
279,1,0.050194017589092255,,,,,,
289,1,0.06939870864152908,,,,,,
299,1,0.0411415658891201,,,,,,
309,1,0.04235111176967621,,,,,,
319,1,0.03701286017894745,,,,,,
329,1,0.022075610235333443,,,,,,
339,1,0.038920722901821136,,,,,,
349,1,0.04104897007346153,,,,,,
359,1,0.07912959158420563,,,,,,
369,1,0.026720022782683372,,,,,,
379,1,0.02731136418879032,,,,,,
389,1,0.0321677066385746,,,,,,
399,1,0.02272719331085682,,,,,,
409,1,0.037872541695833206,,,,,,
419,1,0.03721341863274574,,,,,,
429,1,0.11829911917448044,,,,,,
439,1,0.022085174918174744,,,,,,
449,1,0.024573607370257378,,,,,,
459,1,0.030462564900517464,,,,,,
469,1,0.044359900057315826,,,,,,
479,1,0.038225263357162476,,,,,,
479,1,,0.615541934967041,0.6477848887443542,0.06456831097602844,0.6815003156661987,0.91910320520401,
489,2,0.038361143320798874,,,,,,
499,2,0.022941218689084053,,,,,,
509,2,0.014197013340890408,,,,,,
519,2,0.034562889486551285,,,,,,
529,2,0.0498657189309597,,,,,,
539,2,0.03141944110393524,,,,,,
549,2,0.02698519453406334,,,,,,
559,2,0.013273132964968681,,,,,,
569,2,0.008982603438198566,,,,,,
579,2,0.02871757373213768,,,,,,
589,2,0.024696750566363335,,,,,,
599,2,0.03240165114402771,,,,,,
609,2,0.017496943473815918,,,,,,
619,2,0.009608220309019089,,,,,,
629,2,0.01736794039607048,,,,,,
639,2,0.014777366071939468,,,,,,
649,2,0.019619302824139595,,,,,,
659,2,0.02705965004861355,,,,,,
669,2,0.03633040562272072,,,,,,
679,2,0.01594310626387596,,,,,,
689,2,0.009764572605490685,,,,,,
699,2,0.007018391974270344,,,,,,
709,2,0.031218450516462326,,,,,,
719,2,0.027421103790402412,,,,,,
719,2,,0.6339468359947205,0.6634281277656555,0.06599917262792587,0.6970956325531006,0.9219623804092407,
729,3,0.02278631180524826,,,,,,
739,3,0.019023988395929337,,,,,,
749,3,0.012309310026466846,,,,,,
759,3,0.03249913081526756,,,,,,
769,3,0.031792983412742615,,,,,,
779,3,0.02013673260807991,,,,,,
789,3,0.015824763104319572,,,,,,
799,3,0.0042071593925356865,,,,,,
809,3,0.0054503860883414745,,,,,,
819,3,0.021433666348457336,,,,,,
829,3,0.02067282795906067,,,,,,
839,3,0.014085772447288036,,,,,,
849,3,0.009001768194139004,,,,,,
859,3,0.0032534352503716946,,,,,,
869,3,0.005250756628811359,,,,,,
879,3,0.011872305534780025,,,,,,
889,3,0.007580711971968412,,,,,,
899,3,0.01463156659156084,,,,,,
909,3,0.019414490088820457,,,,,,
919,3,0.009047086350619793,,,,,,
929,3,0.0022854881826788187,,,,,,
939,3,0.0037436040583997965,,,,,,
949,3,0.011729666963219643,,,,,,
959,3,0.013119673356413841,,,,,,
959,3,,0.580777108669281,0.6148952841758728,0.13982649147510529,0.6579864621162415,0.9113308787345886,
969,4,0.01608700305223465,,,,,,
979,4,0.005945480428636074,,,,,,
989,4,0.004119768738746643,,,,,,
999,4,0.026803772896528244,,,,,,
1009,4,0.02137366682291031,,,,,,
1019,4,0.006651585455983877,,,,,,
1029,4,0.0084399888291955,,,,,,
1039,4,0.0017126218881458044,,,,,,
1049,4,0.008108273148536682,,,,,,
1059,4,0.008493004366755486,,,,,,
1069,4,0.026065366342663765,,,,,,
1079,4,0.00541199604049325,,,,,,
1089,4,0.0030179056338965893,,,,,,
1099,4,0.0009438222623430192,,,,,,
1109,4,0.009161700494587421,,,,,,
1119,4,0.005782613065093756,,,,,,
1129,4,0.002537874737754464,,,,,,
1139,4,0.011535974219441414,,,,,,
1149,4,0.005835649091750383,,,,,,
1159,4,0.002400769153609872,,,,,,
1169,4,0.0006705851992592216,,,,,,
1179,4,0.004773933440446854,,,,,,
1189,4,0.0032944404520094395,,,,,,
1199,4,0.0018393609207123518,,,,,,
1199,4,,0.5971370339393616,0.6298598051071167,0.2227749228477478,0.6716158390045166,0.9161790609359741,
1200,5,,,,,,,0.2227749228477478
