epoch,train_loss,step,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_em,test_loss
0,0.510516345500946,9,,,,,,
0,0.1459488868713379,19,,,,,,
0,0.2139180451631546,29,,,,,,
0,0.4512419104576111,39,,,,,,
0,0.1531885862350464,49,,,,,,
0,0.24135634303092957,59,,,,,,
0,0.37256401777267456,69,,,,,,
0,0.25016483664512634,79,,,,,,
0,0.3889533579349518,89,,,,,,
0,0.23368695378303528,99,,,,,,
0,0.08107982575893402,109,,,,,,
0,0.1684110015630722,119,,,,,,
0,0.16968290507793427,129,,,,,,
0,0.20375733077526093,139,,,,,,
0,0.1600419282913208,149,,,,,,
0,0.24967290461063385,159,,,,,,
0,0.2114591747522354,169,,,,,,
0,0.1562274545431137,179,,,,,,
0,0.1544128656387329,189,,,,,,
0,0.2788909375667572,199,,,,,,
0,0.09974256902933121,209,,,,,,
0,0.12582550942897797,219,,,,,,
0,0.07954180240631104,229,,,,,,
0,0.1644393354654312,239,,,,,,
0,0.1183091253042221,249,,,,,,
0,0.13199712336063385,259,,,,,,
0,0.08386322110891342,269,,,,,,
0,0.13996478915214539,279,,,,,,
0,0.10692039877176285,289,,,,,,
0,0.1142205223441124,299,,,,,,
0,0.09520305693149567,309,,,,,,
0,0.15705417096614838,319,,,,,,
0,0.12214776128530502,329,,,,,,
0,0.09795945137739182,339,,,,,,
0,0.161092609167099,349,,,,,,
0,0.12263523042201996,359,,,,,,
0,0.1925688087940216,369,,,,,,
0,0.036600008606910706,379,,,,,,
0,0.10050568729639053,389,,,,,,
0,0.14015726745128632,399,,,,,,
0,0.12439694255590439,409,,,,,,
0,0.11788595467805862,419,,,,,,
0,0.09564989060163498,429,,,,,,
0,0.06685428321361542,439,,,,,,
0,0.2092234492301941,449,,,,,,
0,0.06014423072338104,459,,,,,,
0,0.059682901948690414,469,,,,,,
0,0.14075399935245514,479,,,,,,
0,0.09570449590682983,489,,,,,,
0,0.10049408674240112,499,,,,,,
0,0.08110864460468292,509,,,,,,
0,0.15174216032028198,519,,,,,,
0,0.1469126045703888,529,,,,,,
0,0.08051936328411102,539,,,,,,
0,0.1344340592622757,549,,,,,,
0,0.15119656920433044,559,,,,,,
0,0.11537003517150879,569,,,,,,
0,0.10255149006843567,579,,,,,,
0,0.2212868481874466,589,,,,,,
0,0.074266716837883,599,,,,,,
0,0.1337980329990387,609,,,,,,
0,0.061429109424352646,619,,,,,,
0,0.07914023846387863,629,,,,,,
0,0.05898077040910721,639,,,,,,
0,0.12190532684326172,649,,,,,,
0,0.05130872130393982,659,,,,,,
0,0.10425810515880585,669,,,,,,
0,0.10003738105297089,679,,,,,,
0,0.06410793960094452,689,,,,,,
0,0.15352046489715576,699,,,,,,
0,0.13307446241378784,709,,,,,,
