train_loss,epoch,step,val_qa_sas,val_qa_bert_score,val_qa_em,val_loss,val_qa_answer_f1,test_avg_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_sas
1.3413697481155396,0,9,,,,,,,,,,
0.869530975818634,0,19,,,,,,,,,,
0.6346970200538635,0,29,,,,,,,,,,
0.9927845001220703,0,39,,,,,,,,,,
0.33583247661590576,0,49,,,,,,,,,,
0.4109169840812683,0,59,,,,,,,,,,
0.2915305197238922,0,69,,,,,,,,,,
0.38062670826911926,0,79,,,,,,,,,,
0.2749689519405365,0,89,,,,,,,,,,
0.17458589375019073,0,99,,,,,,,,,,
0.5130777359008789,0,109,,,,,,,,,,
0.35648536682128906,0,119,,,,,,,,,,
0.29620233178138733,0,129,,,,,,,,,,
0.20655938982963562,0,139,,,,,,,,,,
0.32562389969825745,0,149,,,,,,,,,,
0.3880360722541809,0,159,,,,,,,,,,
0.3151293098926544,0,169,,,,,,,,,,
,0,172,0.3941539525985718,0.8132099509239197,0.31285715103149414,0.2166193425655365,0.37199655175209045,,,,,
0.2857638895511627,1,179,,,,,,,,,,
0.25693780183792114,1,189,,,,,,,,,,
0.24795912206172943,1,199,,,,,,,,,,
0.1868346631526947,1,209,,,,,,,,,,
0.278912752866745,1,219,,,,,,,,,,
0.229839488863945,1,229,,,,,,,,,,
0.22357235848903656,1,239,,,,,,,,,,
0.24957959353923798,1,249,,,,,,,,,,
0.2892104983329773,1,259,,,,,,,,,,
0.18126367032527924,1,269,,,,,,,,,,
0.4053603410720825,1,279,,,,,,,,,,
0.22363680601119995,1,289,,,,,,,,,,
0.39302513003349304,1,299,,,,,,,,,,
0.20150482654571533,1,309,,,,,,,,,,
0.2333431988954544,1,319,,,,,,,,,,
0.12299633026123047,1,329,,,,,,,,,,
0.2618492543697357,1,339,,,,,,,,,,
,1,345,0.4405684173107147,0.8288417458534241,0.3628571331501007,0.19022369384765625,0.41572168469429016,,,,,
0.13030663132667542,2,349,,,,,,,,,,
0.1564408391714096,2,359,,,,,,,,,,
0.2726220488548279,2,369,,,,,,,,,,
0.19680465757846832,2,379,,,,,,,,,,
0.2756979465484619,2,389,,,,,,,,,,
0.2049274891614914,2,399,,,,,,,,,,
0.16809840500354767,2,409,,,,,,,,,,
0.42073294520378113,2,419,,,,,,,,,,
0.1508927047252655,2,429,,,,,,,,,,
0.2219805270433426,2,439,,,,,,,,,,
0.19557322561740875,2,449,,,,,,,,,,
0.21644878387451172,2,459,,,,,,,,,,
0.12868231534957886,2,469,,,,,,,,,,
0.15328644216060638,2,479,,,,,,,,,,
0.08311691880226135,2,489,,,,,,,,,,
0.10933533310890198,2,499,,,,,,,,,,
0.18476638197898865,2,509,,,,,,,,,,
,2,518,0.4608098864555359,0.8367197513580322,0.3871428668498993,0.17325817048549652,0.4391728937625885,,,,,
0.35612621903419495,3,519,,,,,,,,,,
0.17158448696136475,3,529,,,,,,,,,,
0.22486554086208344,3,539,,,,,,,,,,
0.22768963873386383,3,549,,,,,,,,,,
0.1752510368824005,3,559,,,,,,,,,,
0.18147575855255127,3,569,,,,,,,,,,
0.1195756047964096,3,579,,,,,,,,,,
0.09179330617189407,3,589,,,,,,,,,,
0.1760951578617096,3,599,,,,,,,,,,
0.1076381504535675,3,609,,,,,,,,,,
0.12440302222967148,3,619,,,,,,,,,,
0.23038189113140106,3,629,,,,,,,,,,
0.26615163683891296,3,639,,,,,,,,,,
0.13551683723926544,3,649,,,,,,,,,,
0.142839714884758,3,659,,,,,,,,,,
0.0895080640912056,3,669,,,,,,,,,,
0.09159029275178909,3,679,,,,,,,,,,
0.18783192336559296,3,689,,,,,,,,,,
,3,691,0.4947454333305359,0.8473291397094727,0.4214285612106323,0.16812728345394135,0.4758334755897522,,,,,
0.1393723487854004,4,699,,,,,,,,,,
0.21633002161979675,4,709,,,,,,,,,,
0.1398506611585617,4,719,,,,,,,,,,
0.25817006826400757,4,729,,,,,,,,,,
0.17260460555553436,4,739,,,,,,,,,,
0.14227904379367828,4,749,,,,,,,,,,
0.1814495325088501,4,759,,,,,,,,,,
0.10758834332227707,4,769,,,,,,,,,,
0.17545229196548462,4,779,,,,,,,,,,
0.1731407344341278,4,789,,,,,,,,,,
0.14205272495746613,4,799,,,,,,,,,,
0.1837485283613205,4,809,,,,,,,,,,
0.14963047206401825,4,819,,,,,,,,,,
0.1725255697965622,4,829,,,,,,,,,,
0.17665784060955048,4,839,,,,,,,,,,
0.20417891442775726,4,849,,,,,,,,,,
0.10263083875179291,4,859,,,,,,,,,,
,4,864,0.5023304224014282,0.8529447913169861,0.4342857003211975,0.1596381664276123,0.4868641495704651,,,,,
,5,865,,,,,,0.4868641495704651,0.1596381664276123,0.4342857003211975,0.8529447913169861,0.5023304224014282
