step,epoch,train_loss,val_loss,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
9,0,1.4405792951583862,,,,,,,,,,
19,0,0.7575450539588928,,,,,,,,,,
29,0,0.6526076197624207,,,,,,,,,,
39,0,1.0522619485855103,,,,,,,,,,
40,0,,0.7863149642944336,0.7757633328437805,0.1627907007932663,0.26295170187950134,0.2264459729194641,,,,,
49,1,0.9023923277854919,,,,,,,,,,
59,1,0.733896791934967,,,,,,,,,,
69,1,0.6444294452667236,,,,,,,,,,
79,1,0.5824078321456909,,,,,,,,,,
81,1,,0.47292953729629517,0.8039975762367249,0.23255814611911774,0.3310803472995758,0.2959428131580353,,,,,
89,2,0.3929494321346283,,,,,,,,,,
99,2,0.412508487701416,,,,,,,,,,
109,2,0.22441211342811584,,,,,,,,,,
119,2,0.40651747584342957,,,,,,,,,,
122,2,,0.4277321994304657,0.8197008371353149,0.2732558250427246,0.3776029944419861,0.32992276549339294,,,,,
129,3,0.39890310168266296,,,,,,,,,,
139,3,0.40681877732276917,,,,,,,,,,
149,3,0.3514661192893982,,,,,,,,,,
159,3,0.2588265538215637,,,,,,,,,,
163,3,,0.37941980361938477,0.829654335975647,0.31976744532585144,0.40246275067329407,0.36083984375,,,,,
169,4,0.5250662565231323,,,,,,,,,,
179,4,0.22534996271133423,,,,,,,,,,
189,4,0.3100510239601135,,,,,,,,,,
199,4,0.2978837490081787,,,,,,,,,,
204,4,,0.3369894325733185,0.8457525372505188,0.3779069781303406,0.45474907755851746,0.40719327330589294,,,,,
205,5,,,,,,,0.3779069781303406,0.45474907755851746,0.3369894325733185,0.8457525372505188,0.40719327330589294
