train_loss,epoch,step,val_loss,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_qa_sas,test_loss
1.227070689201355,0,9,,,,,,
0.25885236263275146,0,19,,,,,,
0.47266510128974915,0,29,,,,,,
0.5201587677001953,0,39,,,,,,
0.39249733090400696,0,49,,,,,,
0.5776752829551697,0,59,,,,,,
0.5397718548774719,0,69,,,,,,
0.646257221698761,0,79,,,,,,
0.3848136365413666,0,89,,,,,,
0.9247170686721802,0,99,,,,,,
,0,102,0.12454787641763687,0.8513048887252808,0.33185839653015137,0.49012428522109985,0.5485638380050659,
0.5036618709564209,1,109,,,,,,
2.076207160949707,1,119,,,,,,
0.9192542433738708,1,129,,,,,,
0.09896092116832733,1,139,,,,,,
0.815594494342804,1,149,,,,,,
0.19009104371070862,1,159,,,,,,
0.21009939908981323,1,169,,,,,,
0.23905327916145325,1,179,,,,,,
0.43450260162353516,1,189,,,,,,
0.49587079882621765,1,199,,,,,,
,1,205,0.12447597086429596,0.8674985766410828,0.39823007583618164,0.5389116406440735,0.584230899810791,
0.14226414263248444,2,209,,,,,,
0.24040165543556213,2,219,,,,,,
0.2509179711341858,2,229,,,,,,
0.28116610646247864,2,239,,,,,,
0.19905272126197815,2,249,,,,,,
0.10546957701444626,2,259,,,,,,
0.271230012178421,2,269,,,,,,
0.15370163321495056,2,279,,,,,,
0.575503408908844,2,289,,,,,,
0.10635942965745926,2,299,,,,,,
,2,308,0.12017787992954254,0.8679019212722778,0.389380544424057,0.5407548546791077,0.5870451331138611,
0.06941019743680954,3,309,,,,,,
0.08860799670219421,3,319,,,,,,
0.19410495460033417,3,329,,,,,,
0.05909261107444763,3,339,,,,,,
0.23382353782653809,3,349,,,,,,
0.11749781668186188,3,359,,,,,,
0.0979800820350647,3,369,,,,,,
0.22778214514255524,3,379,,,,,,
0.04129432141780853,3,389,,,,,,
0.1510694921016693,3,399,,,,,,
0.20010370016098022,3,409,,,,,,
,3,411,0.12228139489889145,0.8648341298103333,0.389380544424057,0.5342546701431274,0.579885721206665,
0.07453694194555283,4,419,,,,,,
0.10435235500335693,4,429,,,,,,
0.2541765570640564,4,439,,,,,,
0.03269341215491295,4,449,,,,,,
0.051789291203022,4,459,,,,,,
0.06827675551176071,4,469,,,,,,
0.09613295644521713,4,479,,,,,,
0.22667691111564636,4,489,,,,,,
0.028006553649902344,4,499,,,,,,
0.03766702488064766,4,509,,,,,,
,4,514,0.1301775574684143,0.8706017732620239,0.40265485644340515,0.5454066395759583,0.5937236547470093,
,5,515,,,,,,0.1301775574684143
