step,epoch,train_loss,val_loss,val_qa_sas,val_qa_em,val_qa_answer_f1,val_qa_bert_score,test_loss
9,0,0.09376660734415054,,,,,,
19,0,0.08225148171186447,,,,,,
29,0,0.08248180150985718,,,,,,
39,0,0.0875103548169136,,,,,,
49,0,0.04776467755436897,,,,,,
59,0,0.07595204561948776,,,,,,
69,0,0.04333667829632759,,,,,,
79,0,0.05478375777602196,,,,,,
89,0,0.07154863327741623,,,,,,
99,0,0.06316037476062775,,,,,,
109,0,0.06685636192560196,,,,,,
119,0,0.06432673335075378,,,,,,
129,0,0.05119464173913002,,,,,,
139,0,0.05592290684580803,,,,,,
149,0,0.07067932188510895,,,,,,
159,0,0.05381879210472107,,,,,,
169,0,0.04359814524650574,,,,,,
179,0,0.0670151337981224,,,,,,
180,0,,0.11348846554756165,0.33765965700149536,0.18414919078350067,0.2636984884738922,0.829868733882904,
189,1,0.06160716712474823,,,,,,
199,1,0.06676194071769714,,,,,,
209,1,0.06818533688783646,,,,,,
219,1,0.04679035022854805,,,,,,
229,1,0.05597124621272087,,,,,,
239,1,0.0483616478741169,,,,,,
249,1,0.056924063712358475,,,,,,
259,1,0.05814828723669052,,,,,,
269,1,0.054206542670726776,,,,,,
279,1,0.06438782066106796,,,,,,
289,1,0.04048241302371025,,,,,,
299,1,0.05797777324914932,,,,,,
309,1,0.048813775181770325,,,,,,
319,1,0.06254995614290237,,,,,,
329,1,0.04885002598166466,,,,,,
339,1,0.04800904542207718,,,,,,
349,1,0.053271565586328506,,,,,,
359,1,0.05305231362581253,,,,,,
361,1,,0.1104794442653656,0.3530289828777313,0.19813519716262817,0.2802404761314392,0.8355186581611633,
369,2,0.054200686514377594,,,,,,
379,2,0.055614273995161057,,,,,,
389,2,0.03930085897445679,,,,,,
399,2,0.0406140573322773,,,,,,
409,2,0.04829619079828262,,,,,,
419,2,0.03683878481388092,,,,,,
429,2,0.04536142572760582,,,,,,
439,2,0.05097151920199394,,,,,,
449,2,0.05332767963409424,,,,,,
459,2,0.06230457127094269,,,,,,
469,2,0.06821288913488388,,,,,,
479,2,0.05212035030126572,,,,,,
489,2,0.056539084762334824,,,,,,
499,2,0.04399310052394867,,,,,,
509,2,0.055738337337970734,,,,,,
519,2,0.06567015498876572,,,,,,
529,2,0.05840502306818962,,,,,,
539,2,0.05260540172457695,,,,,,
542,2,,0.10930686444044113,0.3591935336589813,0.21212121844291687,0.2896801829338074,0.8366690874099731,
549,3,0.047574255615472794,,,,,,
559,3,0.049653176218271255,,,,,,
569,3,0.04531238600611687,,,,,,
579,3,0.0527215413749218,,,,,,
589,3,0.05221487954258919,,,,,,
599,3,0.055024124681949615,,,,,,
609,3,0.03267400339245796,,,,,,
619,3,0.0366249606013298,,,,,,
629,3,0.03482426330447197,,,,,,
639,3,0.04260960966348648,,,,,,
649,3,0.05757993459701538,,,,,,
659,3,0.06570400297641754,,,,,,
669,3,0.0406402051448822,,,,,,
679,3,0.04401767626404762,,,,,,
689,3,0.051972195506095886,,,,,,
699,3,0.03928372263908386,,,,,,
709,3,0.053963273763656616,,,,,,
719,3,0.04983514919877052,,,,,,
723,3,,0.10210449248552322,0.3444066047668457,0.20279720425605774,0.27685466408729553,0.8303689360618591,
729,4,0.03718853369355202,,,,,,
739,4,0.024038901552557945,,,,,,
749,4,0.037501540035009384,,,,,,
759,4,0.041959695518016815,,,,,,
769,4,0.02636432647705078,,,,,,
779,4,0.02656533196568489,,,,,,
789,4,0.039452020078897476,,,,,,
799,4,0.02651115506887436,,,,,,
809,4,0.04049227386713028,,,,,,
819,4,0.03522828593850136,,,,,,
829,4,0.014678169041872025,,,,,,
839,4,0.02842618338763714,,,,,,
849,4,0.018411345779895782,,,,,,
859,4,0.04473646730184555,,,,,,
869,4,0.027370283380150795,,,,,,
879,4,0.022663068026304245,,,,,,
889,4,0.031130172312259674,,,,,,
899,4,0.021788006648421288,,,,,,
904,4,,0.15481002628803253,0.34090784192085266,0.19813519716262817,0.2724558413028717,0.8278289437294006,
905,5,,,,,,,0.15481002628803253
