step,epoch,train_loss,val_qa_answer_f1,val_qa_em,val_qa_sas,val_loss,val_qa_bert_score,test_loss
9,0,0.2798982262611389,,,,,,
19,0,0.3839166760444641,,,,,,
29,0,0.12175677716732025,,,,,,
39,0,0.2460400015115738,,,,,,
49,0,0.2592492401599884,,,,,,
59,0,0.21601331233978271,,,,,,
69,0,0.1823105663061142,,,,,,
79,0,0.23106281459331512,,,,,,
89,0,0.0889294221997261,,,,,,
99,0,0.5227757692337036,,,,,,
102,0,,0.5683934688568115,0.2837209403514862,0.6324328184127808,0.12401402741670609,0.8723165988922119,
109,1,0.16023747622966766,,,,,,
119,1,0.20103329420089722,,,,,,
129,1,0.1672302782535553,,,,,,
139,1,0.12408038973808289,,,,,,
149,1,0.16799719631671906,,,,,,
159,1,0.1550319790840149,,,,,,
169,1,0.10592146962881088,,,,,,
179,1,0.1995941698551178,,,,,,
189,1,0.1406850963830948,,,,,,
199,1,0.170060396194458,,,,,,
205,1,,0.5926691293716431,0.33023256063461304,0.6528140306472778,0.11659616231918335,0.8795878291130066,
209,2,0.1711844801902771,,,,,,
219,2,0.172438845038414,,,,,,
229,2,0.10807584971189499,,,,,,
239,2,0.28010430932044983,,,,,,
249,2,0.11213327199220657,,,,,,
259,2,0.10433831810951233,,,,,,
269,2,0.07753448188304901,,,,,,
279,2,0.1288781464099884,,,,,,
289,2,0.10818857699632645,,,,,,
299,2,0.1601407378911972,,,,,,
308,2,,0.6120743751525879,0.3488371968269348,0.6727353930473328,0.11006981879472733,0.8827653527259827,
309,3,0.14101216197013855,,,,,,
319,3,0.03892781585454941,,,,,,
329,3,0.09574012458324432,,,,,,
339,3,0.09732804447412491,,,,,,
349,3,0.08353178948163986,,,,,,
359,3,0.08591616898775101,,,,,,
369,3,0.075755774974823,,,,,,
379,3,0.09583324193954468,,,,,,
389,3,0.06490059196949005,,,,,,
399,3,0.10415198653936386,,,,,,
409,3,0.16765443980693817,,,,,,
411,3,,0.6034959554672241,0.3255814015865326,0.6632216572761536,0.0988244041800499,0.8798626065254211,
419,4,0.08196789771318436,,,,,,
429,4,0.047675520181655884,,,,,,
439,4,0.056396350264549255,,,,,,
449,4,0.063827745616436,,,,,,
459,4,0.020897671580314636,,,,,,
469,4,0.052565012127161026,,,,,,
479,4,0.03238879516720772,,,,,,
489,4,0.03505387902259827,,,,,,
499,4,0.15234532952308655,,,,,,
509,4,0.042736899107694626,,,,,,
514,4,,0.6057022213935852,0.33023256063461304,0.6650748252868652,0.10087884217500687,0.8803680539131165,
515,5,,,,,,,0.10087884217500687
