step,train_loss,epoch,val_qa_em,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_em
9,2.1665191650390625,0,,,,,,,,,,
19,1.1862664222717285,0,,,,,,,,,,
29,0.8868108987808228,0,,,,,,,,,,
39,2.0255184173583984,0,,,,,,,,,,
49,2.004333972930908,0,,,,,,,,,,
50,,0,0.291304349899292,0.5408121943473816,0.4929826557636261,1.841503620147705,0.8431236743927002,,,,,
59,1.3941912651062012,1,,,,,,,,,,
69,1.5049558877944946,1,,,,,,,,,,
79,1.2321056127548218,1,,,,,,,,,,
89,0.9545444250106812,1,,,,,,,,,,
99,1.1659882068634033,1,,,,,,,,,,
101,,1,0.343478262424469,0.5703287720680237,0.5212022662162781,1.6554689407348633,0.860011637210846,,,,,
109,1.2243969440460205,2,,,,,,,,,,
119,0.8016513586044312,2,,,,,,,,,,
129,1.151041865348816,2,,,,,,,,,,
139,1.4146839380264282,2,,,,,,,,,,
149,1.5335139036178589,2,,,,,,,,,,
152,,2,0.37826088070869446,0.5795247554779053,0.5344459414482117,1.5811210870742798,0.8636074066162109,,,,,
159,1.2772789001464844,3,,,,,,,,,,
169,0.862980842590332,3,,,,,,,,,,
179,1.0666720867156982,3,,,,,,,,,,
189,0.9967931509017944,3,,,,,,,,,,
199,0.9561071395874023,3,,,,,,,,,,
203,,3,0.38260868191719055,0.5817057490348816,0.5376569628715515,1.552335262298584,0.8644613027572632,,,,,
209,1.1814690828323364,4,,,,,,,,,,
219,0.8824418187141418,4,,,,,,,,,,
229,1.1240369081497192,4,,,,,,,,,,
239,1.200972557067871,4,,,,,,,,,,
249,0.9555970430374146,4,,,,,,,,,,
254,,4,0.37826088070869446,0.580859363079071,0.5365370512008667,1.523834228515625,0.8625660538673401,,,,,
255,,5,,,,,,0.580859363079071,0.5365370512008667,0.8625660538673401,1.523834228515625,0.37826088070869446
