train_loss,step,epoch,val_qa_bert_score,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,test_loss
1.4123438596725464,9,0,,,,,,
0.5066186785697937,19,0,,,,,,
0.4238821566104889,29,0,,,,,,
0.3397376239299774,39,0,,,,,,
0.5570477247238159,49,0,,,,,,
0.22906310856342316,59,0,,,,,,
0.662723958492279,69,0,,,,,,
0.3061392605304718,79,0,,,,,,
0.35405537486076355,89,0,,,,,,
0.21941837668418884,99,0,,,,,,
0.23600363731384277,109,0,,,,,,
0.3114320933818817,119,0,,,,,,
,123,0,0.7895038723945618,0.250784307718277,0.08063295483589172,0.16949152946472168,0.23125728964805603,
0.22092846035957336,129,1,,,,,,
0.21141435205936432,139,1,,,,,,
0.21201664209365845,149,1,,,,,,
0.40972819924354553,159,1,,,,,,
0.2168342024087906,169,1,,,,,,
0.25136271119117737,179,1,,,,,,
0.3611769378185272,189,1,,,,,,
0.2392263263463974,199,1,,,,,,
0.2193564623594284,209,1,,,,,,
0.09789831936359406,219,1,,,,,,
0.30955371260643005,229,1,,,,,,
0.2162221074104309,239,1,,,,,,
,247,1,0.8002122640609741,0.28972646594047546,0.06526035815477371,0.22033898532390594,0.27133455872535706,
0.16800841689109802,249,2,,,,,,
0.11390392482280731,259,2,,,,,,
0.14765650033950806,269,2,,,,,,
0.20504949986934662,279,2,,,,,,
0.23319080471992493,289,2,,,,,,
0.0841963067650795,299,2,,,,,,
0.10274406522512436,309,2,,,,,,
0.10673493891954422,319,2,,,,,,
0.16825373470783234,329,2,,,,,,
0.12393322587013245,339,2,,,,,,
0.04303715378046036,349,2,,,,,,
0.19763563573360443,359,2,,,,,,
0.10078773647546768,369,2,,,,,,
,371,2,0.8086404204368591,0.31013399362564087,0.06251295655965805,0.25,0.29047927260398865,
0.12299550324678421,379,3,,,,,,
0.12613418698310852,389,3,,,,,,
0.11857730150222778,399,3,,,,,,
0.09315177798271179,409,3,,,,,,
0.0998065173625946,419,3,,,,,,
0.1463293433189392,429,3,,,,,,
0.11794795095920563,439,3,,,,,,
0.0849396362900734,449,3,,,,,,
0.10065615177154541,459,3,,,,,,
0.1323740929365158,469,3,,,,,,
0.08384957164525986,479,3,,,,,,
0.0916530191898346,489,3,,,,,,
,495,3,0.8200005292892456,0.3494162857532501,0.06478060036897659,0.2923728823661804,0.3322465121746063,
0.07953476160764694,499,4,,,,,,
0.033647339791059494,509,4,,,,,,
0.09224417060613632,519,4,,,,,,
0.06711776554584503,529,4,,,,,,
0.08755315840244293,539,4,,,,,,
0.05159115418791771,549,4,,,,,,
0.07293125987052917,559,4,,,,,,
0.07365752756595612,569,4,,,,,,
0.049905359745025635,579,4,,,,,,
0.043883197009563446,589,4,,,,,,
0.031624000519514084,599,4,,,,,,
0.050046805292367935,609,4,,,,,,
0.0016861179610714316,619,4,,,,,,
,619,4,0.8256639838218689,0.3716805875301361,0.06952660530805588,0.2923728823661804,0.3500787317752838,
,620,5,,,,,,0.06952660530805588
