train_loss,epoch,step,val_qa_bert_score,val_qa_sas,val_loss,val_qa_em,val_qa_answer_f1,test_loss
1.7628111839294434,0,9,,,,,,
0.3979756236076355,0,19,,,,,,
0.5126328468322754,0,29,,,,,,
0.9870967864990234,0,39,,,,,,
0.35334527492523193,0,49,,,,,,
0.2623654901981354,0,59,,,,,,
0.4778870642185211,0,69,,,,,,
0.3283332288265228,0,79,,,,,,
0.17385216057300568,0,89,,,,,,
1.2174843549728394,0,99,,,,,,
0.46912309527397156,0,109,,,,,,
,0,110,0.8652709722518921,0.620098352432251,0.142405167222023,0.4591194987297058,0.5940605998039246,
0.4305312931537628,1,119,,,,,,
0.43094444274902344,1,129,,,,,,
0.18999221920967102,1,139,,,,,,
0.12023402750492096,1,149,,,,,,
0.59820955991745,1,159,,,,,,
0.1672472208738327,1,169,,,,,,
0.25894808769226074,1,179,,,,,,
0.27620577812194824,1,189,,,,,,
1.2185595035552979,1,199,,,,,,
0.5637760162353516,1,209,,,,,,
0.4780053496360779,1,219,,,,,,
,1,221,0.8865294456481934,0.6824341416358948,0.1359720528125763,0.5408805012702942,0.6625151634216309,
0.26474103331565857,2,229,,,,,,
0.2594592869281769,2,239,,,,,,
0.3667234182357788,2,249,,,,,,
0.5137060880661011,2,259,,,,,,
0.1275469809770584,2,269,,,,,,
0.7590857148170471,2,279,,,,,,
0.22902995347976685,2,289,,,,,,
0.0977720394730568,2,299,,,,,,
0.1310935765504837,2,309,,,,,,
0.24630098044872284,2,319,,,,,,
0.21559478342533112,2,329,,,,,,
,2,332,0.8889894485473633,0.6940771341323853,0.13785836100578308,0.553459107875824,0.6741615533828735,
0.0593903623521328,3,339,,,,,,
0.048342056572437286,3,349,,,,,,
0.12541572749614716,3,359,,,,,,
0.2989996075630188,3,369,,,,,,
0.16254159808158875,3,379,,,,,,
0.27406466007232666,3,389,,,,,,
0.1886020302772522,3,399,,,,,,
0.11036637425422668,3,409,,,,,,
0.11228003352880478,3,419,,,,,,
0.06900706142187119,3,429,,,,,,
3.248871326446533,3,439,,,,,,
,3,443,0.890480101108551,0.6880131363868713,0.14355860650539398,0.553459107875824,0.6712269186973572,
0.032837558537721634,4,449,,,,,,
0.07662378251552582,4,459,,,,,,
0.028458308428525925,4,469,,,,,,
0.1337188333272934,4,479,,,,,,
0.03722883015871048,4,489,,,,,,
0.06667833775281906,4,499,,,,,,
0.06276153773069382,4,509,,,,,,
0.11829529702663422,4,519,,,,,,
0.11870627850294113,4,529,,,,,,
0.7940368056297302,4,539,,,,,,
0.032710008323192596,4,549,,,,,,
,4,554,0.8871744871139526,0.6845316290855408,0.15655671060085297,0.5597484111785889,0.6665347814559937,
,5,555,,,,,,0.15655671060085297
