epoch,step,train_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_sas,val_qa_em,val_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_em
0,9,0.5947973728179932,,,,,,,,,,
0,19,0.2877400815486908,,,,,,,,,,
0,29,0.518617570400238,,,,,,,,,,
0,39,0.2107970118522644,,,,,,,,,,
0,49,0.17944495379924774,,,,,,,,,,
0,59,0.13097958266735077,,,,,,,,,,
0,69,0.10666625946760178,,,,,,,,,,
0,79,0.09250502288341522,,,,,,,,,,
0,89,0.12123841047286987,,,,,,,,,,
0,99,0.120961032807827,,,,,,,,,,
0,109,0.29215797781944275,,,,,,,,,,
0,119,0.10519108176231384,,,,,,,,,,
0,119,,0.9262723326683044,0.6766770482063293,0.7068831324577332,0.6421267986297607,0.11787430197000504,,,,,
1,129,0.06474049389362335,,,,,,,,,,
1,139,0.06640701740980148,,,,,,,,,,
1,149,0.092319555580616,,,,,,,,,,
1,159,0.38924646377563477,,,,,,,,,,
1,169,0.07034552842378616,,,,,,,,,,
1,179,0.10814907401800156,,,,,,,,,,
1,189,0.13156256079673767,,,,,,,,,,
1,199,0.34619200229644775,,,,,,,,,,
1,209,0.07960983365774155,,,,,,,,,,
1,219,0.06730806082487106,,,,,,,,,,
1,229,0.25082316994667053,,,,,,,,,,
1,239,0.09070269763469696,,,,,,,,,,
1,239,,0.9333022236824036,0.7052149772644043,0.7307851314544678,0.6728016138076782,0.1013539582490921,,,,,
2,249,0.0783521756529808,,,,,,,,,,
2,259,0.05204584822058678,,,,,,,,,,
2,269,0.11520621180534363,,,,,,,,,,
2,279,0.06768687069416046,,,,,,,,,,
2,289,0.04225087910890579,,,,,,,,,,
2,299,0.03469908982515335,,,,,,,,,,
2,309,0.03002076968550682,,,,,,,,,,
2,319,0.05429540574550629,,,,,,,,,,
2,329,0.0374666266143322,,,,,,,,,,
2,339,0.06773381680250168,,,,,,,,,,
2,349,0.12851358950138092,,,,,,,,,,
2,359,0.06177595630288124,,,,,,,,,,
2,359,,0.9369102716445923,0.721576452255249,0.743285596370697,0.6891615390777588,0.09501641243696213,,,,,
3,369,0.06127939000725746,,,,,,,,,,
3,379,0.05688236653804779,,,,,,,,,,
3,389,0.050376467406749725,,,,,,,,,,
3,399,0.07166392356157303,,,,,,,,,,
3,409,0.032788753509521484,,,,,,,,,,
3,419,0.0635007694363594,,,,,,,,,,
3,429,0.04524253308773041,,,,,,,,,,
3,439,0.09393339604139328,,,,,,,,,,
3,449,0.15061086416244507,,,,,,,,,,
3,459,0.04397515580058098,,,,,,,,,,
3,469,0.04332117736339569,,,,,,,,,,
3,479,0.05604774132370949,,,,,,,,,,
3,479,,0.94109708070755,0.7399837374687195,0.7600094079971313,0.7096114754676819,0.0901818573474884,,,,,
4,489,0.25000905990600586,,,,,,,,,,
4,499,0.035485390573740005,,,,,,,,,,
4,509,0.05170373246073723,,,,,,,,,,
4,519,0.12084846943616867,,,,,,,,,,
4,529,0.161002978682518,,,,,,,,,,
4,539,0.08645057678222656,,,,,,,,,,
4,549,0.049388062208890915,,,,,,,,,,
4,559,0.05892496928572655,,,,,,,,,,
4,569,0.03911234810948372,,,,,,,,,,
4,579,0.055429745465517044,,,,,,,,,,
4,589,0.06877034157514572,,,,,,,,,,
4,599,0.29963165521621704,,,,,,,,,,
4,599,,0.9384434819221497,0.7289391756057739,0.7505744695663452,0.699386477470398,0.08734109252691269,,,,,
5,600,,,,,,,0.7289391756057739,0.9384434819221497,0.08734109252691269,0.7505744695663452,0.699386477470398
