train_loss,epoch,step,val_qa_em,val_qa_sas,val_loss,val_qa_answer_f1,val_qa_bert_score,test_loss
1.2583578824996948,0,9,,,,,,
0.3153383135795593,0,19,,,,,,
0.4693441092967987,0,29,,,,,,
0.46206721663475037,0,39,,,,,,
0.2870456278324127,0,49,,,,,,
0.5963259339332581,0,59,,,,,,
0.41380444169044495,0,69,,,,,,
0.6277121305465698,0,79,,,,,,
0.33773019909858704,0,89,,,,,,
0.8031437993049622,0,99,,,,,,
,0,102,0.3185840845108032,0.5532455444335938,0.14006561040878296,0.4904879927635193,0.8536102771759033,
0.5559145212173462,1,109,,,,,,
2.1116700172424316,1,119,,,,,,
0.8944220542907715,1,129,,,,,,
0.07633942365646362,1,139,,,,,,
0.7885449528694153,1,149,,,,,,
0.15537801384925842,1,159,,,,,,
0.2604207694530487,1,169,,,,,,
0.19746893644332886,1,179,,,,,,
0.3960491418838501,1,189,,,,,,
0.5015973448753357,1,199,,,,,,
,1,205,0.3539822995662689,0.5595884323120117,0.1391753852367401,0.5095157027244568,0.8612557649612427,
0.11038591712713242,2,209,,,,,,
0.18835632503032684,2,219,,,,,,
0.21680590510368347,2,229,,,,,,
0.22828899323940277,2,239,,,,,,
0.15260422229766846,2,249,,,,,,
0.12390219420194626,2,259,,,,,,
0.241560697555542,2,269,,,,,,
0.06722719222307205,2,279,,,,,,
0.6551464200019836,2,289,,,,,,
0.09445618838071823,2,299,,,,,,
,2,308,0.39823007583618164,0.5868384838104248,0.13661527633666992,0.537284791469574,0.87055504322052,
0.08319874852895737,3,309,,,,,,
0.10830740630626678,3,319,,,,,,
0.1999487429857254,3,329,,,,,,
0.05377054214477539,3,339,,,,,,
0.18461574614048004,3,349,,,,,,
0.07303012162446976,3,359,,,,,,
0.04177356883883476,3,369,,,,,,
0.2517521381378174,3,379,,,,,,
0.014480509795248508,3,389,,,,,,
0.19161172211170197,3,399,,,,,,
0.22388727962970734,3,409,,,,,,
,3,411,0.39823007583618164,0.5855839848518372,0.1428232640028,0.5441679954528809,0.8727699518203735,
0.08720338344573975,4,419,,,,,,
0.17852607369422913,4,429,,,,,,
0.2242077738046646,4,439,,,,,,
0.046307433396577835,4,449,,,,,,
0.06846167147159576,4,459,,,,,,
0.05599972978234291,4,469,,,,,,
0.06319472938776016,4,479,,,,,,
0.2448633462190628,4,489,,,,,,
0.01900915428996086,4,499,,,,,,
0.04180482029914856,4,509,,,,,,
,4,514,0.4336283206939697,0.5894652605056763,0.15643557906150818,0.5549860596656799,0.8752511739730835,
,5,515,,,,,,0.15643557906150818
