step,train_loss,epoch,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_loss,val_qa_sas,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_em
9,0.39257803559303284,0,,,,,,,,,,
19,0.33289635181427,0,,,,,,,,,,
29,0.2209765762090683,0,,,,,,,,,,
39,0.15383364260196686,0,,,,,,,,,,
49,0.11461964249610901,0,,,,,,,,,,
59,0.17007094621658325,0,,,,,,,,,,
69,0.14598490297794342,0,,,,,,,,,,
79,0.15742230415344238,0,,,,,,,,,,
89,0.15072864294052124,0,,,,,,,,,,
90,,0,0.4055383503437042,0.86593097448349,0.33799535036087036,0.14574305713176727,0.46164730191230774,,,,,
99,0.1918775886297226,1,,,,,,,,,,
109,0.12731613218784332,1,,,,,,,,,,
119,0.18893565237522125,1,,,,,,,,,,
129,0.11502288281917572,1,,,,,,,,,,
139,0.0948234274983406,1,,,,,,,,,,
149,0.11750556528568268,1,,,,,,,,,,
159,0.11724300682544708,1,,,,,,,,,,
169,0.10313878953456879,1,,,,,,,,,,
179,0.08147250860929489,1,,,,,,,,,,
181,,1,0.47866931557655334,0.882030189037323,0.42191141843795776,0.13391442596912384,0.5211905241012573,,,,,
189,0.1099364385008812,2,,,,,,,,,,
199,0.08631665259599686,2,,,,,,,,,,
209,0.13272395730018616,2,,,,,,,,,,
219,0.09326115995645523,2,,,,,,,,,,
229,nan,2,,,,,,,,,,
239,0.09411382675170898,2,,,,,,,,,,
249,0.0993274375796318,2,,,,,,,,,,
259,0.09278176724910736,2,,,,,,,,,,
269,0.11123017221689224,2,,,,,,,,,,
272,,2,0.4801292419433594,0.8829513192176819,0.42657342553138733,0.12783174216747284,0.5271312594413757,,,,,
279,0.1178223267197609,3,,,,,,,,,,
289,0.14610865712165833,3,,,,,,,,,,
299,0.10415153950452805,3,,,,,,,,,,
309,0.07499970495700836,3,,,,,,,,,,
319,0.0997937023639679,3,,,,,,,,,,
329,0.12982238829135895,3,,,,,,,,,,
339,0.15825113654136658,3,,,,,,,,,,
349,0.07126452773809433,3,,,,,,,,,,
359,0.15413212776184082,3,,,,,,,,,,
363,,3,0.5077739953994751,0.8896095156669617,0.4545454680919647,0.12791940569877625,0.5460340976715088,,,,,
369,0.13933910429477692,4,,,,,,,,,,
379,0.09561818838119507,4,,,,,,,,,,
389,0.10774292796850204,4,,,,,,,,,,
399,0.10396675020456314,4,,,,,,,,,,
409,0.11252646893262863,4,,,,,,,,,,
419,0.12481726706027985,4,,,,,,,,,,
429,0.09517300128936768,4,,,,,,,,,,
439,0.06920907646417618,4,,,,,,,,,,
449,0.0728423073887825,4,,,,,,,,,,
454,,4,0.5149228572845459,0.8897637724876404,0.46620047092437744,0.12470544874668121,0.5548050403594971,,,,,
455,,5,,,,,,0.5548050403594971,0.5149228572845459,0.8897637724876404,0.12470544874668121,0.46620047092437744
