train_loss,epoch,step,val_qa_bert_score,val_qa_em,val_loss,val_qa_sas,val_qa_answer_f1,test_loss
0.9257858991622925,0,9,,,,,,
0.7002362608909607,0,19,,,,,,
0.4967140555381775,0,29,,,,,,
0.29650065302848816,0,39,,,,,,
0.39824989438056946,0,49,,,,,,
0.22296330332756042,0,59,,,,,,
0.3993964195251465,0,69,,,,,,
0.47278112173080444,0,79,,,,,,
0.2783548831939697,0,89,,,,,,
0.48237505555152893,0,99,,,,,,
0.2037345916032791,0,109,,,,,,
0.3029119372367859,0,119,,,,,,
0.327391654253006,0,129,,,,,,
0.4260599613189697,0,139,,,,,,
0.40184906125068665,0,149,,,,,,
0.16965354979038239,0,159,,,,,,
0.24050229787826538,0,169,,,,,,
0.29623129963874817,0,179,,,,,,
0.2458595484495163,0,189,,,,,,
0.26407232880592346,0,199,,,,,,
0.4737977385520935,0,209,,,,,,
0.2789126932621002,0,219,,,,,,
0.45743459463119507,0,229,,,,,,
0.3005642294883728,0,239,,,,,,
0.2944597601890564,0,249,,,,,,
0.19350352883338928,0,259,,,,,,
0.07819746434688568,0,269,,,,,,
0.5946643352508545,0,279,,,,,,
0.23503434658050537,0,289,,,,,,
0.1319352090358734,0,299,,,,,,
0.5658955574035645,0,309,,,,,,
0.11611771583557129,0,319,,,,,,
0.4991986155509949,0,329,,,,,,
0.1676473170518875,0,339,,,,,,
0.06640982627868652,0,349,,,,,,
0.11303333193063736,0,359,,,,,,
,0,359,0.889573335647583,0.4885057508945465,0.10966221243143082,0.650872528553009,0.6189097166061401,
0.16666142642498016,1,369,,,,,,
0.10692909359931946,1,379,,,,,,
0.24466590583324432,1,389,,,,,,
0.30952948331832886,1,399,,,,,,
0.1350582242012024,1,409,,,,,,
0.2762032747268677,1,419,,,,,,
2.691375255584717,1,429,,,,,,
0.030567729845643044,1,439,,,,,,
0.07603199779987335,1,449,,,,,,
0.17091341316699982,1,459,,,,,,
1.0878386497497559,1,469,,,,,,
0.16260167956352234,1,479,,,,,,
0.21082749962806702,1,489,,,,,,
1.3765673637390137,1,499,,,,,,
0.08226651698350906,1,509,,,,,,
0.2382499873638153,1,519,,,,,,
0.15711507201194763,1,529,,,,,,
0.4547755718231201,1,539,,,,,,
0.20292165875434875,1,549,,,,,,
0.18903131783008575,1,559,,,,,,
0.1517767608165741,1,569,,,,,,
0.22661027312278748,1,579,,,,,,
0.14314864575862885,1,589,,,,,,
0.17427155375480652,1,599,,,,,,
0.07930129766464233,1,609,,,,,,
0.2468612790107727,1,619,,,,,,
0.19333483278751373,1,629,,,,,,
0.634416937828064,1,639,,,,,,
0.09374197572469711,1,649,,,,,,
0.4283105731010437,1,659,,,,,,
