step,train_loss,epoch,val_loss,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_qa_sas,test_loss
9,1.1003179550170898,0,,,,,,
19,0.24812015891075134,0,,,,,,
29,0.25623461604118347,0,,,,,,
39,0.20697394013404846,0,,,,,,
49,0.205412819981575,0,,,,,,
59,0.3072021007537842,0,,,,,,
69,0.13675539195537567,0,,,,,,
79,0.09932446479797363,0,,,,,,
89,0.20304390788078308,0,,,,,,
99,0.10519956797361374,0,,,,,,
104,,0,0.16521990299224854,0.8689656853675842,0.301980197429657,0.5281043648719788,0.6152858138084412,
109,0.09809215366840363,1,,,,,,
119,0.14990413188934326,1,,,,,,
129,0.5605444312095642,1,,,,,,
139,0.1989704966545105,1,,,,,,
149,0.16360746324062347,1,,,,,,
159,0.14530184864997864,1,,,,,,
169,0.18788917362689972,1,,,,,,
179,0.21398377418518066,1,,,,,,
189,0.09639379382133484,1,,,,,,
199,0.06899572908878326,1,,,,,,
209,0.05081435665488243,1,,,,,,
209,,1,0.14278724789619446,0.8738055229187012,0.2871287167072296,0.545133650302887,0.6274763941764832,
219,0.12512750923633575,2,,,,,,
229,0.11054185032844543,2,,,,,,
239,0.10984812676906586,2,,,,,,
249,0.055123861879110336,2,,,,,,
259,0.15445668995380402,2,,,,,,
269,0.047445084899663925,2,,,,,,
279,0.05390123277902603,2,,,,,,
289,0.03867132589221001,2,,,,,,
299,0.07806483656167984,2,,,,,,
309,0.20919592678546906,2,,,,,,
314,,2,0.13370150327682495,0.8829882144927979,0.3217821717262268,0.5736806392669678,0.6535443663597107,
319,0.038353871554136276,3,,,,,,
329,0.04185432568192482,3,,,,,,
339,0.06874779611825943,3,,,,,,
349,0.07277870923280716,3,,,,,,
359,0.042773690074682236,3,,,,,,
369,0.06446585059165955,3,,,,,,
379,0.10653737932443619,3,,,,,,
389,0.12341662496328354,3,,,,,,
399,0.044285837560892105,3,,,,,,
409,0.02195133827626705,3,,,,,,
419,0.001903068507090211,3,,,,,,
419,,3,0.1319427341222763,0.881673276424408,0.30693069100379944,0.5696394443511963,0.6530486941337585,
429,0.04627901688218117,4,,,,,,
439,0.053042933344841,4,,,,,,
449,0.06048842892050743,4,,,,,,
459,0.02149229310452938,4,,,,,,
469,0.07385319471359253,4,,,,,,
479,0.02694525197148323,4,,,,,,
489,0.018442267552018166,4,,,,,,
499,0.012520527467131615,4,,,,,,
509,0.03443881496787071,4,,,,,,
519,0.07260002195835114,4,,,,,,
524,,4,0.13557691872119904,0.8853082656860352,0.3217821717262268,0.5840935707092285,0.66256183385849,
525,,5,,,,,,0.13557691872119904
