epoch,step,train_loss,val_qa_em,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,test_loss
0,9,0.31345483660697937,,,,,,
0,19,0.2195723056793213,,,,,,
0,29,0.16370199620723724,,,,,,
0,39,0.2365957349538803,,,,,,
0,49,0.22495077550411224,,,,,,
0,59,1.714592695236206,,,,,,
0,69,0.3299312889575958,,,,,,
0,79,0.20271429419517517,,,,,,
0,89,0.19237133860588074,,,,,,
0,99,0.1630149930715561,,,,,,
0,109,0.13799448311328888,,,,,,
0,109,,0.32098764181137085,0.6779876351356506,0.6087804436683655,0.1372736096382141,0.8938935399055481,
1,119,0.2417304813861847,,,,,,
1,129,0.13578376173973083,,,,,,
1,139,0.22151076793670654,,,,,,
1,149,0.3780254125595093,,,,,,
1,159,0.1879945993423462,,,,,,
1,169,0.2881469428539276,,,,,,
1,179,0.12156938761472702,,,,,,
1,189,0.10435941070318222,,,,,,
1,199,0.1756855994462967,,,,,,
1,209,0.0888393223285675,,,,,,
1,219,0.421515554189682,,,,,,
1,219,,0.35185185074806213,0.6978331208229065,0.6336630582809448,0.12494508177042007,0.901164174079895,
2,229,0.14902263879776,,,,,,
2,239,0.09301063418388367,,,,,,
2,249,0.14701244235038757,,,,,,
2,259,0.1971057504415512,,,,,,
2,269,0.09437182545661926,,,,,,
2,279,0.13996490836143494,,,,,,
2,289,0.08498181402683258,,,,,,
2,299,0.06764516234397888,,,,,,
2,309,0.10484564304351807,,,,,,
2,319,0.047976937144994736,,,,,,
2,329,0.43480849266052246,,,,,,
2,329,,0.37654322385787964,0.7176873683929443,0.663101315498352,0.12124806642532349,0.9083032608032227,
3,339,0.08674407005310059,,,,,,
3,349,0.06934326142072678,,,,,,
3,359,0.10111117362976074,,,,,,
3,369,0.11699885129928589,,,,,,
3,379,0.04649856314063072,,,,,,
3,389,0.06928800046443939,,,,,,
3,399,0.062294237315654755,,,,,,
3,409,0.03700763359665871,,,,,,
3,419,0.05269288644194603,,,,,,
3,429,0.026110950857400894,,,,,,
3,439,0.18673501908779144,,,,,,
3,439,,0.395061731338501,0.7240518927574158,0.6704486608505249,0.11632955074310303,0.9101450443267822,
4,449,0.044289641082286835,,,,,,
4,459,0.04829246550798416,,,,,,
4,469,0.06599056720733643,,,,,,
4,479,0.059480827301740646,,,,,,
4,489,0.020277511328458786,,,,,,
4,499,0.034151840955019,,,,,,
4,509,0.04760758578777313,,,,,,
4,519,0.016532696783542633,,,,,,
4,529,0.028269659727811813,,,,,,
4,539,0.012334346771240234,,,,,,
4,549,0.1610420048236847,,,,,,
4,549,,0.37037035822868347,0.7271348237991333,0.6720136404037476,0.131657212972641,0.9124890565872192,
5,550,,,,,,,0.131657212972641
