step,train_loss,epoch,val_loss,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_qa_sas,test_loss
9,0.17296096682548523,0,,,,,,
19,0.1904577910900116,0,,,,,,
29,0.43893682956695557,0,,,,,,
39,0.17999672889709473,0,,,,,,
49,1.8644018173217773,0,,,,,,
59,0.18943952023983002,0,,,,,,
69,0.11539390683174133,0,,,,,,
79,0.18581002950668335,0,,,,,,
89,0.28164035081863403,0,,,,,,
99,0.2516697943210602,0,,,,,,
102,,0,0.0913144052028656,0.8832069635391235,0.35648149251937866,0.5839086174964905,0.644074559211731,
109,0.20125967264175415,1,,,,,,
119,0.1904369592666626,1,,,,,,
129,0.15249453485012054,1,,,,,,
139,0.1614798903465271,1,,,,,,
149,0.6077756285667419,1,,,,,,
159,0.13017667829990387,1,,,,,,
169,0.2075255662202835,1,,,,,,
179,0.26852598786354065,1,,,,,,
189,0.09255160391330719,1,,,,,,
199,0.1497149020433426,1,,,,,,
205,,1,0.08231747150421143,0.9105870127677917,0.45370370149612427,0.6823638677597046,0.7241587042808533,
209,0.10915902256965637,2,,,,,,
219,0.07095997035503387,2,,,,,,
229,0.19839097559452057,2,,,,,,
239,0.0795840248465538,2,,,,,,
249,0.24604779481887817,2,,,,,,
259,0.14063525199890137,2,,,,,,
269,0.07416216284036636,2,,,,,,
279,0.06222546100616455,2,,,,,,
289,0.0545477457344532,2,,,,,,
299,0.1042977049946785,2,,,,,,
308,,2,0.08339376002550125,0.9156060218811035,0.47685185074806213,0.6955646276473999,0.7343443632125854,
309,0.044910307973623276,3,,,,,,
319,0.061033666133880615,3,,,,,,
329,0.08321802318096161,3,,,,,,
339,0.06722398847341537,3,,,,,,
349,0.0517798475921154,3,,,,,,
359,0.06977121531963348,3,,,,,,
369,0.10063605010509491,3,,,,,,
379,0.09077925235033035,3,,,,,,
389,0.06478457152843475,3,,,,,,
399,0.011923285201191902,3,,,,,,
409,0.05956640467047691,3,,,,,,
411,,3,0.08580440282821655,0.9091992974281311,0.44907405972480774,0.6722304821014404,0.7186691164970398,
419,0.02092352695763111,4,,,,,,
429,0.02418900467455387,4,,,,,,
439,0.008696733973920345,4,,,,,,
449,0.07630132138729095,4,,,,,,
459,0.08165622502565384,4,,,,,,
469,0.08336840569972992,4,,,,,,
479,0.03563804551959038,4,,,,,,
489,0.03189683333039284,4,,,,,,
499,0.012683577835559845,4,,,,,,
509,0.015342111699283123,4,,,,,,
514,,4,0.0922951027750969,0.9066200852394104,0.4305555522441864,0.6640650629997253,0.7185410261154175,
515,,5,,,,,,0.0922951027750969
