epoch,train_loss,step,val_loss,val_qa_bert_score,val_qa_sas,val_qa_em,val_qa_answer_f1,test_avg_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score
0,0.5133898258209229,9,,,,,,,,,,
0,0.20733939111232758,19,,,,,,,,,,
0,0.24460238218307495,29,,,,,,,,,,
0,0.17251715064048767,39,,,,,,,,,,
0,0.1082233414053917,49,,,,,,,,,,
0,0.22584441304206848,59,,,,,,,,,,
0,0.12034469097852707,69,,,,,,,,,,
0,0.1467028707265854,79,,,,,,,,,,
0,0.11727763712406158,89,,,,,,,,,,
0,,96,0.0789262130856514,0.917195737361908,0.6596795916557312,0.5820433497428894,0.6135464310646057,,,,,
1,0.17221781611442566,99,,,,,,,,,,
1,0.10054665803909302,109,,,,,,,,,,
1,0.10865848511457443,119,,,,,,,,,,
1,0.08105360716581345,129,,,,,,,,,,
1,0.1311977356672287,139,,,,,,,,,,
1,0.08381684869527817,149,,,,,,,,,,
1,0.09292609989643097,159,,,,,,,,,,
1,0.07230230420827866,169,,,,,,,,,,
1,0.08381416648626328,179,,,,,,,,,,
1,0.07511965930461884,189,,,,,,,,,,
1,,193,0.07252992689609528,0.9262568950653076,0.690801739692688,0.6315789222717285,0.6596300601959229,,,,,
2,0.15739235281944275,199,,,,,,,,,,
2,0.1041727066040039,209,,,,,,,,,,
2,0.06892498582601547,219,,,,,,,,,,
2,0.08645626902580261,229,,,,,,,,,,
2,0.12439028918743134,239,,,,,,,,,,
2,0.17823581397533417,249,,,,,,,,,,
2,0.07093378901481628,259,,,,,,,,,,
2,0.14097155630588531,269,,,,,,,,,,
2,0.06377186626195908,279,,,,,,,,,,
2,0.1643872857093811,289,,,,,,,,,,
2,,290,0.06922809779644012,0.9313206672668457,0.707705557346344,0.6532507538795471,0.6810510754585266,,,,,
3,0.07901518791913986,299,,,,,,,,,,
3,0.05175540968775749,309,,,,,,,,,,
3,0.07947791367769241,319,,,,,,,,,,
3,0.11657502502202988,329,,,,,,,,,,
3,0.09767124056816101,339,,,,,,,,,,
3,0.06448987126350403,349,,,,,,,,,,
3,0.08133505284786224,359,,,,,,,,,,
3,0.08623393625020981,369,,,,,,,,,,
3,0.06679093837738037,379,,,,,,,,,,
3,,387,0.06547969579696655,0.9299623370170593,0.6992303729057312,0.6532507538795471,0.6800820827484131,,,,,
4,0.06711146235466003,389,,,,,,,,,,
4,0.08262581378221512,399,,,,,,,,,,
4,0.07010765373706818,409,,,,,,,,,,
4,0.0586707778275013,419,,,,,,,,,,
4,0.06268446147441864,429,,,,,,,,,,
4,0.061477068811655045,439,,,,,,,,,,
4,0.10040412843227386,449,,,,,,,,,,
4,0.06823364645242691,459,,,,,,,,,,
4,0.07016073167324066,469,,,,,,,,,,
4,0.05333166569471359,479,,,,,,,,,,
4,,484,0.06473511457443237,0.9298346638679504,0.704706072807312,0.6625387072563171,0.6901654601097107,,,,,
5,,485,,,,,,0.6625387072563171,0.06473511457443237,0.704706072807312,0.6901654601097107,0.9298346638679504
