step,train_loss,epoch,val_qa_answer_f1,val_qa_em,val_qa_sas,val_loss,val_qa_bert_score,test_avg_qa_answer_f1,test_loss,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em
9,0.5228915810585022,0,,,,,,,,,,
19,0.33949044346809387,0,,,,,,,,,,
29,0.17866151034832,0,,,,,,,,,,
39,0.12614215910434723,0,,,,,,,,,,
49,0.1311328113079071,0,,,,,,,,,,
59,0.37671515345573425,0,,,,,,,,,,
69,0.234676331281662,0,,,,,,,,,,
79,0.33768337965011597,0,,,,,,,,,,
89,0.1302429884672165,0,,,,,,,,,,
99,0.18899598717689514,0,,,,,,,,,,
109,0.14775137603282928,0,,,,,,,,,,
119,0.1128564104437828,0,,,,,,,,,,
120,,0,0.43960604071617126,0.3864118754863739,0.493255078792572,0.10233252495527267,0.8718320727348328,,,,,
129,0.10772430151700974,1,,,,,,,,,,
139,0.140819251537323,1,,,,,,,,,,
149,0.12170322984457016,1,,,,,,,,,,
159,0.1403762400150299,1,,,,,,,,,,
169,0.1345168650150299,1,,,,,,,,,,
179,0.1118815541267395,1,,,,,,,,,,
189,0.1486571729183197,1,,,,,,,,,,
199,0.14152798056602478,1,,,,,,,,,,
209,0.3344624936580658,1,,,,,,,,,,
219,0.10784799605607986,1,,,,,,,,,,
229,0.08102590590715408,1,,,,,,,,,,
239,0.10063309222459793,1,,,,,,,,,,
241,,1,0.5353063941001892,0.48195329308509827,0.5760878324508667,0.0867779329419136,0.8944844603538513,,,,,
249,0.32232701778411865,2,,,,,,,,,,
259,0.1188046932220459,2,,,,,,,,,,
269,0.11367236822843552,2,,,,,,,,,,
279,0.07614443451166153,2,,,,,,,,,,
289,0.10141643136739731,2,,,,,,,,,,
299,0.05836018547415733,2,,,,,,,,,,
309,0.11943027377128601,2,,,,,,,,,,
319,0.42162686586380005,2,,,,,,,,,,
329,0.23276789486408234,2,,,,,,,,,,
339,0.0634256899356842,2,,,,,,,,,,
349,0.3614480793476105,2,,,,,,,,,,
359,0.0948818102478981,2,,,,,,,,,,
362,,2,0.5490211248397827,0.4946921467781067,0.5889875292778015,0.08424610644578934,0.8968142867088318,,,,,
369,0.1945563554763794,3,,,,,,,,,,
379,0.10269977152347565,3,,,,,,,,,,
389,0.09882833808660507,3,,,,,,,,,,
399,0.17095528542995453,3,,,,,,,,,,
409,0.10128963738679886,3,,,,,,,,,,
419,0.1180252656340599,3,,,,,,,,,,
429,0.08468876779079437,3,,,,,,,,,,
439,0.06152230501174927,3,,,,,,,,,,
449,0.1870039701461792,3,,,,,,,,,,
459,0.13472554087638855,3,,,,,,,,,,
469,0.10633834451436996,3,,,,,,,,,,
479,0.12667176127433777,3,,,,,,,,,,
483,,3,0.5739778280258179,0.522292971611023,0.6084927916526794,0.08269553631544113,0.9033032655715942,,,,,
489,0.18252724409103394,4,,,,,,,,,,
499,0.07197786867618561,4,,,,,,,,,,
509,0.06456287205219269,4,,,,,,,,,,
519,0.12092113494873047,4,,,,,,,,,,
529,0.07336857169866562,4,,,,,,,,,,
539,0.08146047592163086,4,,,,,,,,,,
549,0.22640204429626465,4,,,,,,,,,,
559,0.0861017033457756,4,,,,,,,,,,
569,0.12455499172210693,4,,,,,,,,,,
579,0.1434524804353714,4,,,,,,,,,,
589,0.10100680589675903,4,,,,,,,,,,
599,0.21823038160800934,4,,,,,,,,,,
604,,4,0.5680127143859863,0.5180467367172241,0.6051855087280273,0.07929440587759018,0.9024248719215393,,,,,
605,,5,,,,,,0.5680127143859863,0.07929440587759018,0.6051855087280273,0.9024248719215393,0.5180467367172241
