step,train_loss,epoch,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_qa_em,test_avg_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score
9,1.780677318572998,0,,,,,,,,,,
19,1.6458022594451904,0,,,,,,,,,,
29,1.3923543691635132,0,,,,,,,,,,
39,1.322339653968811,0,,,,,,,,,,
48,,0,1.5214766263961792,0.48243334889411926,0.547607421875,0.8532493710517883,0.29411765933036804,,,,,
49,2.2677695751190186,1,,,,,,,,,,
59,1.3063768148422241,1,,,,,,,,,,
69,1.6086517572402954,1,,,,,,,,,,
79,0.9210658073425293,1,,,,,,,,,,
89,1.0581212043762207,1,,,,,,,,,,
97,,1,1.3865690231323242,0.5102789998054504,0.5680280327796936,0.8659226298332214,0.35746607184410095,,,,,
99,1.8802746534347534,2,,,,,,,,,,
109,1.0605381727218628,2,,,,,,,,,,
119,1.1406644582748413,2,,,,,,,,,,
129,0.9513946771621704,2,,,,,,,,,,
139,0.8239890336990356,2,,,,,,,,,,
146,,2,1.304802656173706,0.5210877656936646,0.5745152235031128,0.8666285276412964,0.3665158450603485,,,,,
149,0.7002686262130737,3,,,,,,,,,,
159,0.9279506206512451,3,,,,,,,,,,
169,0.6830928325653076,3,,,,,,,,,,
179,1.092061161994934,3,,,,,,,,,,
189,1.1524018049240112,3,,,,,,,,,,
195,,3,1.2832378149032593,0.5304177403450012,0.5781947374343872,0.8718834519386292,0.3710407316684723,,,,,
199,0.8290294408798218,4,,,,,,,,,,
209,1.4169203042984009,4,,,,,,,,,,
219,1.5016320943832397,4,,,,,,,,,,
229,1.354872465133667,4,,,,,,,,,,
239,1.3575847148895264,4,,,,,,,,,,
244,,4,1.2520668506622314,0.5255372524261475,0.5767124891281128,0.8720299601554871,0.3665158450603485,,,,,
245,,5,,,,,,0.3710407316684723,1.2832378149032593,0.5781947374343872,0.5304177403450012,0.8718834519386292
