epoch,train_loss,step,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_sas,test_avg_qa_bert_score
0,0.7519574761390686,9,,,,,,,,,,
0,0.5733964443206787,19,,,,,,,,,,
0,0.45264962315559387,29,,,,,,,,,,
0,0.21915052831172943,39,,,,,,,,,,
0,0.4325200021266937,49,,,,,,,,,,
0,0.4016284644603729,59,,,,,,,,,,
0,0.2724555730819702,69,,,,,,,,,,
0,0.2654311954975128,79,,,,,,,,,,
0,0.2940782308578491,89,,,,,,,,,,
0,0.29920896887779236,99,,,,,,,,,,
0,0.17401506006717682,109,,,,,,,,,,
0,0.31422126293182373,119,,,,,,,,,,
0,0.3020678758621216,129,,,,,,,,,,
0,0.2166900932788849,139,,,,,,,,,,
0,0.35190141201019287,149,,,,,,,,,,
0,0.34259751439094543,159,,,,,,,,,,
0,0.16094574332237244,169,,,,,,,,,,
0,0.10819371789693832,179,,,,,,,,,,
0,,179,0.4412139058113098,0.8532862663269043,0.2380145937204361,0.3799999952316284,0.4765941798686981,,,,,
1,0.25977593660354614,189,,,,,,,,,,
1,0.2314368337392807,199,,,,,,,,,,
1,0.2018866240978241,209,,,,,,,,,,
1,0.2568141222000122,219,,,,,,,,,,
1,0.1896161437034607,229,,,,,,,,,,
1,0.1437690109014511,239,,,,,,,,,,
1,0.4033316671848297,249,,,,,,,,,,
1,0.2385825216770172,259,,,,,,,,,,
1,0.22734297811985016,269,,,,,,,,,,
1,0.22395586967468262,279,,,,,,,,,,
1,0.13874290883541107,289,,,,,,,,,,
1,0.18492640554904938,299,,,,,,,,,,
1,0.19719910621643066,309,,,,,,,,,,
1,0.16910913586616516,319,,,,,,,,,,
1,0.2136547863483429,329,,,,,,,,,,
1,0.23298296332359314,339,,,,,,,,,,
1,0.20197410881519318,349,,,,,,,,,,
1,0.1193707138299942,359,,,,,,,,,,
1,,359,0.485526442527771,0.8618083596229553,0.21091718971729279,0.4320000112056732,0.5138270258903503,,,,,
2,0.2215736210346222,369,,,,,,,,,,
2,0.11849940568208694,379,,,,,,,,,,
2,0.18742720782756805,389,,,,,,,,,,
2,0.2512355148792267,399,,,,,,,,,,
2,0.28714948892593384,409,,,,,,,,,,
2,0.1979631632566452,419,,,,,,,,,,
2,0.17032334208488464,429,,,,,,,,,,
2,0.26411259174346924,439,,,,,,,,,,
2,0.13517163693904877,449,,,,,,,,,,
2,0.1950826197862625,459,,,,,,,,,,
2,0.13669688999652863,469,,,,,,,,,,
2,0.13976530730724335,479,,,,,,,,,,
2,0.14833113551139832,489,,,,,,,,,,
2,0.13529129326343536,499,,,,,,,,,,
2,0.0866304412484169,509,,,,,,,,,,
2,0.17704515159130096,519,,,,,,,,,,
2,0.1232767328619957,529,,,,,,,,,,
2,0.13382664322853088,539,,,,,,,,,,
2,,539,0.5115121006965637,0.8708056211471558,0.19343245029449463,0.4560000002384186,0.5325366258621216,,,,,
3,0.12252891808748245,549,,,,,,,,,,
3,0.1747933179140091,559,,,,,,,,,,
3,0.25582095980644226,569,,,,,,,,,,
3,0.1350852996110916,579,,,,,,,,,,
3,0.14759236574172974,589,,,,,,,,,,
3,0.22928635776042938,599,,,,,,,,,,
3,0.15342245995998383,609,,,,,,,,,,
3,0.07718754559755325,619,,,,,,,,,,
3,0.1424880474805832,629,,,,,,,,,,
3,0.09787468612194061,639,,,,,,,,,,
3,0.12838990986347198,649,,,,,,,,,,
3,0.08814164251089096,659,,,,,,,,,,
3,0.2663009762763977,669,,,,,,,,,,
3,0.12470731139183044,679,,,,,,,,,,
3,0.14621751010417938,689,,,,,,,,,,
3,0.13145557045936584,699,,,,,,,,,,
3,0.1518191695213318,709,,,,,,,,,,
3,0.16187173128128052,719,,,,,,,,,,
3,,719,0.543783962726593,0.8789579272270203,0.18895681202411652,0.492000013589859,0.5649902820587158,,,,,
4,0.2999798357486725,729,,,,,,,,,,
4,0.19461575150489807,739,,,,,,,,,,
4,0.15144169330596924,749,,,,,,,,,,
4,0.1383950263261795,759,,,,,,,,,,
4,0.18940407037734985,769,,,,,,,,,,
4,0.1359144002199173,779,,,,,,,,,,
4,0.18513357639312744,789,,,,,,,,,,
4,0.15868446230888367,799,,,,,,,,,,
4,0.1294204592704773,809,,,,,,,,,,
4,0.15627217292785645,819,,,,,,,,,,
4,0.10809917002916336,829,,,,,,,,,,
4,0.16766874492168427,839,,,,,,,,,,
4,0.11214714497327805,849,,,,,,,,,,
4,0.1252073049545288,859,,,,,,,,,,
4,0.19569498300552368,869,,,,,,,,,,
4,0.14161096513271332,879,,,,,,,,,,
4,0.08923780173063278,889,,,,,,,,,,
4,0.2002752721309662,899,,,,,,,,,,
4,,899,0.5476703643798828,0.88189697265625,0.1823449283838272,0.4973333477973938,0.566586434841156,,,,,
5,,900,,,,,,0.4973333477973938,0.5476703643798828,0.1823449283838272,0.566586434841156,0.88189697265625
