epoch,step,train_loss,val_qa_em,val_qa_answer_f1,val_qa_sas,val_loss,val_qa_bert_score,test_loss
0,9,4.657270431518555,,,,,,
0,19,3.4604904651641846,,,,,,
0,29,2.7653162479400635,,,,,,
0,39,2.4213156700134277,,,,,,
0,49,1.5805779695510864,,,,,,
0,59,1.2013802528381348,,,,,,
0,69,0.7009616494178772,,,,,,
0,79,0.5438596606254578,,,,,,
0,89,0.3321846127510071,,,,,,
0,99,0.29090654850006104,,,,,,
0,109,0.21416524052619934,,,,,,
0,119,0.18462561070919037,,,,,,
0,124,,0.030837005004286766,0.13011591136455536,0.18227483332157135,0.1430649310350418,0.7175877690315247,
1,129,0.1935974657535553,,,,,,
1,139,0.2542949914932251,,,,,,
1,149,0.13894641399383545,,,,,,
1,159,0.0844818502664566,,,,,,
1,169,0.14706312119960785,,,,,,
1,179,0.08911285549402237,,,,,,
1,189,0.05705925449728966,,,,,,
1,199,0.13348408043384552,,,,,,
1,209,0.06208909675478935,,,,,,
1,219,0.08403981477022171,,,,,,
1,229,0.045420415699481964,,,,,,
1,239,0.03789084404706955,,,,,,
1,249,0.12328944355249405,,,,,,
1,249,,0.044052861630916595,0.14839181303977966,0.2019978016614914,0.045396070927381516,0.722122073173523,
2,259,0.06134967505931854,,,,,,
2,269,0.06181712821125984,,,,,,
2,279,0.04903716221451759,,,,,,
2,289,0.034152526408433914,,,,,,
2,299,0.06989514082670212,,,,,,
2,309,0.021585259586572647,,,,,,
2,319,0.02987394668161869,,,,,,
2,329,0.04279574006795883,,,,,,
2,339,0.04205597564578056,,,,,,
2,349,0.054717935621738434,,,,,,
2,359,0.08905761688947678,,,,,,
2,369,0.039189957082271576,,,,,,
2,374,,0.039647575467824936,0.14459170401096344,0.20033687353134155,0.05189189687371254,0.7203378081321716,
3,379,0.049892690032720566,,,,,,
3,389,0.046053655445575714,,,,,,
3,399,0.011806239373981953,,,,,,
3,409,0.007470891810953617,,,,,,
3,419,0.04801680147647858,,,,,,
3,429,0.015397376380860806,,,,,,
3,439,0.019710389897227287,,,,,,
3,449,0.02439078874886036,,,,,,
3,459,0.009518342092633247,,,,,,
3,469,0.013133167289197445,,,,,,
3,479,0.0033044780138880014,,,,,,
3,489,0.003978323191404343,,,,,,
3,499,0.004436142276972532,,,,,,
3,499,,0.044052861630916595,0.14698345959186554,0.2009127140045166,0.05391645058989525,0.7208995223045349,
4,509,0.004824983421713114,,,,,,
4,519,0.0064335535280406475,,,,,,
4,529,0.0031916487496346235,,,,,,
4,539,0.002769170328974724,,,,,,
4,549,0.014087630435824394,,,,,,
4,559,0.005597161129117012,,,,,,
4,569,0.00341842882335186,,,,,,
4,579,0.0032256997656077147,,,,,,
4,589,0.005251359660178423,,,,,,
4,599,0.008385205641388893,,,,,,
4,609,0.00842165108770132,,,,,,
4,619,0.008807772770524025,,,,,,
4,624,,0.039647575467824936,0.14361274242401123,0.19834265112876892,0.05594443529844284,0.7205612659454346,
5,625,,,,,,,0.05594443529844284
