step,train_loss,epoch,val_qa_answer_f1,val_qa_em,val_qa_sas,val_loss,val_qa_bert_score,test_avg_qa_answer_f1,test_loss,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em
9,0.4855768084526062,0,,,,,,,,,,
19,0.19966904819011688,0,,,,,,,,,,
29,0.20768959820270538,0,,,,,,,,,,
39,0.24293552339076996,0,,,,,,,,,,
49,0.16867956519126892,0,,,,,,,,,,
59,0.1492806375026703,0,,,,,,,,,,
69,0.14078496396541595,0,,,,,,,,,,
79,0.12983918190002441,0,,,,,,,,,,
89,0.40894678235054016,0,,,,,,,,,,
99,0.12898039817810059,0,,,,,,,,,,
109,0.1392063945531845,0,,,,,,,,,,
119,0.12322669476270676,0,,,,,,,,,,
124,,0,0.47687581181526184,0.42506143450737,0.528405487537384,0.0888572558760643,0.8828316926956177,,,,,
129,0.15847615897655487,1,,,,,,,,,,
139,0.5142186284065247,1,,,,,,,,,,
149,0.1850011944770813,1,,,,,,,,,,
159,0.1033087819814682,1,,,,,,,,,,
169,0.07793604582548141,1,,,,,,,,,,
179,0.16621488332748413,1,,,,,,,,,,
189,0.10187366604804993,1,,,,,,,,,,
199,0.16065865755081177,1,,,,,,,,,,
209,0.13352705538272858,1,,,,,,,,,,
219,0.06768406182527542,1,,,,,,,,,,
229,0.39299482107162476,1,,,,,,,,,,
239,0.09589219093322754,1,,,,,,,,,,
249,0.12775325775146484,1,,,,,,,,,,
249,,1,0.5356985330581665,0.4864864945411682,0.579430341720581,0.07770927995443344,0.8959077000617981,,,,,
259,0.06876596063375473,2,,,,,,,,,,
269,0.16521073877811432,2,,,,,,,,,,
279,0.10736755281686783,2,,,,,,,,,,
289,0.11447114497423172,2,,,,,,,,,,
299,0.12324207276105881,2,,,,,,,,,,
309,0.09246726334095001,2,,,,,,,,,,
319,0.10414528846740723,2,,,,,,,,,,
329,0.1331355720758438,2,,,,,,,,,,
339,0.08949685841798782,2,,,,,,,,,,
349,0.1059069037437439,2,,,,,,,,,,
359,0.14320418238639832,2,,,,,,,,,,
369,0.15563243627548218,2,,,,,,,,,,
374,,2,0.5648185014724731,0.5184274911880493,0.5989792346954346,0.07570677250623703,0.9015550017356873,,,,,
379,0.08298121392726898,3,,,,,,,,,,
389,0.07020937651395798,3,,,,,,,,,,
399,0.1084333136677742,3,,,,,,,,,,
409,0.09634265303611755,3,,,,,,,,,,
419,0.08439317345619202,3,,,,,,,,,,
429,0.09082841128110886,3,,,,,,,,,,
439,0.0915045365691185,3,,,,,,,,,,
449,0.13315638899803162,3,,,,,,,,,,
459,0.08751770853996277,3,,,,,,,,,,
469,0.09403898566961288,3,,,,,,,,,,
479,0.11082926392555237,3,,,,,,,,,,
489,0.08261683583259583,3,,,,,,,,,,
499,0.143862783908844,3,,,,,,,,,,
499,,3,0.5647875070571899,0.5208845138549805,0.6027860045433044,0.07279408723115921,0.9018126130104065,,,,,
509,0.10476186126470566,4,,,,,,,,,,
519,0.09559795260429382,4,,,,,,,,,,
529,0.09632286429405212,4,,,,,,,,,,
539,0.0888100117444992,4,,,,,,,,,,
549,0.11139138042926788,4,,,,,,,,,,
559,0.08901122212409973,4,,,,,,,,,,
569,0.06680428236722946,4,,,,,,,,,,
579,0.09696928411722183,4,,,,,,,,,,
589,0.07410838454961777,4,,,,,,,,,,
599,0.0974932536482811,4,,,,,,,,,,
609,0.07306744903326035,4,,,,,,,,,,
619,0.07159527391195297,4,,,,,,,,,,
624,,4,0.5930612683296204,0.5503685474395752,0.6255183815956116,0.07110670953989029,0.9082546234130859,,,,,
625,,5,,,,,,0.5930612683296204,0.07110670953989029,0.6255183815956116,0.9082546234130859,0.5503685474395752
