step,epoch,train_loss,val_loss,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_qa_em,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss,test_avg_qa_bert_score
9,0,2.4260761737823486,,,,,,,,,,
19,0,1.1211003065109253,,,,,,,,,,
29,0,1.8317257165908813,,,,,,,,,,
39,0,1.6131545305252075,,,,,,,,,,
49,0,0.5711727738380432,,,,,,,,,,
59,0,1.371068000793457,,,,,,,,,,
69,0,1.8342171907424927,,,,,,,,,,
79,0,0.6212258338928223,,,,,,,,,,
89,0,0.7057352066040039,,,,,,,,,,
99,0,0.7821623682975769,,,,,,,,,,
107,0,,1.196103811264038,0.8300412893295288,0.4883555471897125,0.4169831871986389,0.24376730620861053,,,,,
109,1,2.2896926403045654,,,,,,,,,,
119,1,2.2304372787475586,,,,,,,,,,
129,1,0.7384811043739319,,,,,,,,,,
139,1,0.6188192963600159,,,,,,,,,,
149,1,0.6305050849914551,,,,,,,,,,
159,1,0.44131430983543396,,,,,,,,,,
169,1,1.2303447723388672,,,,,,,,,,
179,1,1.4451727867126465,,,,,,,,,,
189,1,1.3231902122497559,,,,,,,,,,
199,1,1.1069761514663696,,,,,,,,,,
209,1,1.1277185678482056,,,,,,,,,,
215,1,,1.1330878734588623,0.8356996774673462,0.49764350056648254,0.42715951800346375,0.2686980664730072,,,,,
219,2,1.2042261362075806,,,,,,,,,,
229,2,1.0308877229690552,,,,,,,,,,
239,2,0.7101651430130005,,,,,,,,,,
249,2,0.6496647000312805,,,,,,,,,,
259,2,0.6053687334060669,,,,,,,,,,
269,2,1.1714688539505005,,,,,,,,,,
279,2,1.6342246532440186,,,,,,,,,,
289,2,1.3159465789794922,,,,,,,,,,
299,2,1.415431022644043,,,,,,,,,,
309,2,0.8557501435279846,,,,,,,,,,
319,2,1.642237901687622,,,,,,,,,,
323,2,,1.1017767190933228,0.8432666659355164,0.5242176651954651,0.45042964816093445,0.2880886495113373,,,,,
329,3,0.40349629521369934,,,,,,,,,,
339,3,1.5860681533813477,,,,,,,,,,
349,3,1.227181315422058,,,,,,,,,,
359,3,0.763051450252533,,,,,,,,,,
369,3,1.6660828590393066,,,,,,,,,,
379,3,1.0262079238891602,,,,,,,,,,
389,3,0.5828337669372559,,,,,,,,,,
399,3,1.2517887353897095,,,,,,,,,,
409,3,0.9814959168434143,,,,,,,,,,
419,3,1.3380436897277832,,,,,,,,,,
429,3,1.6539207696914673,,,,,,,,,,
431,3,,1.0861163139343262,0.8450493812561035,0.5336117744445801,0.4550597667694092,0.2853185534477234,,,,,
439,4,1.3704156875610352,,,,,,,,,,
449,4,0.9270606637001038,,,,,,,,,,
459,4,0.833849310874939,,,,,,,,,,
469,4,1.052414894104004,,,,,,,,,,
479,4,1.4848541021347046,,,,,,,,,,
489,4,0.41656050086021423,,,,,,,,,,
499,4,1.299074649810791,,,,,,,,,,
509,4,1.2906372547149658,,,,,,,,,,
519,4,1.320434331893921,,,,,,,,,,
529,4,2.525174856185913,,,,,,,,,,
539,4,0.9753065705299377,,,,,,,,,,
539,4,,1.0708545446395874,0.8473692536354065,0.5269404053688049,0.45665860176086426,0.29916897416114807,,,,,
540,5,,,,,,,0.29916897416114807,0.45665860176086426,0.5269404053688049,1.0708545446395874,0.8473692536354065
