step,epoch,train_loss,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
9,0,0.9408350586891174,,,,,,,,,,
19,0,1.2149596214294434,,,,,,,,,,
29,0,1.4767191410064697,,,,,,,,,,
39,0,1.0470346212387085,,,,,,,,,,
49,0,1.1485854387283325,,,,,,,,,,
51,0,,0.14418604969978333,0.8335128426551819,0.5193568468093872,0.39401352405548096,1.239784836769104,,,,,
59,1,1.050974726676941,,,,,,,,,,
69,1,1.1181350946426392,,,,,,,,,,
79,1,1.2349965572357178,,,,,,,,,,
89,1,1.3203352689743042,,,,,,,,,,
99,1,2.545107126235962,,,,,,,,,,
103,1,,0.17209301888942719,0.8411207795143127,0.5492466688156128,0.42510321736335754,1.1741161346435547,,,,,
109,2,1.59172785282135,,,,,,,,,,
119,2,1.4406261444091797,,,,,,,,,,
129,2,0.9733754992485046,,,,,,,,,,
139,2,1.3509888648986816,,,,,,,,,,
149,2,1.208866834640503,,,,,,,,,,
155,2,,0.1953488439321518,0.8457778096199036,0.5698590874671936,0.4487583041191101,1.1528321504592896,,,,,
159,3,1.2314388751983643,,,,,,,,,,
169,3,1.0379972457885742,,,,,,,,,,
179,3,0.8050092458724976,,,,,,,,,,
189,3,1.0740827322006226,,,,,,,,,,
199,3,1.0950584411621094,,,,,,,,,,
207,3,,0.20930232107639313,0.8467468619346619,0.5792410969734192,0.45222532749176025,1.125567078590393,,,,,
209,4,1.08695650100708,,,,,,,,,,
219,4,1.3154149055480957,,,,,,,,,,
229,4,1.0562002658843994,,,,,,,,,,
239,4,0.3687175512313843,,,,,,,,,,
249,4,1.0787513256072998,,,,,,,,,,
259,4,0.1608029305934906,,,,,,,,,,
259,4,,0.23720930516719818,0.8492467999458313,0.5825020670890808,0.46516162157058716,1.1253979206085205,,,,,
260,5,,,,,,,0.8492467999458313,0.23720930516719818,0.46516162157058716,0.5825020670890808,1.1253979206085205
