step,train_loss,epoch,val_qa_em,val_loss,val_qa_sas,val_qa_bert_score,val_qa_answer_f1,test_loss
9,1.0383784770965576,0,,,,,,
19,0.7801716923713684,0,,,,,,
29,0.5331788659095764,0,,,,,,
39,0.6598882079124451,0,,,,,,
49,0.43609967827796936,0,,,,,,
59,0.29203087091445923,0,,,,,,
69,0.39321067929267883,0,,,,,,
79,0.32638174295425415,0,,,,,,
83,,0,0.2531645596027374,0.08600098639726639,0.38531503081321716,0.8096277713775635,0.3341824412345886,
89,0.4352342486381531,1,,,,,,
99,0.2159658968448639,1,,,,,,
109,0.14564289152622223,1,,,,,,
119,0.27363210916519165,1,,,,,,
129,0.19141317903995514,1,,,,,,
139,0.2234179675579071,1,,,,,,
149,0.21534641087055206,1,,,,,,
159,0.18261554837226868,1,,,,,,
167,,1,0.3291139304637909,0.08113933354616165,0.4002082645893097,0.8224665522575378,0.3985414505004883,
169,0.12284398823976517,2,,,,,,
179,0.2091008722782135,2,,,,,,
189,0.14939507842063904,2,,,,,,
199,0.13041555881500244,2,,,,,,
209,0.14009647071361542,2,,,,,,
219,0.09311132878065109,2,,,,,,
229,0.11309725046157837,2,,,,,,
239,0.24056367576122284,2,,,,,,
249,0.09896969795227051,2,,,,,,
251,,2,0.3860759437084198,0.0780852884054184,0.4373381435871124,0.8351840972900391,0.4445095658302307,
259,0.07739544659852982,3,,,,,,
269,0.08002370595932007,3,,,,,,
279,0.08010855317115784,3,,,,,,
289,0.0857909545302391,3,,,,,,
299,0.08574487268924713,3,,,,,,
309,0.107664093375206,3,,,,,,
319,0.11710304021835327,3,,,,,,
329,0.07692038267850876,3,,,,,,
335,,3,0.3987341821193695,0.08082014322280884,0.4525361955165863,0.8420262336730957,0.4680880904197693,
339,0.04210374504327774,4,,,,,,
349,0.08984661847352982,4,,,,,,
359,0.039742883294820786,4,,,,,,
369,0.10121143609285355,4,,,,,,
379,0.03903496637940407,4,,,,,,
389,0.05738506466150284,4,,,,,,
399,0.04290594160556793,4,,,,,,
409,0.044042833149433136,4,,,,,,
419,0.019802240654826164,4,,,,,,
419,,4,0.3987341821193695,0.08708281815052032,0.4530637264251709,0.841702401638031,0.466857373714447,
420,,5,,,,,,0.08082014322280884
