step,train_loss,epoch,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_qa_em,test_loss
9,0.2789570093154907,0,,,,,,
19,0.1701415330171585,0,,,,,,
29,0.11944971233606339,0,,,,,,
39,0.24335908889770508,0,,,,,,
49,0.16796238720417023,0,,,,,,
59,1.7104791402816772,0,,,,,,
69,0.3128853440284729,0,,,,,,
79,0.2200409471988678,0,,,,,,
89,0.19816553592681885,0,,,,,,
99,0.14378952980041504,0,,,,,,
109,0.0677076131105423,0,,,,,,
109,,0,0.13373558223247528,0.5827110409736633,0.6539309620857239,0.883357584476471,0.3086419701576233,
119,0.20047369599342346,1,,,,,,
129,0.1579124629497528,1,,,,,,
139,0.20816819369792938,1,,,,,,
149,0.2913859188556671,1,,,,,,
159,0.20392172038555145,1,,,,,,
169,0.32190048694610596,1,,,,,,
179,0.13439345359802246,1,,,,,,
189,0.10579246282577515,1,,,,,,
199,0.19148103892803192,1,,,,,,
209,0.08869688957929611,1,,,,,,
219,0.5034434199333191,1,,,,,,
219,,1,0.12322641164064407,0.6285498142242432,0.6928027868270874,0.898946225643158,0.3395061790943146,
229,0.12717796862125397,2,,,,,,
239,0.11030794680118561,2,,,,,,
249,0.12035316228866577,2,,,,,,
259,0.16940708458423615,2,,,,,,
269,0.10138627886772156,2,,,,,,
279,0.161277636885643,2,,,,,,
289,0.09202190488576889,2,,,,,,
299,0.05584169924259186,2,,,,,,
309,0.12553700804710388,2,,,,,,
319,0.05287794768810272,2,,,,,,
329,0.595179557800293,2,,,,,,
329,,2,0.11389344185590744,0.610529363155365,0.6766570210456848,0.8928362727165222,0.31481480598449707,
339,0.08136575669050217,3,,,,,,
349,0.07761845737695694,3,,,,,,
359,0.07643812894821167,3,,,,,,
369,0.10339939594268799,3,,,,,,
379,0.0674855038523674,3,,,,,,
389,0.07998896390199661,3,,,,,,
399,0.0612061582505703,3,,,,,,
409,0.032565969973802567,3,,,,,,
419,0.08504419028759003,3,,,,,,
429,0.031105156987905502,3,,,,,,
439,0.6572631001472473,3,,,,,,
439,,3,0.1132386103272438,0.6177173852920532,0.6905854344367981,0.8952881097793579,0.35185185074806213,
449,0.05737452208995819,4,,,,,,
459,0.053330544382333755,4,,,,,,
469,0.042826682329177856,4,,,,,,
479,0.05639130249619484,4,,,,,,
489,0.03927713632583618,4,,,,,,
499,0.030841931700706482,4,,,,,,
509,0.044467512518167496,4,,,,,,
519,0.019500967115163803,4,,,,,,
529,0.04442814365029335,4,,,,,,
539,0.016915012151002884,4,,,,,,
549,0.30481040477752686,4,,,,,,
549,,4,0.11733091622591019,0.6173404455184937,0.691882312297821,0.896117091178894,0.34567901492118835,
550,,5,,,,,,0.11733091622591019
