step,train_loss,epoch,val_qa_sas,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_bert_score
9,0.3408118486404419,0,,,,,,,,,,
19,0.3773200809955597,0,,,,,,,,,,
29,0.24862262606620789,0,,,,,,,,,,
39,0.2535551190376282,0,,,,,,,,,,
49,0.15281879901885986,0,,,,,,,,,,
59,0.23293252289295197,0,,,,,,,,,,
69,0.17103315889835358,0,,,,,,,,,,
79,0.134451761841774,0,,,,,,,,,,
89,0.22206778824329376,0,,,,,,,,,,
94,,0,0.4873577654361725,0.4354219436645508,0.11152057349681854,0.8711096048355103,0.38161560893058777,,,,,
99,0.0754702091217041,1,,,,,,,,,,
109,0.12714992463588715,1,,,,,,,,,,
119,0.22695699334144592,1,,,,,,,,,,
129,0.10352455079555511,1,,,,,,,,,,
139,0.10848823934793472,1,,,,,,,,,,
149,0.1172981783747673,1,,,,,,,,,,
159,0.09568395465612411,1,,,,,,,,,,
169,0.1264723241329193,1,,,,,,,,,,
179,0.11219889670610428,1,,,,,,,,,,
189,0.10443204641342163,1,,,,,,,,,,
189,,1,0.5267705321311951,0.4695512056350708,0.10194568336009979,0.8777664303779602,0.4150417745113373,,,,,
199,0.08688870817422867,2,,,,,,,,,,
209,0.10949969291687012,2,,,,,,,,,,
219,0.06626218557357788,2,,,,,,,,,,
229,0.13535261154174805,2,,,,,,,,,,
239,0.1478637307882309,2,,,,,,,,,,
249,0.12081017345190048,2,,,,,,,,,,
259,0.11366012692451477,2,,,,,,,,,,
269,0.16863562166690826,2,,,,,,,,,,
279,0.12543611228466034,2,,,,,,,,,,
284,,2,0.5515773892402649,0.498717337846756,0.09628422558307648,0.8846113681793213,0.4401114284992218,,,,,
289,0.13592703640460968,3,,,,,,,,,,
299,0.2701135575771332,3,,,,,,,,,,
309,0.18335101008415222,3,,,,,,,,,,
319,0.13733407855033875,3,,,,,,,,,,
329,0.07456894218921661,3,,,,,,,,,,
339,0.11753273755311966,3,,,,,,,,,,
349,0.10423287749290466,3,,,,,,,,,,
359,0.08525992184877396,3,,,,,,,,,,
369,0.0609491802752018,3,,,,,,,,,,
379,0.1157013550400734,3,,,,,,,,,,
379,,3,0.5316533446311951,0.47582489252090454,0.10315516591072083,0.8793871402740479,0.42339831590652466,,,,,
389,0.1746879667043686,4,,,,,,,,,,
399,0.11417790502309799,4,,,,,,,,,,
409,0.09636350721120834,4,,,,,,,,,,
419,0.14202308654785156,4,,,,,,,,,,
429,0.0776616781949997,4,,,,,,,,,,
439,0.09739598631858826,4,,,,,,,,,,
449,0.08948250859975815,4,,,,,,,,,,
459,0.0895649790763855,4,,,,,,,,,,
469,0.060312021523714066,4,,,,,,,,,,
474,,4,0.581192672252655,0.5438497066497803,0.09210224449634552,0.8958829641342163,0.49025070667266846,,,,,
475,,5,,,,,,0.09210224449634552,0.581192672252655,0.5438497066497803,0.49025070667266846,0.8958829641342163
