epoch,step,train_loss,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_qa_sas,val_loss,test_loss
0,9,0.7560268640518188,,,,,,
0,19,0.3156648576259613,,,,,,
0,29,0.873088002204895,,,,,,
0,39,1.046797513961792,,,,,,
0,49,1.0479003190994263,,,,,,
0,59,2.2487916946411133,,,,,,
0,69,13.018468856811523,,,,,,
0,79,0.25928086042404175,,,,,,
0,89,0.5497968792915344,,,,,,
0,96,,0.8563032746315002,0.4804605543613434,0.29411765933036804,0.5495277047157288,0.1484416127204895,
1,99,0.27603787183761597,,,,,,
1,109,0.3988193869590759,,,,,,
1,119,1.636252522468567,,,,,,
1,129,0.4912770986557007,,,,,,
1,139,0.3097569942474365,,,,,,
1,149,0.1767694354057312,,,,,,
1,159,0.633227527141571,,,,,,
1,169,0.25724634528160095,,,,,,
1,179,0.19293536245822906,,,,,,
1,189,0.8067920804023743,,,,,,
1,193,,0.8744935989379883,0.5443958640098572,0.4117647111415863,0.5922957062721252,0.13084368407726288,
2,199,0.64300936460495,,,,,,
2,209,0.21251696348190308,,,,,,
2,219,0.5988151431083679,,,,,,
2,229,0.3071780800819397,,,,,,
2,239,0.5639374256134033,,,,,,
2,249,0.1468213051557541,,,,,,
2,259,0.2539932131767273,,,,,,
2,269,0.42878904938697815,,,,,,
2,279,0.34888511896133423,,,,,,
2,289,0.5056799054145813,,,,,,
2,290,,0.8786098957061768,0.5529946088790894,0.4162895977497101,0.5964424014091492,0.12708865106105804,
3,299,0.39205580949783325,,,,,,
3,309,0.10643568634986877,,,,,,
3,319,0.12021712213754654,,,,,,
3,329,0.12117800116539001,,,,,,
3,339,0.060751788318157196,,,,,,
3,349,0.4119841754436493,,,,,,
3,359,0.303373783826828,,,,,,
3,369,0.20954561233520508,,,,,,
3,379,0.13144288957118988,,,,,,
3,387,,0.8772473931312561,0.5483052730560303,0.42533937096595764,0.5859816670417786,0.13245894014835358,
4,389,0.12044525891542435,,,,,,
4,399,0.11278101056814194,,,,,,
4,409,0.07306671142578125,,,,,,
4,419,0.05391271039843559,,,,,,
4,429,0.040323615074157715,,,,,,
4,439,0.06664121896028519,,,,,,
4,449,0.06644745916128159,,,,,,
4,459,0.06606379896402359,,,,,,
4,469,0.11075116693973541,,,,,,
4,479,0.031510595232248306,,,,,,
4,484,,0.8684781789779663,0.5307982563972473,0.4072398245334625,0.5590589642524719,0.14626531302928925,
5,485,,,,,,,0.12708865106105804
