step,epoch,train_loss,val_loss,val_qa_em,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,test_loss
9,0,1.732600212097168,,,,,,
19,0,0.5038314461708069,,,,,,
29,0,0.5321300029754639,,,,,,
39,0,1.277783989906311,,,,,,
49,0,0.514188289642334,,,,,,
59,0,0.2357119768857956,,,,,,
69,0,0.6720588803291321,,,,,,
79,0,0.3542279601097107,,,,,,
89,0,0.3280501663684845,,,,,,
99,0,1.0293562412261963,,,,,,
109,0,0.5731804966926575,,,,,,
110,0,,0.16425590217113495,0.37106919288635254,0.4751949608325958,0.5144017338752747,0.8319610953330994,
119,1,0.465104341506958,,,,,,
129,1,0.46398410201072693,,,,,,
139,1,0.25129589438438416,,,,,,
149,1,0.2696392238140106,,,,,,
159,1,0.7506780028343201,,,,,,
169,1,0.2214677482843399,,,,,,
179,1,0.3829646408557892,,,,,,
189,1,0.25210368633270264,,,,,,
199,1,1.1412309408187866,,,,,,
209,1,0.6048485040664673,,,,,,
219,1,0.4395061433315277,,,,,,
221,1,,0.14229241013526917,0.48427674174308777,0.5898635387420654,0.6196109652519226,0.8696677088737488,
229,2,0.39736706018447876,,,,,,
239,2,0.37368375062942505,,,,,,
249,2,0.30963611602783203,,,,,,
259,2,0.4761636555194855,,,,,,
269,2,0.13926680386066437,,,,,,
279,2,0.7249406576156616,,,,,,
289,2,0.23654574155807495,,,,,,
299,2,0.0911986380815506,,,,,,
309,2,0.15372838079929352,,,,,,
319,2,0.17990325391292572,,,,,,
329,2,0.09226180613040924,,,,,,
332,2,,0.13948290050029755,0.49685534834861755,0.5996569991111755,0.6247718930244446,0.8710119724273682,
339,3,0.13685324788093567,,,,,,
349,3,0.05376051738858223,,,,,,
359,3,0.10487353056669235,,,,,,
369,3,0.23938921093940735,,,,,,
379,3,0.22250136733055115,,,,,,
389,3,0.28985700011253357,,,,,,
399,3,0.18227630853652954,,,,,,
409,3,0.13085788488388062,,,,,,
419,3,0.09579737484455109,,,,,,
429,3,0.0530838742852211,,,,,,
439,3,3.0601613521575928,,,,,,
443,3,,0.1385837197303772,0.5283018946647644,0.6284979581832886,0.643402099609375,0.8801607489585876,
449,4,0.039485350251197815,,,,,,
459,4,0.07163549959659576,,,,,,
469,4,0.03722861781716347,,,,,,
479,4,0.10795333981513977,,,,,,
489,4,0.045303717255592346,,,,,,
499,4,0.07653801888227463,,,,,,
509,4,0.03687993064522743,,,,,,
519,4,0.08050619810819626,,,,,,
529,4,0.09713001549243927,,,,,,
539,4,0.8240999579429626,,,,,,
549,4,0.011298185214400291,,,,,,
554,4,,0.15145041048526764,0.5220125913619995,0.6241254210472107,0.6481624841690063,0.8809258937835693,
555,5,,,,,,,0.15145041048526764
