step,epoch,train_loss,val_loss,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,test_loss
9,0,0.31390589475631714,,,,,,
19,0,0.1607675403356552,,,,,,
29,0,0.13622844219207764,,,,,,
39,0,0.5307849645614624,,,,,,
49,0,0.270797461271286,,,,,,
59,0,0.12945343554019928,,,,,,
69,0,0.07953785359859467,,,,,,
79,0,0.19939352571964264,,,,,,
89,0,0.2208249717950821,,,,,,
99,0,0.11577261239290237,,,,,,
109,0,0.1127210482954979,,,,,,
119,0,0.15642890334129333,,,,,,
129,0,0.15519747138023376,,,,,,
139,0,0.1980486661195755,,,,,,
149,0,0.1770060658454895,,,,,,
159,0,0.15300175547599792,,,,,,
169,0,0.10598170012235641,,,,,,
179,0,0.07057934999465942,,,,,,
189,0,0.21794727444648743,,,,,,
199,0,0.2143564224243164,,,,,,
209,0,0.15479858219623566,,,,,,
219,0,0.13867594301700592,,,,,,
229,0,0.165615513920784,,,,,,
239,0,0.08260072022676468,,,,,,
249,0,0.13477277755737305,,,,,,
259,0,0.13120567798614502,,,,,,
269,0,0.12976911664009094,,,,,,
279,0,0.12379753589630127,,,,,,
289,0,0.15328064560890198,,,,,,
299,0,0.11585693061351776,,,,,,
309,0,0.16099423170089722,,,,,,
319,0,0.17181843519210815,,,,,,
329,0,0.11192508041858673,,,,,,
339,0,0.0808730274438858,,,,,,
349,0,0.11508438736200333,,,,,,
358,0,,0.11705809831619263,0.12614980340003967,0.7770095467567444,0.25311779975891113,0.20038406550884247,
359,1,0.09160280227661133,,,,,,
369,1,0.12370455265045166,,,,,,
379,1,0.08526329696178436,,,,,,
389,1,0.09213010966777802,,,,,,
399,1,0.06313042342662811,,,,,,
409,1,0.09295984357595444,,,,,,
419,1,0.09039926528930664,,,,,,
429,1,0.11548587679862976,,,,,,
439,1,0.1283082216978073,,,,,,
449,1,0.06936881691217422,,,,,,
459,1,0.15644927322864532,,,,,,
469,1,0.07069279253482819,,,,,,
479,1,0.0719757005572319,,,,,,
489,1,0.07272493839263916,,,,,,
499,1,0.055385664105415344,,,,,,
509,1,0.08729784935712814,,,,,,
519,1,0.06992369145154953,,,,,,
529,1,0.08528879284858704,,,,,,
539,1,0.08928091824054718,,,,,,
549,1,0.11055579036474228,,,,,,
559,1,0.1323053389787674,,,,,,
569,1,0.14332281053066254,,,,,,
579,1,0.17379224300384521,,,,,,
589,1,0.19916987419128418,,,,,,
599,1,0.06598243117332458,,,,,,
609,1,0.16757899522781372,,,,,,
619,1,0.13629142940044403,,,,,,
629,1,0.08261793106794357,,,,,,
639,1,0.06285879760980606,,,,,,
649,1,0.06603961437940598,,,,,,
659,1,0.13549818098545074,,,,,,
669,1,0.09739142656326294,,,,,,
679,1,0.12776386737823486,,,,,,
689,1,0.166652113199234,,,,,,
699,1,0.1119554340839386,,,,,,
709,1,0.14148738980293274,,,,,,
717,1,,0.09864424169063568,0.14717477560043335,0.7875562906265259,0.2714748978614807,0.22077125310897827,
719,2,0.07065138220787048,,,,,,
729,2,0.06251674145460129,,,,,,
739,2,0.13132378458976746,,,,,,
749,2,0.0822087973356247,,,,,,
759,2,0.06935310363769531,,,,,,
769,2,0.10774405300617218,,,,,,
779,2,0.07038756459951401,,,,,,
789,2,0.059872105717659,,,,,,
799,2,0.08035819977521896,,,,,,
809,2,0.09765684604644775,,,,,,
819,2,0.0581650584936142,,,,,,
829,2,0.07843905687332153,,,,,,
839,2,0.0828300341963768,,,,,,
849,2,0.07829941809177399,,,,,,
859,2,0.05191187188029289,,,,,,
869,2,0.09519222378730774,,,,,,
879,2,0.0685194581747055,,,,,,
889,2,0.09586567431688309,,,,,,
899,2,0.05314231291413307,,,,,,
909,2,0.06590879708528519,,,,,,
919,2,0.09543907642364502,,,,,,
929,2,0.10846241563558578,,,,,,
939,2,0.07261612266302109,,,,,,
949,2,0.06952152401208878,,,,,,
959,2,0.04220392927527428,,,,,,
969,2,0.08737398684024811,,,,,,
979,2,0.12644600868225098,,,,,,
989,2,0.0846458300948143,,,,,,
999,2,0.07499170303344727,,,,,,
1009,2,0.08560822904109955,,,,,,
1019,2,0.0766361728310585,,,,,,
1029,2,0.06422815471887589,,,,,,
1039,2,0.10346874594688416,,,,,,
1049,2,0.07263011485338211,,,,,,
1059,2,0.08085206151008606,,,,,,
1069,2,0.09184155613183975,,,,,,
1076,2,,0.09976927936077118,0.17345598340034485,0.8007206320762634,0.30243393778800964,0.248867928981781,
1079,3,0.040963102132081985,,,,,,
1089,3,0.048602040857076645,,,,,,
1099,3,0.06894495338201523,,,,,,
1109,3,0.0430016852915287,,,,,,
1119,3,0.07330220937728882,,,,,,
1129,3,0.07935179769992828,,,,,,
1139,3,0.06426893174648285,,,,,,
1149,3,0.05811242759227753,,,,,,
1159,3,0.07942138612270355,,,,,,
1169,3,0.04466724768280983,,,,,,
1179,3,0.036237865686416626,,,,,,
1189,3,0.07504211366176605,,,,,,
1199,3,0.05707196891307831,,,,,,
1209,3,0.058368027210235596,,,,,,
1219,3,0.04840419813990593,,,,,,
1229,3,0.06808020919561386,,,,,,
1239,3,0.05992066487669945,,,,,,
1249,3,0.054340846836566925,,,,,,
1259,3,0.06766286492347717,,,,,,
1269,3,0.040478046983480453,,,,,,
1279,3,0.0652162954211235,,,,,,
1289,3,0.06018146872520447,,,,,,
1299,3,0.07470490783452988,,,,,,
1309,3,0.059067267924547195,,,,,,
1319,3,0.04170280694961548,,,,,,
1329,3,0.09106773883104324,,,,,,
1339,3,0.049739059060811996,,,,,,
1349,3,0.037780724465847015,,,,,,
1359,3,0.048484351485967636,,,,,,
1369,3,0.04843185842037201,,,,,,
1379,3,0.07617426663637161,,,,,,
1389,3,0.07897581905126572,,,,,,
1399,3,0.04040968045592308,,,,,,
1409,3,0.0284157432615757,,,,,,
1419,3,0.07582701742649078,,,,,,
1429,3,0.053785376250743866,,,,,,
1435,3,,0.11299517750740051,0.1957949995994568,0.8113422393798828,0.32971134781837463,0.27079394459724426,
1439,4,0.031003443524241447,,,,,,
1449,4,0.07135936617851257,,,,,,
1459,4,0.05295007675886154,,,,,,
1469,4,0.04472434148192406,,,,,,
1479,4,0.03827841579914093,,,,,,
1489,4,0.03803310543298721,,,,,,
1499,4,0.05816188082098961,,,,,,
1509,4,0.04148460552096367,,,,,,
1519,4,0.046342141926288605,,,,,,
1529,4,0.028253795579075813,,,,,,
1539,4,0.04523428529500961,,,,,,
1549,4,0.04415075480937958,,,,,,
1559,4,0.0439501628279686,,,,,,
1569,4,0.0695817619562149,,,,,,
1579,4,0.055048901587724686,,,,,,
1589,4,0.05643955245614052,,,,,,
1599,4,0.06314173340797424,,,,,,
1609,4,0.04166300594806671,,,,,,
1619,4,0.05396159738302231,,,,,,
1629,4,0.04433255270123482,,,,,,
1639,4,0.046548012644052505,,,,,,
1649,4,0.04110788553953171,,,,,,
1659,4,0.02285398170351982,,,,,,
1669,4,0.03701915964484215,,,,,,
1679,4,0.05658688396215439,,,,,,
1689,4,0.018981531262397766,,,,,,
1699,4,0.041645120829343796,,,,,,
1709,4,0.044420916587114334,,,,,,
1719,4,0.04821431636810303,,,,,,
1729,4,0.02821575477719307,,,,,,
1739,4,0.03196118399500847,,,,,,
1749,4,0.03569512069225311,,,,,,
1759,4,0.02693517506122589,,,,,,
1769,4,0.08925403654575348,,,,,,
1779,4,0.08188904821872711,,,,,,
1789,4,0.039275746792554855,,,,,,
1794,4,,0.1485661119222641,0.2128777951002121,0.8163966536521912,0.34101617336273193,0.28706061840057373,
1795,5,,,,,,,0.1485661119222641
