epoch,step,train_loss,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1
0,9,1.688645601272583,,,,,,,,,,
0,19,1.0613149404525757,,,,,,,,,,
0,29,1.230294108390808,,,,,,,,,,
0,39,0.9677994251251221,,,,,,,,,,
0,49,1.9025214910507202,,,,,,,,,,
0,53,,0.5457188487052917,0.5102744698524475,0.8549866676330566,1.4592376947402954,0.3351351320743561,,,,,
1,59,1.545894980430603,,,,,,,,,,
1,69,1.254888892173767,,,,,,,,,,
1,79,1.894728660583496,,,,,,,,,,
1,89,1.8482093811035156,,,,,,,,,,
1,99,1.443669080734253,,,,,,,,,,
1,107,,0.5669838786125183,0.5243113040924072,0.8597877025604248,1.2895159721374512,0.3675675690174103,,,,,
2,109,1.7157293558120728,,,,,,,,,,
2,119,1.6987298727035522,,,,,,,,,,
2,129,0.6662896275520325,,,,,,,,,,
2,139,6.538595199584961,,,,,,,,,,
2,149,1.3122535943984985,,,,,,,,,,
2,159,0.8764333128929138,,,,,,,,,,
2,161,,0.593701183795929,0.5540282130241394,0.86905837059021,1.2247487306594849,0.3891891837120056,,,,,
3,169,1.030274748802185,,,,,,,,,,
3,179,3.940441370010376,,,,,,,,,,
3,189,1.0268248319625854,,,,,,,,,,
3,199,1.333040714263916,,,,,,,,,,
3,209,0.9693156480789185,,,,,,,,,,
3,215,,0.6085363030433655,0.5686357021331787,0.8745291233062744,1.1631653308868408,0.4054054021835327,,,,,
4,219,0.5664980411529541,,,,,,,,,,
4,229,0.7783195972442627,,,,,,,,,,
4,239,0.8970975279808044,,,,,,,,,,
4,249,0.4827170670032501,,,,,,,,,,
4,259,2.798708915710449,,,,,,,,,,
4,269,1.0643962621688843,,,,,,,,,,
4,269,,0.5975274443626404,0.5618104934692383,0.8734325766563416,1.167916178703308,0.41081079840660095,,,,,
5,270,,,,,,,0.41081079840660095,0.5975274443626404,0.8734325766563416,1.167916178703308,0.5618104934692383
