step,train_loss,epoch,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,val_qa_sas,test_loss
9,0.56412273645401,0,,,,,,
19,0.9984623193740845,0,,,,,,
29,0.4527645707130432,0,,,,,,
39,0.38478875160217285,0,,,,,,
49,0.6609307527542114,0,,,,,,
59,0.22510027885437012,0,,,,,,
69,0.18191905319690704,0,,,,,,
79,0.7911376953125,0,,,,,,
89,0.18806242942810059,0,,,,,,
99,0.35486388206481934,0,,,,,,
109,0.38765180110931396,0,,,,,,
119,0.19681990146636963,0,,,,,,
129,0.19244547188282013,0,,,,,,
139,0.16380760073661804,0,,,,,,
149,0.31067395210266113,0,,,,,,
159,0.25742822885513306,0,,,,,,
169,0.4977360665798187,0,,,,,,
179,0.24554607272148132,0,,,,,,
189,0.7759393453598022,0,,,,,,
199,0.21574996411800385,0,,,,,,
209,0.4962819218635559,0,,,,,,
219,0.3554411232471466,0,,,,,,
229,0.13978415727615356,0,,,,,,
239,0.12073139101266861,0,,,,,,
249,0.14473333954811096,0,,,,,,
259,0.26058387756347656,0,,,,,,
269,0.2776733636856079,0,,,,,,
279,0.1343836486339569,0,,,,,,
289,0.20979559421539307,0,,,,,,
299,0.14551551640033722,0,,,,,,
309,0.1665807068347931,0,,,,,,
319,0.06138191744685173,0,,,,,,
329,0.17608873546123505,0,,,,,,
339,0.23849938809871674,0,,,,,,
349,0.10475175827741623,0,,,,,,
356,,0,0.6378490924835205,0.8863057494163513,0.1850033700466156,0.5162601470947266,0.6511496305465698,
359,0.1049174889922142,1,,,,,,
369,0.13813017308712006,1,,,,,,
379,0.4509650468826294,1,,,,,,
389,0.15073201060295105,1,,,,,,
399,0.17860431969165802,1,,,,,,
409,0.11335194110870361,1,,,,,,
419,0.23765741288661957,1,,,,,,
429,0.06906367093324661,1,,,,,,
439,0.17035916447639465,1,,,,,,
449,0.4404202103614807,1,,,,,,
459,0.11522126942873001,1,,,,,,
469,0.08309566229581833,1,,,,,,
479,0.25742822885513306,1,,,,,,
489,0.13402073085308075,1,,,,,,
499,0.08656774461269379,1,,,,,,
509,0.09199895709753036,1,,,,,,
519,0.1928044706583023,1,,,,,,
529,0.045504141598939896,1,,,,,,
539,0.04734719917178154,1,,,,,,
549,0.059260278940200806,1,,,,,,
559,0.07488898187875748,1,,,,,,
569,0.5678747296333313,1,,,,,,
579,0.1088944748044014,1,,,,,,
589,0.04303513839840889,1,,,,,,
599,0.22796118259429932,1,,,,,,
609,0.25754135847091675,1,,,,,,
619,0.19859063625335693,1,,,,,,
629,0.16227023303508759,1,,,,,,
639,0.16097810864448547,1,,,,,,
649,0.06848763674497604,1,,,,,,
659,0.09173633903265,1,,,,,,
669,0.17851510643959045,1,,,,,,
679,0.08975327759981155,1,,,,,,
689,0.1068517193198204,1,,,,,,
699,0.14321371912956238,1,,,,,,
709,0.252851665019989,1,,,,,,
