train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,val_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_sas
0.37173789739608765,9,0,,,,,,,,,,
0.2835579514503479,19,0,,,,,,,,,,
0.15303128957748413,29,0,,,,,,,,,,
0.1691080629825592,39,0,,,,,,,,,,
0.1292719841003418,49,0,,,,,,,,,,
0.16490291059017181,59,0,,,,,,,,,,
0.14521163702011108,69,0,,,,,,,,,,
0.14543651044368744,79,0,,,,,,,,,,
0.12094021588563919,89,0,,,,,,,,,,
,90,0,0.5057258009910583,0.13046373426914215,0.8873271942138672,0.4545454680919647,0.5492169260978699,,,,,
0.1562805026769638,99,1,,,,,,,,,,
0.09775525331497192,109,1,,,,,,,,,,
0.1704072654247284,119,1,,,,,,,,,,
0.12021258473396301,129,1,,,,,,,,,,
0.12641556560993195,139,1,,,,,,,,,,
0.08661264181137085,149,1,,,,,,,,,,
0.08835143595933914,159,1,,,,,,,,,,
0.0832442194223404,169,1,,,,,,,,,,
0.08679694682359695,179,1,,,,,,,,,,
,181,1,0.5414524674415588,0.1268896609544754,0.8946938514709473,0.4965035021305084,0.5778537392616272,,,,,
0.09051377326250076,189,2,,,,,,,,,,
0.08780915290117264,199,2,,,,,,,,,,
0.09920873492956161,209,2,,,,,,,,,,
0.07704184949398041,219,2,,,,,,,,,,
0.16947495937347412,229,2,,,,,,,,,,
0.09959647059440613,239,2,,,,,,,,,,
0.10478466004133224,249,2,,,,,,,,,,
0.08685742318630219,259,2,,,,,,,,,,
0.08500480651855469,269,2,,,,,,,,,,
,272,2,0.5572514533996582,0.1189635694026947,0.8985355496406555,0.5128205418586731,0.5927824974060059,,,,,
0.06026007607579231,279,3,,,,,,,,,,
0.17216604948043823,289,3,,,,,,,,,,
0.1541328877210617,299,3,,,,,,,,,,
0.08941950649023056,309,3,,,,,,,,,,
0.12198133766651154,319,3,,,,,,,,,,
0.11289724707603455,329,3,,,,,,,,,,
0.09369738399982452,339,3,,,,,,,,,,
0.056679561734199524,349,3,,,,,,,,,,
0.12392429262399673,359,3,,,,,,,,,,
,363,3,0.5731377005577087,0.11793774366378784,0.9026280641555786,0.5291375517845154,0.6058666110038757,,,,,
0.06575221568346024,369,4,,,,,,,,,,
0.08507433533668518,379,4,,,,,,,,,,
0.06272066384553909,389,4,,,,,,,,,,
0.08645953983068466,399,4,,,,,,,,,,
0.07082223892211914,409,4,,,,,,,,,,
0.07619120925664902,419,4,,,,,,,,,,
0.07435281574726105,429,4,,,,,,,,,,
0.048847414553165436,439,4,,,,,,,,,,
0.07121369242668152,449,4,,,,,,,,,,
,454,4,0.5787175893783569,0.1164582148194313,0.9039852023124695,0.5314685106277466,0.6083531975746155,,,,,
,455,5,,,,,,0.5787175893783569,0.1164582148194313,0.5314685106277466,0.9039852023124695,0.6083531975746155
