step,train_loss,epoch,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_loss,val_qa_sas,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_em
9,0.32165461778640747,0,,,,,,,,,,
19,0.2998145520687103,0,,,,,,,,,,
29,0.21062147617340088,0,,,,,,,,,,
39,0.23125503957271576,0,,,,,,,,,,
49,0.16847537457942963,0,,,,,,,,,,
59,0.17147383093833923,0,,,,,,,,,,
69,0.2299119234085083,0,,,,,,,,,,
79,0.2097328007221222,0,,,,,,,,,,
89,0.15665915608406067,0,,,,,,,,,,
94,,0,0.4584190845489502,0.8769323825836182,0.4038997292518616,0.11105138063430786,0.5082689523696899,,,,,
99,0.10810509324073792,1,,,,,,,,,,
109,0.12684819102287292,1,,,,,,,,,,
119,0.2599380910396576,1,,,,,,,,,,
129,0.0986914187669754,1,,,,,,,,,,
139,0.12124989181756973,1,,,,,,,,,,
149,0.11988998204469681,1,,,,,,,,,,
159,0.11156530678272247,1,,,,,,,,,,
169,0.11574946343898773,1,,,,,,,,,,
179,0.12834806740283966,1,,,,,,,,,,
189,0.07889215648174286,1,,,,,,,,,,
189,,1,0.4630480706691742,0.8757068514823914,0.4094707667827606,0.09985556453466415,0.517578125,,,,,
199,0.08889713138341904,2,,,,,,,,,,
209,0.08224733173847198,2,,,,,,,,,,
219,0.06466121226549149,2,,,,,,,,,,
229,0.09928303211927414,2,,,,,,,,,,
239,0.1443270742893219,2,,,,,,,,,,
249,0.1582009196281433,2,,,,,,,,,,
259,0.14456410706043243,2,,,,,,,,,,
269,0.10842284560203552,2,,,,,,,,,,
279,0.13299041986465454,2,,,,,,,,,,
284,,2,0.48151302337646484,0.8808711767196655,0.4317548871040344,0.09688311070203781,0.5329165458679199,,,,,
289,0.10005363821983337,3,,,,,,,,,,
299,0.2571418881416321,3,,,,,,,,,,
309,0.17527686059474945,3,,,,,,,,,,
319,0.11631149798631668,3,,,,,,,,,,
329,0.12300994247198105,3,,,,,,,,,,
339,0.10714121162891388,3,,,,,,,,,,
349,0.09247948974370956,3,,,,,,,,,,
359,0.09326629340648651,3,,,,,,,,,,
369,0.07177550345659256,3,,,,,,,,,,
379,0.13128286600112915,3,,,,,,,,,,
379,,3,0.5131728649139404,0.8876524567604065,0.4623955488204956,0.09301844984292984,0.5601223111152649,,,,,
389,0.17271530628204346,4,,,,,,,,,,
399,0.1285438984632492,4,,,,,,,,,,
409,0.08549946546554565,4,,,,,,,,,,
419,0.1527169942855835,4,,,,,,,,,,
429,0.10615599155426025,4,,,,,,,,,,
439,0.09356165677309036,4,,,,,,,,,,
449,0.12738262116909027,4,,,,,,,,,,
459,0.07920371741056442,4,,,,,,,,,,
469,0.060884177684783936,4,,,,,,,,,,
474,,4,0.53595370054245,0.8941165804862976,0.4818941652774811,0.08749538660049438,0.57521653175354,,,,,
475,,5,,,,,,0.57521653175354,0.53595370054245,0.8941165804862976,0.08749538660049438,0.4818941652774811
