epoch,step,train_loss,val_qa_bert_score,val_qa_sas,val_qa_em,val_qa_answer_f1,val_loss,test_loss
0,9,1.0355643033981323,,,,,,
0,19,1.2281221151351929,,,,,,
0,29,1.1237006187438965,,,,,,
0,39,0.5487159490585327,,,,,,
0,49,0.7175814509391785,,,,,,
0,59,0.7484869956970215,,,,,,
0,69,0.7977855205535889,,,,,,
0,79,0.46539655327796936,,,,,,
0,89,0.4200381636619568,,,,,,
0,99,0.4667823016643524,,,,,,
0,109,0.41297852993011475,,,,,,
0,119,0.21226637065410614,,,,,,
0,129,0.6585468649864197,,,,,,
0,139,1.0242012739181519,,,,,,
0,149,0.376354455947876,,,,,,
0,159,0.31602999567985535,,,,,,
0,169,0.8120222687721252,,,,,,
0,179,0.35408762097358704,,,,,,
0,189,0.4868737757205963,,,,,,
0,199,0.5984052419662476,,,,,,
0,209,0.4239663779735565,,,,,,
0,219,0.589397668838501,,,,,,
0,229,0.39144060015678406,,,,,,
0,239,0.31252267956733704,,,,,,
0,249,0.5809081792831421,,,,,,
0,259,0.3675430417060852,,,,,,
0,269,0.6571282148361206,,,,,,
0,279,1.4635019302368164,,,,,,
0,289,0.6714895367622375,,,,,,
0,299,0.5612079501152039,,,,,,
0,309,0.601431131362915,,,,,,
0,319,0.3284226953983307,,,,,,
0,329,0.6023401618003845,,,,,,
0,339,0.6704732179641724,,,,,,
0,349,0.4854584038257599,,,,,,
0,359,0.4177086353302002,,,,,,
0,369,0.8774645328521729,,,,,,
0,379,0.33078932762145996,,,,,,
0,388,,0.8902007341384888,0.6893263459205627,0.5660377144813538,0.6589561700820923,0.14235132932662964,
1,389,0.25623345375061035,,,,,,
1,399,0.515765905380249,,,,,,
1,409,0.5956328511238098,,,,,,
1,419,0.2736104130744934,,,,,,
1,429,0.9220693111419678,,,,,,
1,439,0.11035928875207901,,,,,,
1,449,0.6945181488990784,,,,,,
1,459,1.871233344078064,,,,,,
1,469,0.20162290334701538,,,,,,
