epoch,train_loss,step,val_qa_bert_score,val_loss,val_qa_answer_f1,val_qa_sas,val_qa_em,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_loss
0,0.7374352216720581,9,,,,,,,,,,
0,0.4182616174221039,19,,,,,,,,,,
0,0.3735830783843994,29,,,,,,,,,,
0,0.5557610988616943,39,,,,,,,,,,
0,0.47210031747817993,49,,,,,,,,,,
0,0.23993711173534393,59,,,,,,,,,,
0,0.45236560702323914,69,,,,,,,,,,
0,0.5187114477157593,79,,,,,,,,,,
0,0.3628966212272644,89,,,,,,,,,,
0,0.11110194027423859,99,,,,,,,,,,
0,0.34629929065704346,109,,,,,,,,,,
0,0.16534815728664398,119,,,,,,,,,,
0,0.2106158584356308,129,,,,,,,,,,
0,0.19981549680233002,139,,,,,,,,,,
0,0.1316022276878357,149,,,,,,,,,,
0,0.170377716422081,159,,,,,,,,,,
0,0.10807693004608154,169,,,,,,,,,,
0,0.8245059847831726,179,,,,,,,,,,
0,,179,0.8684880137443542,0.20493169128894806,0.5049329996109009,0.5245509743690491,0.45072272419929504,,,,,
1,0.131260946393013,189,,,,,,,,,,
1,0.14454887807369232,199,,,,,,,,,,
1,0.19712874293327332,209,,,,,,,,,,
1,0.1771182417869568,219,,,,,,,,,,
1,0.2860965430736542,229,,,,,,,,,,
1,0.20177091658115387,239,,,,,,,,,,
1,0.4509982466697693,249,,,,,,,,,,
1,0.14225351810455322,259,,,,,,,,,,
1,0.15186302363872528,269,,,,,,,,,,
1,0.16066910326480865,279,,,,,,,,,,
1,0.3478028476238251,289,,,,,,,,,,
1,0.1600138396024704,299,,,,,,,,,,
1,0.10102315992116928,309,,,,,,,,,,
1,0.15026041865348816,319,,,,,,,,,,
1,0.16718795895576477,329,,,,,,,,,,
1,0.23935511708259583,339,,,,,,,,,,
1,0.1161402091383934,349,,,,,,,,,,
1,0.3675401508808136,359,,,,,,,,,,
1,,359,0.8760064244270325,0.16647525131702423,0.5264871120452881,0.5455766320228577,0.47700393199920654,,,,,
2,0.27213913202285767,369,,,,,,,,,,
2,0.14807164669036865,379,,,,,,,,,,
2,0.18614834547042847,389,,,,,,,,,,
2,0.21076823770999908,399,,,,,,,,,,
2,0.19357523322105408,409,,,,,,,,,,
2,0.36302006244659424,419,,,,,,,,,,
2,0.08712638169527054,429,,,,,,,,,,
2,0.556601881980896,439,,,,,,,,,,
2,0.13618840277194977,449,,,,,,,,,,
2,0.09202416241168976,459,,,,,,,,,,
2,0.15192508697509766,469,,,,,,,,,,
2,0.1534470170736313,479,,,,,,,,,,
2,0.09206653386354446,489,,,,,,,,,,
2,0.12379718571901321,499,,,,,,,,,,
2,0.14987345039844513,509,,,,,,,,,,
2,0.09393925219774246,519,,,,,,,,,,
2,0.08274917304515839,529,,,,,,,,,,
2,0.08078137040138245,539,,,,,,,,,,
2,,539,0.8867239356040955,0.14611190557479858,0.566696286201477,0.5841662287712097,0.5151116847991943,,,,,
3,0.12163065373897552,549,,,,,,,,,,
3,0.1399383246898651,559,,,,,,,,,,
3,0.191421777009964,569,,,,,,,,,,
3,0.08888473361730576,579,,,,,,,,,,
3,0.07931871712207794,589,,,,,,,,,,
3,0.08407945185899734,599,,,,,,,,,,
3,0.1708819717168808,609,,,,,,,,,,
3,0.06462838500738144,619,,,,,,,,,,
3,0.08717658370733261,629,,,,,,,,,,
3,0.1019783541560173,639,,,,,,,,,,
3,0.06647133082151413,649,,,,,,,,,,
3,0.13058215379714966,659,,,,,,,,,,
3,0.11050909012556076,669,,,,,,,,,,
3,0.05828582122921944,679,,,,,,,,,,
3,0.17188358306884766,689,,,,,,,,,,
3,0.29066410660743713,699,,,,,,,,,,
3,0.05630882456898689,709,,,,,,,,,,
3,0.144631028175354,719,,,,,,,,,,
3,,719,0.8927593231201172,0.13668015599250793,0.594597339630127,0.6125917434692383,0.5479632019996643,,,,,
4,0.362544983625412,729,,,,,,,,,,
4,0.06243080273270607,739,,,,,,,,,,
4,0.13607370853424072,749,,,,,,,,,,
4,0.13335734605789185,759,,,,,,,,,,
4,0.06332048773765564,769,,,,,,,,,,
4,0.08518272638320923,779,,,,,,,,,,
4,0.14775264263153076,789,,,,,,,,,,
4,0.12581881880760193,799,,,,,,,,,,
4,0.07457101345062256,809,,,,,,,,,,
4,0.06899164617061615,819,,,,,,,,,,
4,0.20037563145160675,829,,,,,,,,,,
4,0.07461750507354736,839,,,,,,,,,,
4,0.19117021560668945,849,,,,,,,,,,
4,0.04372766986489296,859,,,,,,,,,,
4,0.07995761930942535,869,,,,,,,,,,
4,0.22486276924610138,879,,,,,,,,,,
4,0.03541884943842888,889,,,,,,,,,,
4,0.1769838035106659,899,,,,,,,,,,
4,,899,0.8959609866142273,0.12861473858356476,0.6044777035713196,0.6174933314323425,0.5545334815979004,,,,,
5,,900,,,,,,0.6044777035713196,0.5545334815979004,0.6174933314323425,0.8959609866142273,0.12861473858356476
