train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,val_qa_bert_score,test_loss
1.2154606580734253,9,0,,,,,,
0.22025653719902039,19,0,,,,,,
0.6422239542007446,29,0,,,,,,
0.4614023268222809,39,0,,,,,,
0.3496212661266327,49,0,,,,,,
0.5355415940284729,59,0,,,,,,
0.5549946427345276,69,0,,,,,,
0.6256431341171265,79,0,,,,,,
0.34454819560050964,89,0,,,,,,
0.7299605011940002,99,0,,,,,,
,102,0,0.4879092872142792,0.13546068966388702,0.3407079577445984,0.5388785004615784,0.8504886627197266,
0.4288982152938843,109,1,,,,,,
2.1268184185028076,119,1,,,,,,
1.047441005706787,129,1,,,,,,
0.10161349177360535,139,1,,,,,,
0.807479202747345,149,1,,,,,,
0.14725056290626526,159,1,,,,,,
0.26830559968948364,169,1,,,,,,
0.2958444356918335,179,1,,,,,,
0.4641960561275482,189,1,,,,,,
0.5194526314735413,199,1,,,,,,
,205,1,0.5346683859825134,0.1307196319103241,0.40265485644340515,0.5824562907218933,0.8699660897254944,
0.14193356037139893,209,2,,,,,,
0.2198575735092163,219,2,,,,,,
0.20358049869537354,229,2,,,,,,
0.21544554829597473,239,2,,,,,,
0.1512395143508911,249,2,,,,,,
0.12064221501350403,259,2,,,,,,
0.27943453192710876,269,2,,,,,,
0.10537416487932205,279,2,,,,,,
0.5701998472213745,289,2,,,,,,
0.1845908910036087,299,2,,,,,,
,308,2,0.552554190158844,0.13059066236019135,0.4115044176578522,0.5961486101150513,0.8737115263938904,
0.041568584740161896,309,3,,,,,,
0.058567408472299576,319,3,,,,,,
0.23832057416439056,329,3,,,,,,
0.07075180858373642,339,3,,,,,,
0.2843393087387085,349,3,,,,,,
0.09153477847576141,359,3,,,,,,
0.0719640851020813,369,3,,,,,,
0.22744901478290558,379,3,,,,,,
0.01042015291750431,389,3,,,,,,
0.16112220287322998,399,3,,,,,,
0.27863582968711853,409,3,,,,,,
,411,3,0.5746763944625854,0.13584274053573608,0.4336283206939697,0.6080366969108582,0.8787609338760376,
0.07527333498001099,419,4,,,,,,
0.16970981657505035,429,4,,,,,,
0.2667600214481354,439,4,,,,,,
0.07252217084169388,449,4,,,,,,
0.0283488966524601,459,4,,,,,,
0.018862305209040642,469,4,,,,,,
0.07011474668979645,479,4,,,,,,
0.19203728437423706,489,4,,,,,,
0.01781972497701645,499,4,,,,,,
0.06038710102438927,509,4,,,,,,
,514,4,0.5658162832260132,0.14986267685890198,0.4247787594795227,0.5906941890716553,0.875740110874176,
,515,5,,,,,,0.14986267685890198
