epoch,step,train_loss,val_loss,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_qa_sas,test_loss
0,9,0.9457024335861206,,,,,,
0,19,0.6813623309135437,,,,,,
0,29,0.7389804124832153,,,,,,
0,39,0.4233599305152893,,,,,,
0,49,0.4903188943862915,,,,,,
0,59,0.24729043245315552,,,,,,
0,69,0.2818993926048279,,,,,,
0,79,0.48587414622306824,,,,,,
0,89,0.39172837138175964,,,,,,
0,99,0.3135301172733307,,,,,,
0,109,0.2968815267086029,,,,,,
0,119,0.21165426075458527,,,,,,
0,124,,0.07752283662557602,0.375249981880188,0.2850877046585083,0.8238202929496765,0.36651507019996643,
1,129,0.31861186027526855,,,,,,
1,139,0.2310609072446823,,,,,,
1,149,0.12159637361764908,,,,,,
1,159,0.15189827978610992,,,,,,
1,169,0.16304078698158264,,,,,,
1,179,0.20686590671539307,,,,,,
1,189,0.14736595749855042,,,,,,
1,199,0.16562314331531525,,,,,,
1,209,0.2668054699897766,,,,,,
1,219,0.15189120173454285,,,,,,
1,229,0.22233863174915314,,,,,,
1,239,0.2175534963607788,,,,,,
1,249,0.036166973412036896,,,,,,
1,249,,0.0636623203754425,0.4722024202346802,0.37719297409057617,0.8488456010818481,0.44222548604011536,
2,259,0.1393231898546219,,,,,,
2,269,0.23779332637786865,,,,,,
2,279,0.08815454691648483,,,,,,
2,289,0.11865098774433136,,,,,,
2,299,0.21839067339897156,,,,,,
2,309,0.11937190592288971,,,,,,
2,319,0.14871075749397278,,,,,,
2,329,0.06653456389904022,,,,,,
2,339,0.11742792278528214,,,,,,
2,349,0.17000672221183777,,,,,,
2,359,0.10207465291023254,,,,,,
2,369,0.1258690506219864,,,,,,
2,374,,0.06085936725139618,0.49633586406707764,0.4166666567325592,0.8548034429550171,0.4662437438964844,
3,379,0.07712062448263168,,,,,,
3,389,0.07452062517404556,,,,,,
3,399,0.05978250503540039,,,,,,
3,409,0.04911036789417267,,,,,,
3,419,0.05263637751340866,,,,,,
3,429,0.043369222432374954,,,,,,
3,439,0.055909909307956696,,,,,,
3,449,0.07919668406248093,,,,,,
3,459,0.08147580176591873,,,,,,
3,469,0.055757422000169754,,,,,,
3,479,0.06484420597553253,,,,,,
3,489,0.096194788813591,,,,,,
3,499,0.013851620256900787,,,,,,
3,499,,0.06444071233272552,0.5404049754142761,0.46052631735801697,0.8684379458427429,0.5063823461532593,
4,509,0.05067374184727669,,,,,,
4,519,0.09404381364583969,,,,,,
4,529,0.019373593851923943,,,,,,
4,539,0.05515408143401146,,,,,,
4,549,0.07597848773002625,,,,,,
4,559,0.03050936944782734,,,,,,
4,569,0.05537085980176926,,,,,,
4,579,0.029804758727550507,,,,,,
4,589,0.03222893550992012,,,,,,
4,599,0.04074902832508087,,,,,,
4,609,0.029326127842068672,,,,,,
4,619,0.058452073484659195,,,,,,
4,624,,0.0710284560918808,0.5608720183372498,0.4912280738353729,0.8707422614097595,0.5256796479225159,
5,625,,,,,,,0.0710284560918808
