epoch,train_loss,step,val_loss,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_qa_sas,test_loss
0,0.30472394824028015,9,,,,,,
0,0.17954780161380768,19,,,,,,
0,0.23340511322021484,29,,,,,,
0,0.13183337450027466,39,,,,,,
0,0.2649133801460266,49,,,,,,
0,0.16555075347423553,59,,,,,,
0,0.14803215861320496,69,,,,,,
0,0.23415644466876984,79,,,,,,
0,0.19531631469726562,89,,,,,,
0,0.2560123801231384,99,,,,,,
0,,99,0.09213003516197205,0.890508234500885,0.2708333432674408,0.6051093339920044,0.6797071099281311,
1,0.10636071860790253,109,,,,,,
1,0.24866677820682526,119,,,,,,
1,0.15231072902679443,129,,,,,,
1,0.08807102590799332,139,,,,,,
1,0.09907457232475281,149,,,,,,
1,0.07532217353582382,159,,,,,,
1,0.15893642604351044,169,,,,,,
1,0.13017599284648895,179,,,,,,
1,0.6570162773132324,189,,,,,,
1,0.05444388836622238,199,,,,,,
1,,199,0.0853969007730484,0.8970782160758972,0.2708333432674408,0.6250173449516296,0.685930609703064,
2,0.05747263506054878,209,,,,,,
2,0.16451822221279144,219,,,,,,
2,0.08404453843832016,229,,,,,,
2,0.06299755722284317,239,,,,,,
2,0.0664181262254715,249,,,,,,
2,0.055105533450841904,259,,,,,,
2,0.11149801313877106,269,,,,,,
2,0.07339966297149658,279,,,,,,
2,0.10900644212961197,289,,,,,,
2,0.022174978628754616,299,,,,,,
2,,299,0.08622994273900986,0.8999119997024536,0.2666666805744171,0.6355442404747009,0.6960310339927673,
3,0.03242369741201401,309,,,,,,
3,0.10788336396217346,319,,,,,,
3,0.049555703997612,329,,,,,,
3,0.04626411572098732,339,,,,,,
3,0.044524453580379486,349,,,,,,
3,0.0361315943300724,359,,,,,,
3,0.07594475150108337,369,,,,,,
3,0.05115463212132454,379,,,,,,
3,0.05943438783288002,389,,,,,,
3,0.01106366328895092,399,,,,,,
3,,399,0.09206894785165787,0.9077485799789429,0.30416667461395264,0.6610317826271057,0.7154644131660461,
4,0.01753918081521988,409,,,,,,
4,0.056225161999464035,419,,,,,,
4,0.02708231844007969,429,,,,,,
4,0.034021664410829544,439,,,,,,
4,0.028856785967946053,449,,,,,,
4,0.020544508472085,459,,,,,,
4,0.04728135094046593,469,,,,,,
4,0.03545263037085533,479,,,,,,
4,0.038013361394405365,489,,,,,,
4,0.006161795929074287,499,,,,,,
4,,499,0.09825064241886139,0.9056167602539062,0.3083333373069763,0.6567110419273376,0.708402693271637,
5,,500,,,,,,0.09825064241886139
