train_loss,epoch,step,val_qa_sas,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_loss,test_avg_qa_answer_f1,test_loss,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em
2.334575891494751,0,9,,,,,,,,,,
1.6209222078323364,0,19,,,,,,,,,,
1.9699610471725464,0,29,,,,,,,,,,
1.5443041324615479,0,39,,,,,,,,,,
0.8805243372917175,0,49,,,,,,,,,,
1.8778538703918457,0,59,,,,,,,,,,
1.9682700634002686,0,69,,,,,,,,,,
0.9020315408706665,0,79,,,,,,,,,,
0.9332112669944763,0,89,,,,,,,,,,
1.0022103786468506,0,99,,,,,,,,,,
,0,107,0.3836669921875,0.7787773013114929,0.2807037830352783,0.13019390404224396,1.3522685766220093,,,,,
2.2931222915649414,1,109,,,,,,,,,,
2.2350728511810303,1,119,,,,,,,,,,
1.2937973737716675,1,129,,,,,,,,,,
0.8289505243301392,1,139,,,,,,,,,,
1.3341201543807983,1,149,,,,,,,,,,
1.3368207216262817,1,159,,,,,,,,,,
1.1198102235794067,1,169,,,,,,,,,,
1.6334997415542603,1,179,,,,,,,,,,
1.2227814197540283,1,189,,,,,,,,,,
1.180933952331543,1,199,,,,,,,,,,
1.852117896080017,1,209,,,,,,,,,,
,1,215,0.4932118356227875,0.8242374658584595,0.4105835258960724,0.22437673807144165,1.2244244813919067,,,,,
0.9294737577438354,2,219,,,,,,,,,,
1.133499026298523,2,229,,,,,,,,,,
0.8451272249221802,2,239,,,,,,,,,,
0.6373068690299988,2,249,,,,,,,,,,
0.5852851271629333,2,259,,,,,,,,,,
1.346274495124817,2,269,,,,,,,,,,
1.6355873346328735,2,279,,,,,,,,,,
1.5900368690490723,2,289,,,,,,,,,,
1.1643049716949463,2,299,,,,,,,,,,
0.7338284254074097,2,309,,,,,,,,,,
1.3827900886535645,2,319,,,,,,,,,,
,2,323,0.524928867816925,0.8356977701187134,0.4445996880531311,0.24099722504615784,1.1711153984069824,,,,,
0.42717355489730835,3,329,,,,,,,,,,
1.2337195873260498,3,339,,,,,,,,,,
1.185808539390564,3,349,,,,,,,,,,
1.3334550857543945,3,359,,,,,,,,,,
1.8963111639022827,3,369,,,,,,,,,,
1.0111818313598633,3,379,,,,,,,,,,
0.5022239089012146,3,389,,,,,,,,,,
1.78708815574646,3,399,,,,,,,,,,
1.0361164808273315,3,409,,,,,,,,,,
1.048757791519165,3,419,,,,,,,,,,
1.6620848178863525,3,429,,,,,,,,,,
,3,431,0.534439742565155,0.8425920009613037,0.4574236273765564,0.2686980664730072,1.153427004814148,,,,,
1.4177157878875732,4,439,,,,,,,,,,
0.861514687538147,4,449,,,,,,,,,,
0.8216140866279602,4,459,,,,,,,,,,
1.2346285581588745,4,469,,,,,,,,,,
1.2627432346343994,4,479,,,,,,,,,,
1.0210902690887451,4,489,,,,,,,,,,
1.4173039197921753,4,499,,,,,,,,,,
1.3717128038406372,4,509,,,,,,,,,,
1.2427023649215698,4,519,,,,,,,,,,
2.5662877559661865,4,529,,,,,,,,,,
0.944821298122406,4,539,,,,,,,,,,
,4,539,0.547835648059845,0.84699946641922,0.46746826171875,0.2770083248615265,1.1307748556137085,,,,,
,5,540,,,,,,0.46746826171875,1.1307748556137085,0.547835648059845,0.84699946641922,0.2770083248615265
