step,train_loss,epoch,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,val_loss,test_loss
9,4.4971723556518555,0,,,,,,
19,3.43088698387146,0,,,,,,
29,2.859901189804077,0,,,,,,
39,2.148771286010742,0,,,,,,
49,1.590915322303772,0,,,,,,
59,1.294813632965088,0,,,,,,
69,0.8625105023384094,0,,,,,,
79,0.549401581287384,0,,,,,,
89,0.3760835826396942,0,,,,,,
99,0.24902492761611938,0,,,,,,
109,0.24833868443965912,0,,,,,,
110,,0,0.4370041787624359,0.8101426362991333,0.31446540355682373,0.4677727222442627,0.37921300530433655,
119,0.1971713751554489,1,,,,,,
129,0.15162357687950134,1,,,,,,
139,0.19791142642498016,1,,,,,,
149,0.2607434093952179,1,,,,,,
159,0.12213428318500519,1,,,,,,
169,0.18630771338939667,1,,,,,,
179,0.1326315701007843,1,,,,,,
189,0.2474614828824997,1,,,,,,
199,0.1504461169242859,1,,,,,,
209,0.17337103188037872,1,,,,,,
219,0.10324008762836456,1,,,,,,
221,,1,0.4403676986694336,0.8103997111320496,0.31446540355682373,0.47128766775131226,0.31368595361709595,
229,0.10688865929841995,2,,,,,,
239,0.1379130780696869,2,,,,,,
249,0.09091675281524658,2,,,,,,
259,0.06663826107978821,2,,,,,,
269,0.12472274154424667,2,,,,,,
279,0.11150901764631271,2,,,,,,
289,0.050710566341876984,2,,,,,,
299,0.0669814720749855,2,,,,,,
309,0.09056196361780167,2,,,,,,
319,0.07191667705774307,2,,,,,,
329,0.0683942437171936,2,,,,,,
332,,2,0.4459582269191742,0.8121879696846008,0.31446540355682373,0.4767303466796875,0.3728199303150177,
339,0.11383089423179626,3,,,,,,
349,0.04012322053313255,3,,,,,,
359,0.05065235495567322,3,,,,,,
369,0.05392346903681755,3,,,,,,
379,0.03509821370244026,3,,,,,,
389,0.012674985453486443,3,,,,,,
399,0.007509441580623388,3,,,,,,
409,0.04575229063630104,3,,,,,,
419,0.008370733819901943,3,,,,,,
429,0.009802368469536304,3,,,,,,
439,0.012822434306144714,3,,,,,,
443,,3,0.4652312695980072,0.8185064196586609,0.3270440399646759,0.49304574728012085,0.4690537452697754,
449,0.020343121141195297,4,,,,,,
459,0.013899167068302631,4,,,,,,
469,0.010126727633178234,4,,,,,,
479,0.007888052612543106,4,,,,,,
489,0.0033645189832895994,4,,,,,,
499,0.008629872463643551,4,,,,,,
509,0.008485543541610241,4,,,,,,
519,0.005965081509202719,4,,,,,,
529,0.0027700597420334816,4,,,,,,
539,0.007105767261236906,4,,,,,,
549,0.0026280158199369907,4,,,,,,
554,,4,0.4652312695980072,0.8185064196586609,0.3270440399646759,0.49304574728012085,0.395232230424881,
555,,5,,,,,,0.395232230424881
