step,train_loss,epoch,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas,test_loss
9,1.7572081089019775,0,,,,,,,,,,
19,1.2490293979644775,0,,,,,,,,,,
29,1.2468547821044922,0,,,,,,,,,,
39,0.9817647933959961,0,,,,,,,,,,
49,1.864104986190796,0,,,,,,,,,,
53,,0,0.49158722162246704,0.8496910929679871,0.5304158329963684,0.318918913602829,1.4974886178970337,,,,,
59,1.5348738431930542,1,,,,,,,,,,
69,1.2158905267715454,1,,,,,,,,,,
79,1.9078060388565063,1,,,,,,,,,,
89,1.8909401893615723,1,,,,,,,,,,
99,1.4986748695373535,1,,,,,,,,,,
107,,1,0.5023036003112793,0.853511393070221,0.54461669921875,0.3405405282974243,1.313718318939209,,,,,
109,1.7664945125579834,2,,,,,,,,,,
119,1.7399728298187256,2,,,,,,,,,,
129,0.6638290882110596,2,,,,,,,,,,
139,6.607882499694824,2,,,,,,,,,,
149,1.2126578092575073,2,,,,,,,,,,
159,0.9074071049690247,2,,,,,,,,,,
161,,2,0.5413899421691895,0.8634953498840332,0.5726115107536316,0.3675675690174103,1.2603977918624878,,,,,
169,1.029703974723816,3,,,,,,,,,,
179,4.0227766036987305,3,,,,,,,,,,
189,1.1147103309631348,3,,,,,,,,,,
199,1.2609106302261353,3,,,,,,,,,,
209,0.9562018513679504,3,,,,,,,,,,
215,,3,0.5512354373931885,0.8691458702087402,0.5905354619026184,0.3837837874889374,1.1805834770202637,,,,,
219,0.5779080986976624,4,,,,,,,,,,
229,0.8379973769187927,4,,,,,,,,,,
239,0.8967211246490479,4,,,,,,,,,,
249,0.5208117365837097,4,,,,,,,,,,
259,2.839014768600464,4,,,,,,,,,,
269,1.0331922769546509,4,,,,,,,,,,
269,,4,0.5552895069122314,0.8716755509376526,0.58782958984375,0.4000000059604645,1.1643191576004028,,,,,
270,,5,,,,,,0.5552895069122314,0.8716755509376526,0.4000000059604645,0.58782958984375,1.1643191576004028
