step,train_loss,epoch,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,val_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_loss
9,2.1254165172576904,0,,,,,,,,,,
19,1.1585792303085327,0,,,,,,,,,,
29,0.8268455266952515,0,,,,,,,,,,
39,0.947590708732605,0,,,,,,,,,,
49,0.6564323902130127,0,,,,,,,,,,
59,0.5510746836662292,0,,,,,,,,,,
59,,0,0.28342491388320923,0.5077972412109375,0.7963182926177979,0.1875,0.25341808795928955,,,,,
69,0.5261663794517517,1,,,,,,,,,,
79,0.42701277136802673,1,,,,,,,,,,
89,0.6342944502830505,1,,,,,,,,,,
99,0.5830222368240356,1,,,,,,,,,,
109,0.46607401967048645,1,,,,,,,,,,
119,0.5394968390464783,1,,,,,,,,,,
119,,1,0.3542831838130951,0.4287830591201782,0.8126961588859558,0.2867647111415863,0.3321954905986786,,,,,
129,0.46973973512649536,2,,,,,,,,,,
139,0.2812948226928711,2,,,,,,,,,,
149,0.31389567255973816,2,,,,,,,,,,
159,0.4328156113624573,2,,,,,,,,,,
169,0.45061901211738586,2,,,,,,,,,,
179,0.19737623631954193,2,,,,,,,,,,
179,,2,0.35938239097595215,0.404766321182251,0.816623866558075,0.2904411852359772,0.3337225615978241,,,,,
189,0.2905530333518982,3,,,,,,,,,,
199,0.2648707330226898,3,,,,,,,,,,
209,0.4155060350894928,3,,,,,,,,,,
219,0.3382412791252136,3,,,,,,,,,,
229,0.37314048409461975,3,,,,,,,,,,
239,0.6175011396408081,3,,,,,,,,,,
239,,3,0.3964003026485443,0.3689015507698059,0.8302932977676392,0.3272058963775635,0.3696799576282501,,,,,
249,0.2871897220611572,4,,,,,,,,,,
259,0.4792790710926056,4,,,,,,,,,,
269,0.29132965207099915,4,,,,,,,,,,
279,0.3122256100177765,4,,,,,,,,,,
289,0.5071452856063843,4,,,,,,,,,,
299,0.20176361501216888,4,,,,,,,,,,
299,,4,0.4297100603580475,0.35761111974716187,0.8418461084365845,0.34558823704719543,0.3997822403907776,,,,,
300,,5,,,,,,0.8418461084365845,0.4297100603580475,0.3997822403907776,0.34558823704719543,0.35761111974716187
