step,train_loss,epoch,val_qa_bert_score,val_loss,val_qa_em,val_qa_answer_f1,val_qa_sas,test_loss
9,0.5422199964523315,0,,,,,,
19,0.4451928734779358,0,,,,,,
29,0.5259936451911926,0,,,,,,
39,0.4332035481929779,0,,,,,,
49,0.1876532882452011,0,,,,,,
59,0.33147791028022766,0,,,,,,
69,0.35302284359931946,0,,,,,,
79,0.4426264762878418,0,,,,,,
89,0.20951896905899048,0,,,,,,
99,0.20988793671131134,0,,,,,,
109,0.1909988522529602,0,,,,,,
119,0.3159123957157135,0,,,,,,
129,0.21917688846588135,0,,,,,,
139,0.14891795814037323,0,,,,,,
149,0.20744387805461884,0,,,,,,
159,0.19439245760440826,0,,,,,,
169,0.24253983795642853,0,,,,,,
179,0.28178659081459045,0,,,,,,
189,0.12845787405967712,0,,,,,,
199,0.2046251893043518,0,,,,,,
209,0.2868918776512146,0,,,,,,
219,0.10257736593484879,0,,,,,,
229,0.14559775590896606,0,,,,,,
239,0.10842525213956833,0,,,,,,
249,0.1794847548007965,0,,,,,,
259,0.15022224187850952,0,,,,,,
269,0.16124561429023743,0,,,,,,
279,0.1091713160276413,0,,,,,,
289,0.13189269602298737,0,,,,,,
299,0.19938398897647858,0,,,,,,
309,0.24047866463661194,0,,,,,,
319,0.07822787761688232,0,,,,,,
329,0.0984039455652237,0,,,,,,
339,0.12532193958759308,0,,,,,,
349,0.2232709676027298,0,,,,,,
359,0.1319950968027115,0,,,,,,
369,0.10568064451217651,0,,,,,,
379,0.047875650227069855,0,,,,,,
389,0.27922776341438293,0,,,,,,
399,0.11391974240541458,0,,,,,,
409,0.1073833703994751,0,,,,,,
419,0.22081626951694489,0,,,,,,
429,0.1553276926279068,0,,,,,,
439,0.06598877161741257,0,,,,,,
449,0.07360591739416122,0,,,,,,
459,0.07621774077415466,0,,,,,,
469,0.08876319974660873,0,,,,,,
479,0.12561002373695374,0,,,,,,
489,0.06899788975715637,0,,,,,,
499,0.11834808439016342,0,,,,,,
509,0.1819474846124649,0,,,,,,
519,0.12205002456903458,0,,,,,,
529,0.12182727456092834,0,,,,,,
539,0.15950274467468262,0,,,,,,
549,0.1574278622865677,0,,,,,,
559,0.1686444729566574,0,,,,,,
569,0.12921297550201416,0,,,,,,
579,0.22028717398643494,0,,,,,,
589,0.15320616960525513,0,,,,,,
599,0.13381555676460266,0,,,,,,
609,0.12027602642774582,0,,,,,,
619,0.08086147904396057,0,,,,,,
629,0.10677904635667801,0,,,,,,
639,0.10469964146614075,0,,,,,,
649,0.1473623812198639,0,,,,,,
659,0.09897082298994064,0,,,,,,
669,0.08003729581832886,0,,,,,,
679,0.13182903826236725,0,,,,,,
689,0.11906151473522186,0,,,,,,
699,0.10448314249515533,0,,,,,,
709,0.0599902868270874,0,,,,,,
719,0.0778898224234581,0,,,,,,
729,0.12265832722187042,0,,,,,,
739,0.11477287858724594,0,,,,,,
749,0.03353160619735718,0,,,,,,
759,0.10762400925159454,0,,,,,,
769,0.07667959481477737,0,,,,,,
779,0.13103169202804565,0,,,,,,
789,0.06030746549367905,0,,,,,,
799,0.08850182592868805,0,,,,,,
809,0.09807184338569641,0,,,,,,
819,0.039104387164115906,0,,,,,,
829,0.11714916676282883,0,,,,,,
839,0.012368516065180302,0,,,,,,
849,0.027917684987187386,0,,,,,,
859,0.19666805863380432,0,,,,,,
869,0.07326380163431168,0,,,,,,
879,0.09796538203954697,0,,,,,,
