step,epoch,train_loss,val_qa_bert_score,val_qa_sas,val_loss,val_qa_em,val_qa_answer_f1,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss,test_avg_qa_em,test_avg_qa_bert_score
9,0,0.5348086357116699,,,,,,,,,,
19,0,0.20332135260105133,,,,,,,,,,
29,0,0.25085780024528503,,,,,,,,,,
39,0,0.18614894151687622,,,,,,,,,,
49,0,0.2051752507686615,,,,,,,,,,
59,0,0.13404572010040283,,,,,,,,,,
69,0,0.09291495382785797,,,,,,,,,,
79,0,0.11042245477437973,,,,,,,,,,
89,0,0.3306052088737488,,,,,,,,,,
99,0,0.12656466662883759,,,,,,,,,,
109,0,0.10305649787187576,,,,,,,,,,
119,0,0.09979697316884995,,,,,,,,,,
124,0,,0.9016504883766174,0.6056487560272217,0.08530733734369278,0.5233415365219116,0.5676825046539307,,,,,
129,1,0.14470359683036804,,,,,,,,,,
139,1,0.47461646795272827,,,,,,,,,,
149,1,0.1695970892906189,,,,,,,,,,
159,1,0.10585591942071915,,,,,,,,,,
169,1,0.09736167639493942,,,,,,,,,,
179,1,0.12714865803718567,,,,,,,,,,
189,1,0.08052018284797668,,,,,,,,,,
199,1,0.12484284490346909,,,,,,,,,,
209,1,0.1107008159160614,,,,,,,,,,
219,1,0.07118605822324753,,,,,,,,,,
229,1,0.3419782519340515,,,,,,,,,,
239,1,0.06602248549461365,,,,,,,,,,
249,1,0.11536845564842224,,,,,,,,,,
249,1,,0.9088544845581055,0.6290735006332397,0.07471760362386703,0.5626535415649414,0.6021944284439087,,,,,
259,2,0.04894964024424553,,,,,,,,,,
269,2,0.18092583119869232,,,,,,,,,,
279,2,0.09025990962982178,,,,,,,,,,
289,2,0.08677966147661209,,,,,,,,,,
299,2,0.12030741572380066,,,,,,,,,,
309,2,0.12407788634300232,,,,,,,,,,
319,2,0.08386530727148056,,,,,,,,,,
329,2,0.12906688451766968,,,,,,,,,,
339,2,0.0568230040371418,,,,,,,,,,
349,2,0.09043557196855545,,,,,,,,,,
359,2,0.08296304196119308,,,,,,,,,,
369,2,0.1425027996301651,,,,,,,,,,
374,2,,0.9141682386398315,0.6469536423683167,0.07075510919094086,0.5773955583572388,0.6171225905418396,,,,,
379,3,0.08269169926643372,,,,,,,,,,
389,3,0.08513844013214111,,,,,,,,,,
399,3,0.07306721061468124,,,,,,,,,,
409,3,0.09434481710195541,,,,,,,,,,
419,3,0.08397388458251953,,,,,,,,,,
429,3,0.08947347104549408,,,,,,,,,,
439,3,0.05662297457456589,,,,,,,,,,
449,3,0.10038736462593079,,,,,,,,,,
459,3,0.08774387091398239,,,,,,,,,,
469,3,0.04460839182138443,,,,,,,,,,
479,3,0.13041096925735474,,,,,,,,,,
489,3,0.0970551148056984,,,,,,,,,,
499,3,0.15335366129875183,,,,,,,,,,
499,3,,0.913863480091095,0.6521579027175903,0.06533215194940567,0.5847665667533875,0.6227953433990479,,,,,
509,4,0.08235543221235275,,,,,,,,,,
519,4,0.0647643432021141,,,,,,,,,,
529,4,0.04787612333893776,,,,,,,,,,
539,4,0.061349816620349884,,,,,,,,,,
549,4,0.11358348280191422,,,,,,,,,,
559,4,0.07192513346672058,,,,,,,,,,
569,4,0.09684380888938904,,,,,,,,,,
579,4,0.0797385424375534,,,,,,,,,,
589,4,0.04390731453895569,,,,,,,,,,
599,4,0.06627088040113449,,,,,,,,,,
609,4,0.06632740795612335,,,,,,,,,,
619,4,0.05682576820254326,,,,,,,,,,
624,4,,0.9153686165809631,0.6547508835792542,0.06345392763614655,0.5921375751495361,0.6294570565223694,,,,,
625,5,,,,,,,0.6294570565223694,0.6547508835792542,0.06345392763614655,0.5921375751495361,0.9153686165809631
